name,RA,Dec,l,b,x,y
0FGL?J1100.2-8000,165.0583333,-80.00194444,,,,
0FGL?J0025.1-7202,6.295833333,-72.03472222,,,,
0FGL?J0538.4-6856,84.6125,-68.93444444,,,,
0FGL?J0700.0-6611,105.0166667,-66.18583333,,,,
0FGL?J1123.0-6416,170.7625,-64.26694444,,,,
0FGL?J1413.1-6203,213.2916667,-62.05222222,,,,
0FGL?J0516.2-6200,79.0625,-62,,,,
0FGL?J1115.8-6108,168.9666667,-61.13555556,,,,
0FGL?J1418.8-6058,214.7166667,-60.96861111,,,,
0FGL?J1459.4-6056,224.875,-60.93388889,,,,
0FGL?J1106.4-6055,166.6041667,-60.91694444,,,,
0FGL?J1045.6-5937,161.4083333,-59.61916667,,,,
0FGL?J1430.5-5918,217.6333333,-59.30027778,,,,
0FGL?J1018.2-5858,154.5625,-58.96861111,,,,
0FGL?J1509.5-5848,227.3916667,-58.80194444,,,,
0FGL?J1047.6-5834,161.9208333,-58.56833333,,,,
0FGL?J1028.6-5817,157.1666667,-58.28472222,,,,
0FGL?J1024.0-5754,156,-57.90055556,,,,
0FGL?J1328.8-5604,202.2208333,-56.06861111,,,,
0FGL?J2207.0-5347,331.7666667,-53.78388889,,,,
0FGL?J0412.9-5341,63.22916667,-53.68388889,,,,
0FGL?J1326.6-5302,201.65,-53.03555556,,,,
0FGL?J2241.7-5239,340.4291667,-52.65027778,,,,
0FGL?J1058.1-5225,164.525,-52.41916667,,,,
0FGL?J0210.8-5100,32.70416667,-51.00222222,,,,
0FGL?J1615.6-5049,243.9125,-50.81916667,,,,
0FGL?J0910.2-5044,137.5666667,-50.735,,,,
0FGL?J1536.7-4947,234.1958333,-49.78583333,,,,
0FGL?J1514.3-4946,228.5833333,-49.76694444,,,,
0FGL?J1622.4-4945,245.6125,-49.7525,,,,
0FGL?J1604.0-4904,241.0166667,-49.06888889,,,,
0FGL?J2009.4-4850,302.3625,-48.835,,,,
0FGL?J1634.9-4737,248.7333333,-47.61916667,,,,
0FGL?J2056.1-4715,314.0333333,-47.25027778,,,,
0FGL?J0245.6-4656,41.425,-46.93333333,,,,
0FGL?J1648.1-4606,252.0291667,-46.10194444,,,,
0FGL?J0835.4-4510,128.8666667,-45.16722222,,,,
0FGL?J1709.7-4428,257.425,-44.46805556,,,,
0FGL?J0538.8-4403,84.725,-44.05194444,,,,
0FGL?J0449.7-4348,72.43333333,-43.8025,,,,
0FGL?J1325.4-4303,201.3541667,-43.05194444,,,,
0FGL?J2139.4-4238,324.8666667,-42.63472222,,,,
0FGL?J0334.1-4006,53.54583333,-40.10111111,,,,
0FGL?J1802.6-3939,270.6625,-39.65166667,,,,
0FGL?J0407.6-3829,61.925,-38.48472222,,,,
0FGL?J1714.7-3827,258.6833333,-38.45138889,,,,
0FGL?J1146.7-3808,176.6875,-38.13583333,,,,
0FGL?J0428.7-3755,67.19166667,-37.91777778,,,,
0FGL?J0229.5-3640,37.375,-36.66916667,,,,
0FGL?J1457.6-3538,224.4083333,-35.63444444,,,,
0FGL?J1311.9-3419,198,-34.31694444,,,,
0FGL?J2124.7-3358,321.1875,-33.96916667,,,,
0FGL?J0614.3-3330,93.575,-33.5,,,,
0FGL?J1732.8-3135,263.2125,-31.58416667,,,,
0FGL?J1741.4-3046,265.3541667,-30.76777778,,,,
0FGL?J2158.8-3014,329.7041667,-30.23388889,,,,
0FGL?J1746.0-2900,266.5041667,-29.00083333,,,,
0FGL?J0145.1-2728,26.2875,-27.46861111,,,,
0FGL?J0120.5-2703,20.12916667,-27.05111111,,,,
0FGL?J1246.6-2544,191.6541667,-25.73333333,,,,
0FGL?J1625.8-2527,246.4708333,-25.45027778,,,,
0FGL?J1517.9-2423,229.4958333,-24.38527778,,,,
0FGL?J1625.9-2423,246.4958333,-24.385,,,,
0FGL?J0303.7-2410,45.94166667,-24.16833333,,,,
0FGL?J1809.5-2331,272.4,-23.51722222,,,,
0FGL?J1801.6-2327,270.4041667,-23.45138889,,,,
0FGL?J0457.1-2325,74.2875,-23.41916667,,,,
0FGL?J0826.0-2228,126.5,-22.46888889,,,,
0FGL?J0118.7-2139,19.675,-21.65111111,,,,
0FGL?J1805.3-2138,271.3291667,-21.63583333,,,,
0FGL?J1833.4-2106,278.3708333,-21.10055556,,,,
0FGL?J0349.8-2102,57.46666667,-21.03555556,,,,
0FGL?J1923.3-2101,290.8416667,-21.01916667,,,,
0FGL?J1742.1-2054,265.5416667,-20.91666667,,,,
0FGL?J1911.2-2011,287.8125,-20.18388889,,,,
0FGL?J0033.6-1921,8.4,-19.35166667,,,,
0FGL?J1814.3-1739,273.5791667,-17.6525,,,,
0FGL?J0204.8-1704,31.22083333,-17.06694444,,,,
0FGL?J2345.5-1559,356.3875,-15.98361111,,,,
0FGL?J1826.3-1451,276.5958333,-14.85166667,,,,
0FGL?J1821.4-1444,275.3666667,-14.73444444,,,,
0FGL?J1129.8-1443,172.4541667,-14.71861111,,,,
0FGL?J1231.5-1410,187.875,-14.16888889,,,,
0FGL?J1825.9-1256,276.4958333,-12.93472222,,,,
0FGL?J1813.5-1248,273.4,-12.80027778,,,,
0FGL?J0730.4-1142,112.6083333,-11.70111111,,,,
0FGL?J1355.0-1044,208.7625,-10.73361111,,,,
