name,type,RA,Dec,Flux_Density,l,b,x,y
1FGL J0339.1-1734,PointSource,54.7923,-17.5779,5.05E-14,,,,
1FGL J0343.4-2536,PointSource,55.8538,-25.6068,5.02E-12,,,,
1FGL J0345.2-2355,PointSource,56.3248,-23.9185,5.38E-12,,,,
1FGL J0349.9-2104,PointSource,57.4985,-21.0804,3.64E-11,,,,
1FGL J0402.1-2618,PointSource,60.5481,-26.3009,4.07E-13,,,,
1FGL J2222.5-5218,PointSource,335.6479,-52.3011,1.89E-13,,,,
1FGL J2235.7-4817,PointSource,338.9475,-48.2898,2.89E-12,,,,
1FGL J2241.9-5236,PointSource,340.4771,-52.6152,7.29E-12,,,,
1FGL J2251.2-4928,PointSource,342.8229,-49.4768,7.31E-14,,,,
1FGL J2258.9-5525,PointSource,344.738,-55.4276,2.98E-14,,,,
1FGL J2331.0-2145,PointSource,352.7579,-21.7554,1.96E-11,,,,
1FGL J2344.6-1554,PointSource,356.1678,-15.9069,3.41E-12,,,,
1FGL J2348.0-1629,PointSource,357.0009,-16.4901,3.74E-12,,,,
1FGL J2358.5-1809,PointSource,359.6296,-18.1608,6.10E-14,,,,
1FGL J1130.2-1447,PointSource,172.5571,-14.7952,5.47E-11,,,,
1FGL J1151.4-1345,PointSource,177.8572,-13.7593,3.45E-13,,,,
1FGL J1141.8-1403,PointSource,175.4671,-14.0606,1.31E-13,,,,
1FGL J1517.8-2423,PointSource,229.4538,-24.3846,5.13E-12,,,,
1FGL J1522.6-2732,PointSource,230.6708,-27.546,4.03E-12,,,,
1FGL J1511.9-2253,PointSource,227.9874,-22.889,2.58E-13,,,,
1FGL J2014.4+0647,PointSource,303.6178,6.7888,5.60E-14,,,,
1FGL J2017.3+0603,PointSource,304.3401,6.056,2.07E-12,,,,
1FGL J2007.0+0145,PointSource,301.7538,1.7633,5.69E-14,,,,
1FGL J1700.1+6830,PointSource,255.0452,68.5096,9.28E-12,,,,
1FGL J0245.9-4652,PointSource,41.4989,-46.8743,2.78E-11,,,,
1FGL J0315.6-5109,PointSource,48.9239,-51.1654,3.60E-12,,,,
1FGL J0325.6-5626,PointSource,51.4119,-56.4436,1.09E-11,,,,
1FGL J2315.9-5014,PointSource,348.9968,-50.2408,1.06E-12,,,,
1FGL J2325.6-4758,PointSource,351.4139,-47.9799,7.00E-14,,,,
1FGL J2329.2-4954,PointSource,352.318,-49.9028,1.52E-11,,,,
1FGL J2330.3-4745,PointSource,352.597,-47.7626,1.15E-12,,,,
1FGL J2323.0-4919,PointSource,350.7594,-49.3218,2.36E-14,,,,
1FGL J1442.0-6000c,PointSource,220.5054,-60.0135,1.40E-11,,,,
1FGL J1429.9-5911,PointSource,217.4943,-59.1935,1.32E-11,,,,
1FGL J1459.4-6053,PointSource,224.8747,-60.8877,3.33E-11,,,,
1FGL J0430.4-2509,PointSource,67.612,-25.166,1.40E-12,,,,
1FGL J0434.1-2018,PointSource,68.5476,-20.3053,1.51E-12,,,,
1FGL J0439.8-1857,PointSource,69.9647,-18.9654,5.34E-14,,,,
1FGL J0453.2-2805,PointSource,73.3069,-28.0868,3.74E-11,,,,
1FGL J0457.0-2325,PointSource,74.2595,-23.4228,1.64E-10,,,,
1FGL J2323.5-0315,PointSource,350.8912,-3.2571,8.26E-12,,,,
1FGL J2338.3-0231,PointSource,354.5943,-2.5311,1.20E-11,,,,
1FGL J2339.7-0531,PointSource,354.9282,-5.5237,3.20E-12,,,,
1FGL J2322.3-0153,PointSource,350.5935,-1.89,6.74E-13,,,,
1FGL J1121.5-0554,PointSource,170.3805,-5.9075,8.81E-12,,,,
1FGL J1129.2-0528,PointSource,172.3075,-5.4686,8.52E-12,,,,
1FGL J1126.0-0741,PointSource,171.5008,-7.6927,1.90E-14,,,,
1FGL J1936.9-4720,PointSource,294.2286,-47.3433,5.69E-14,,,,
1FGL J1946.7-5404,PointSource,296.6938,-54.0755,2.74E-12,,,,
1FGL J1959.7-4730,PointSource,299.949,-47.5001,1.15E-13,,,,
1FGL J2007.9-4430,PointSource,301.9768,-44.5059,1.02E-12,,,,
1FGL J2009.5-4849,PointSource,302.3761,-48.8295,2.07E-12,,,,
1FGL J0132.6-1655,PointSource,23.1632,-16.9275,2.96E-11,,,,
1FGL J1601.7-4217c,PointSource,240.4321,-42.295,4.96E-12,,,,
1FGL J1603.8-4903,PointSource,240.9716,-49.0662,7.27E-12,,,,
1FGL J1604.7-4443,PointSource,241.1832,-44.7174,3.34E-11,,,,
1FGL J1610.8-3955,PointSource,242.7039,-39.9168,1.11E-12,,,,
1FGL J1624.0-4041,PointSource,246.0161,-40.6897,1.02E-11,,,,
1FGL J1303.0+2433,PointSource,195.7574,24.5664,5.28E-12,,,,
