name,RA,Dec,l,b,x,y
1FHL J0007.3+7303,1.827,73.06,,,,
1FHL J0007.7+4709,1.947,47.155,,,,
1FHL J0008.7?2340,2.194,-23.674,,,,
1FHL J0009.2+5032,2.316,50.541,,,,
1FHL J0018.6+2946,4.673,29.776,,,,
1FHL J0022.2?1853,5.555,-18.899,,,,
1FHL J0022.5+0607,5.643,6.124,,,,
1FHL J0030.1?1647,7.525,-16.797,,,,
1FHL J0033.6?1921,8.407,-19.361,,,,
1FHL J0035.2+1514,8.806,15.234,,,,
1FHL J0035.9+5950,8.99,59.838,,,,
1FHL J0037.8+1238,9.473,12.645,,,,
1FHL J0040.3+4049,10.096,40.827,,,,
1FHL J0043.7+3425,10.936,34.429,,,,
1FHL J0044.0?1111,11.014,-11.196,,,,
1FHL J0045.2+2126,11.31,21.448,,,,
1FHL J0050.6?0930,12.672,-9.51,,,,
1FHL J0051.3?6240,12.846,-62.672,,,,
1FHL J0053.9+4030,13.475,40.504,,,,
1FHL J0054.8?2456,13.719,-24.934,,,,
1FHL J0058.6?3236,14.663,-32.61,,,,
1FHL J0100.2+0747,15.073,7.785,,,,
1FHL J0103.4+5336,15.869,53.609,,,,
1FHL J0108.4+0134,17.105,1.577,,,,
1FHL J0110.0?4023,17.517,-40.392,,,,
1FHL J0110.3+6805,17.598,68.094,,,,
1FHL J0112.0+2244,18.01,22.748,,,,
1FHL J0112.9+3207,18.24,32.133,,,,
1FHL J0115.6+2520,18.906,25.333,,,,
1FHL J0118.5?1502,19.625,-15.04,,,,
1FHL J0120.4?2701,20.115,-27.024,,,,
1FHL J0122.7+3425,20.682,34.418,,,,
1FHL J0131.3+6121,22.836,61.357,,,,
1FHL J0132.6?1651,23.165,-16.859,,,,
1FHL J0134.4+2643,23.602,26.733,,,,
1FHL J0136.5+3906,24.147,39.1,,,,
1FHL J0136.8+4754,24.208,47.901,,,,
1FHL J0137.7+5812,24.436,58.216,,,,
1FHL J0141.5?0927,25.376,-9.463,,,,
1FHL J0143.4?5844,25.87,-58.749,,,,
1FHL J0144.3+2703,26.084,27.064,,,,
1FHL J0152.6+0148,28.163,1.8,,,,
1FHL J0153.1+7515,28.287,75.258,,,,
1FHL J0154.1+0823,28.527,8.39,,,,
1FHL J0156.5?2419,29.139,-24.327,,,,
1FHL J0159.4+1048,29.874,10.811,,,,
1FHL J0203.5+7232,30.891,72.533,,,,
1FHL J0203.6+3042,30.904,30.702,,,,
1FHL J0205.7+6448,31.426,64.815,,,,
1FHL J0208.7+3523,32.176,35.388,,,,
1FHL J0209.6?5230,32.424,-52.502,,,,
1FHL J0210.9?5100,32.737,-51.002,,,,
1FHL J0211.3+1051,32.83,10.864,,,,
1FHL J0213.1+2246,33.292,22.78,,,,
1FHL J0217.4+0836,34.35,8.612,,,,
1FHL J0217.7+0142,34.444,1.701,,,,
1FHL J0221.1+3555,35.293,35.926,,,,
1FHL J0222.6+4302,35.669,43.035,,,,
1FHL J0237.5?3603,39.382,-36.062,,,,
1FHL J0238.6?3117,39.657,-31.284,,,,
1FHL J0238.7+1639,39.683,16.661,,,,
1FHL J0240.2+6113,40.065,61.233,,,,
1FHL J0241.3+6548,40.335,65.809,,,,
1FHL J0244.2?5813,41.058,-58.219,,,,
1FHL J0250.6+1712,42.657,17.206,,,,
1FHL J0252.7?2218,43.177,-22.311,,,,
1FHL J0303.4?2407,45.868,-24.128,,,,
1FHL J0303.6+4715,45.923,47.266,,,,
1FHL J0307.4+4915,46.858,49.254,,,,
1FHL J0309.1+1027,47.29,10.458,,,,
1FHL J0310.5?5014,47.631,-50.247,,,,
1FHL J0312.8+2013,48.203,20.228,,,,
1FHL J0316.1+0904,49.035,9.068,,,,
1FHL J0316.3?2609,49.077,-26.152,,,,
1FHL J0316.6+4119,49.169,41.322,,,,
1FHL J0318.8+2134,49.718,21.577,,,,
1FHL J0319.8+1847,49.964,18.798,,,,
1FHL J0319.9+4130,49.977,41.508,,,,
1FHL J0322.1+2337,50.539,23.625,,,,
1FHL J0323.5?0107,50.88,-1.129,,,,
1FHL J0325.7?1647,51.437,-16.792,,,,
1FHL J0326.1+0224,51.545,2.412,,,,
1FHL J0332.1+6307,53.027,63.123,,,,
1FHL J0333.6+2918,53.401,29.312,,,,
1FHL J0334.0+6539,53.505,65.666,,,,
1FHL J0334.1?4006,53.547,-40.112,,,,
1FHL J0334.4?3726,53.604,-37.443,,,,
1FHL J0335.3?4501,53.846,-45.029,,,,
1FHL J0338.1?2443,54.541,-24.733,,,,
1FHL J0338.4+1304,54.614,13.079,,,,
1FHL J0423.3?0121,65.845,-1.366,,,,
1FHL J0423.8+4151,65.951,41.851,,,,
1FHL J0425.3+6320,66.335,63.338,,,,
1FHL J0425.4+5601,66.369,56.021,,,,
1FHL J0428.7?3756,67.178,-37.937,,,,
1FHL J0432.2+5555,68.06,55.928,,,,
1FHL J0433.5+2905,68.389,29.086,,,,
1FHL J0434.1?5725,68.537,-57.428,,,,
1FHL J0439.9?1858,69.988,-18.979,,,,
1FHL J0442.9?0017,70.748,-0.293,,,,
1FHL J0448.5?1633,72.133,-16.55,,,,
1FHL J0449.4?4350,72.361,-43.84,,,,
1FHL J0457.1?2326,74.276,-23.448,,,,
1FHL J0505.4+0418,76.358,4.304,,,,
1FHL J0506.9?5434,76.73,-54.574,,,,
1FHL J0508.1+6737,77.038,67.624,,,,
1FHL J0509.5+0542,77.394,5.714,,,,
1FHL J0509.9?6419,77.482,-64.329,,,,
1FHL J0515.9+1528,78.985,15.469,,,,
1FHL J0516.4+7351,79.124,73.852,,,,
1FHL J0516.6?6209,79.158,-62.165,,,,
1FHL J0521.7+2113,80.449,21.22,,,,
1FHL J0523.3?3620,80.847,-36.339,,,,
1FHL J0526.6?6825e,81.65,-68.42,,,,
1FHL J0529.0+0937,82.271,9.618,,,,
1FHL J0532.1?4826,83.03,-48.442,,,,
1FHL J0534.5+2201,83.628,22.019,,,,
1FHL J0536.4?3343,84.117,-33.733,,,,
1FHL J0538.8?4405,84.714,-44.088,,,,
1FHL J0540.5+5822,85.143,58.382,,,,
1FHL J0543.9?5532,85.981,-55.538,,,,
1FHL J0550.6?3215,87.669,-32.26,,,,
1FHL J0601.0+3838,90.251,38.648,,,,
1FHL J0601.1?7037,90.296,-70.623,,,,
1FHL J0602.4?4013,90.62,-40.222,,,,
1FHL J0604.2?4817,91.054,-48.294,,,,
1FHL J0605.0+0001,91.258,0.032,,,,
1FHL J0605.4+2726,91.353,27.444,,,,
1FHL J0606.6+4742,91.655,47.71,,,,
1FHL J0609.4?0248,92.375,-2.812,,,,
1FHL J0612.8+4121,93.202,41.365,,,,
1FHL J0614.0?3325,93.503,-33.43,,,,
1FHL J0617.0+5700,94.27,57.012,,,,
1FHL J0617.2+2234e,94.31,22.58,,,,
1FHL J0617.6?1716,94.413,-17.281,,,,
1FHL J0622.4?2604,95.604,-26.072,,,,
1FHL J0622.9+3328,95.73,33.469,,,,
1FHL J0625.3+4440,96.339,44.668,,,,
1FHL J0625.9+0002,96.481,0.04,,,,
1FHL J0626.8?3528,96.704,-35.479,,,,
1FHL J0630.9?2406,97.748,-24.113,,,,
1FHL J0633.9+1746,98.481,17.772,,,,
1FHL J0639.6?1244,99.917,-12.747,,,,
1FHL J0644.2?6713,101.053,-67.22,,,,
1FHL J0644.2+6036,101.068,60.616,,,,
1FHL J0647.1?5131,101.798,-51.525,,,,
1FHL J0648.9+1516,102.225,15.281,,,,
1FHL J0649.5?3138,102.395,-31.647,,,,
1FHL J0650.4+2056,102.623,20.935,,,,
1FHL J0650.8+2504,102.712,25.081,,,,
1FHL J0654.2+4514,103.568,45.244,,,,
1FHL J0654.5+5042,103.647,50.706,,,,
1FHL J0700.6?6612,105.168,-66.202,,,,
1FHL J0706.5+3744,106.649,37.749,,,,
1FHL J0710.5+5908,107.629,59.139,,,,
1FHL J0712.8+5034,108.21,50.571,,,,
1FHL J0718.7?4321,109.691,-43.363,,,,
1FHL J0719.2+3308,109.819,33.141,,,,
1FHL J0721.8+7120,110.461,71.339,,,,
1FHL J0725.2+1423,111.316,14.393,,,,
1FHL J0730.2+3307,112.568,33.127,,,,
1FHL J0730.3?1140,112.577,-11.673,,,,
1FHL J0735.0?7708,113.774,-77.137,,,,
1FHL J0738.0+1742,114.507,17.701,,,,
1FHL J0743.0+5446,115.773,54.777,,,,
1FHL J0745.2+7439,116.304,74.65,,,,
1FHL J0745.2+8511,116.315,85.192,,,,
1FHL J0746.3?0225,116.585,-2.428,,,,
1FHL J0746.3?4757,116.587,-47.951,,,,
1FHL J0747.1?3315,116.779,-33.261,,,,
1FHL J0753.0+5351,118.269,53.852,,,,
1FHL J0754.3?1149,118.599,-11.824,,,,
1FHL J0757.2+0955,119.322,9.918,,,,
1FHL J0803.4?0334,120.859,-3.577,,,,
1FHL J0804.8?0626,121.219,-6.435,,,,
1FHL J0805.4+7534,121.369,75.575,,,,
1FHL J0807.1?0543,121.782,-5.723,,,,
1FHL J0808.2?0749,122.07,-7.823,,,,
1FHL J0809.8+5217,122.461,52.294,,,,
1FHL J0811.1?7525,122.786,-75.433,,,,
1FHL J0811.4+0149,122.861,1.825,,,,
1FHL J0816.3?1310,124.091,-13.177,,,,
1FHL J0817.9+4224,124.498,42.416,,,,
1FHL J0818.0?0935,124.507,-9.585,,,,
1FHL J0822.6?4250e,125.66,-42.84,,,,
1FHL J0825.9+0308,126.478,3.144,,,,
1FHL J0826.0?2230,126.502,-22.517,,,,
1FHL J0828.9+0902,127.249,9.036,,,,
1FHL J0832.0+0429,128,4.484,,,,
1FHL J0833.1?4511e,128.287,-45.19,,,,
1FHL J0835.3?4510,128.829,-45.178,,,,
1FHL J0841.2?3556,130.3,-35.949,,,,
1FHL J0845.8?5553,131.455,-55.894,,,,
1FHL J0846.8?2338,131.706,-23.64,,,,
1FHL J0847.0+1132,131.773,11.544,,,,
1FHL J0850.0+4849,132.512,48.819,,,,
1FHL J0850.2?1211,132.554,-12.189,,,,
1FHL J0852.7?4631e,133.2,-46.52,,,,
1FHL J0852.9?3656,133.249,-36.945,,,,
1FHL J0854.8+2004,133.712,20.079,,,,
1FHL J0856.7?1106,134.199,-11.115,,,,
1FHL J0905.6+1359,136.415,13.986,,,,
1FHL J0909.3+2312,137.339,23.205,,,,
1FHL J0910.6+3333,137.668,33.555,,,,
1FHL J0912.5+2758,138.132,27.974,,,,
1FHL J0913.1?2104,138.289,-21.078,,,,
1FHL J0915.8+2932,138.975,29.549,,,,
1FHL J0920.9+4443,140.23,44.731,,,,
1FHL J0928.1?5252,142.03,-52.868,,,,
1FHL J0929.5+5014,142.394,50.24,,,,
1FHL J0930.4+8611,142.617,86.197,,,,
1FHL J0946.2+0106,146.574,1.105,,,,
1FHL J0952.9?0839,148.238,-8.655,,,,
1FHL J0957.6+5522,149.421,55.377,,,,
1FHL J0959.5+6535,149.884,65.585,,,,
1FHL J1009.6?3118,152.414,-31.302,,,,
1FHL J1015.0+4925,153.773,49.427,,,,
1FHL J1016.0+0512,154.01,5.205,,,,
1FHL J1018.9?5855,154.742,-58.931,,,,
1FHL J1022.6?5745,155.673,-57.764,,,,
1FHL J1023.6+2959,155.909,29.995,,,,
1FHL J1023.9?4337,155.979,-43.618,,,,
1FHL J1028.4?5819,157.123,-58.32,,,,
1FHL J1029.0?8543,157.253,-85.73,,,,
1FHL J1031.0+5052,157.759,50.879,,,,
1FHL J1033.7+6051,158.435,60.859,,,,
1FHL J1037.4+5712,159.374,57.201,,,,
1FHL J1043.2+2407,160.822,24.119,,,,
1FHL J1045.0?5943,161.258,-59.732,,,,
1FHL J1048.3+7241,162.082,72.686,,,,
1FHL J1048.4?5832,162.1,-58.539,,,,
1FHL J1053.6+4931,163.403,49.521,,,,
1FHL J1054.6+2214,163.671,22.234,,,,
1FHL J1058.5+0133,164.628,1.564,,,,
1FHL J1058.6+5627,164.666,56.459,,,,
1FHL J1058.8?1134,164.703,-11.57,,,,
1FHL J1100.6+4018,165.165,40.315,,,,
1FHL J1103.3?2329,165.846,-23.492,,,,
