name,type,RA,Dec,l,b,x,y
SNR000.0+00.0,Not an SNR,266.446,-28.9926,359.97,-0.06,,
SNR000.3+00.0,Not an SNR,266.6135,-28.7804,0.23,-0.07,,
SNR004.5+06.8,Not an SNR,264.4804,-23.8835,3.39,4.13,,
SNR005.2-02.6,Not an SNR,271.6996,-24.832,5.92,-2.02,,
SNR005.4-01.2,Not an SNR,270.4891,-24.8425,5.37,-1.06,,
SNR006.1+00.5,Not an SNR,270.0801,-23.7646,6.13,-0.21,,
SNR006.4-00.1,Classified,270.3557,-23.4378,6.54,-0.26,,
SNR008.3-00.0,Not an SNR,271.2671,-21.6689,8.49,-0.12,,
SNR008.7-00.1,Classified,271.3576,-21.5921,8.6,-0.16,,
SNR010.5-00.0,Not an SNR,272.1052,-19.862,10.45,0.07,,
SNR011.4-00.1,Marginally Classified,272.7862,-19.0992,11.43,-0.12,,
SNR012.5+00.2,Not an SNR,273.6129,-17.6908,13.04,-0.13,,
SNR015.4+00.1,Not an SNR,275.8672,-14.0738,17.25,-0.33,,
SNR016.4-00.5,Not an SNR,275.8756,-14.1751,17.17,-0.39,,
SNR016.7+00.1,Not an SNR,275.5387,-13.7569,17.38,0.1,,
SNR017.0-00.0,Not an SNR,275.9384,-14.1965,17.18,-0.45,,
SNR017.4-00.1,Marginally Classified,275.8146,-13.7088,17.55,-0.12,,
SNR017.8-02.6,Not an SNR,277.6721,-14.6417,17.56,-2.14,,
SNR018.1-00.1,Not an SNR,276.0374,-13.4775,17.86,-0.2,,
SNR018.9-01.1,Marginally Classified,277.2296,-12.8579,18.95,-0.94,,
SNR020.0-00.2,Classified,277.1074,-11.5025,20.09,-0.2,,
SNR022.7-00.2,Not an SNR,278.5602,-8.7489,23.19,-0.2,,
SNR023.3-00.3,Classified,278.5657,-8.7493,23.2,-0.2,,
SNR023.6+00.3,Not an SNR,278.5621,-8.7434,23.2,-0.19,,
SNR024.7-00.6,Not an SNR,279.2293,-6.9484,25.1,0.04,,
SNR024.7+00.6,Classified,278.5991,-7.1727,24.61,0.5,,
SNR027.4+00.0,Not an SNR,280.1325,-5.1927,27.07,0.05,,
SNR027.8+00.6,Not an SNR,280.0835,-5.0819,27.14,0.15,,
SNR028.6-00.1,Not an SNR,281.0951,-3.7266,28.81,-0.13,,
SNR028.8+01.5,Not an SNR,279.3522,-2.8065,28.83,1.84,,
SNR029.6+00.1,Not an SNR,281.1107,-3.1546,29.33,0.12,,
SNR030.7+01.0,Not an SNR,281.5139,-0.7338,31.67,0.86,,
SNR031.5-00.6,Not an SNR,282.6178,-0.4016,32.46,0.03,,
SNR031.9+00.0,Not an SNR,282.3957,-0.919,31.9,-0.01,,
SNR032.4+00.1,Marginally Classified,282.4829,-0.3685,32.43,0.17,,
SNR032.8-00.1,Not an SNR,282.6706,-0.4126,32.48,-0.02,,
SNR033.2-00.6,Not an SNR,282.7705,-0.0337,32.86,0.06,,
SNR034.7-00.4,Classified,284.0459,1.3391,34.66,-0.45,,
SNR035.6-00.4,Not an SNR,284.4409,2.2023,35.61,-0.4,,
SNR036.6-00.7,Not an SNR,284.6433,3.7289,37.06,0.12,,
SNR043.3-00.2,Classified,287.7545,9.0925,43.25,-0.17,,
SNR045.7-00.4,Classified,288.9388,11.0828,45.55,-0.28,,
SNR049.2-00.7,Classified,290.8146,14.1431,49.11,-0.46,,
SNR073.9+00.9,Marginally Classified,303.4883,36.1817,73.86,0.92,,
SNR074.0-08.5,Classified,312.7745,30.9031,74.18,-8.43,,
SNR074.9+01.2,Marginally Classified,303.9309,37.1584,74.87,1.17,,
SNR078.2+02.1,Classified,305.2557,40.4115,78.15,2.14,,
SNR089.0+04.7,Classified,311.147,50.4243,88.67,4.75,,
SNR109.1-01.0,Classified,345.4111,58.8329,109.13,-1.06,,
SNR111.7-02.1,Classified,350.8453,58.828,111.74,-2.12,,
