name,RA,Dec,l,b,x,y
2FAV?J0349-21.1,57.45,-21.1,,,,
2FAV?J1719+17.7,259.8,17.76666667,,,,
2FAV?J1553+12.9,238.4,12.95,,,,
2FAV?J1751+09.6,267.9,9.666666667,,,,
2FAV?J1849+67.0,282.325,67.08333333,,,,
2FAV?J1830+06.3,277.575,6.366666667,,,,
2FAV?J2025-07.5,306.425,-7.583333333,,,,
2FAV?J1504+10.4,226.1,10.48333333,,,,
2FAV?J2253+16.1,343.5,16.13333333,,,,
2FAV?J1310+32.3,197.65,32.38333333,,,,
2FAV?J1802-39.6,270.7,-39.65,,,,
2FAV?J0238+16.6,39.65,16.61666667,,,,
2FAV?J0909-02.4,137.4,-2.483333333,,,,
2FAV?J0654+50.7,103.6,50.7,,,,
2FAV?J1848+32.4,282.125,32.41666667,,,,
2FAV?J1123-64.3,170.9,-64.31666667,,,,
2FAV?J2207-53.7,331.9,-53.76666667,,,,
2FAV?J0529-83.4,82.25,-83.43333333,,,,
2FAV?J1911-20.0,287.8,-20.08333333,,,,
2FAV?J1457-35.6,224.4,-35.63333333,,,,
2FAV?J1229+02.0,187.25,2.033333333,,,,
2FAV?J0643+08.9,100.875,8.95,,,,
2FAV?J0759-56.6,119.95,-56.65,,,,
2FAV?J1354-10.7,208.7,-10.71666667,,,,
2FAV?J1259-32.3,194.925,-32.35,,,,
2FAV?J0210-51.0,32.675,-51.01666667,,,,
2FAV?J0654+45.2,103.575,45.23333333,,,,
2FAV?J0457-23.4,74.275,-23.41666667,,,,
2FAV?J0222+43.0,35.625,43.01666667,,,,
2FAV?J1217+30.1,184.5,30.11666667,,,,
2FAV?J0910-50.8,137.7,-50.81666667,,,,
2FAV?J2146+09.6,326.7,9.633333333,,,,
2FAV?J1923-21.0,290.9,-21.03333333,,,,
2FAV?J1357-18.0,209.35,-18.01666667,,,,
2FAV?J0730-11.6,112.6,-11.68333333,,,,
2FAV?J2327+09.6,351.95,9.666666667,,,,
2FAV?J0953-08.6,148.3,-8.6,,,,
2FAV?J0850-12.2,132.525,-12.2,,,,
2FAV?J1256-05.7,194.05,-5.783333333,,,,
2FAV?J1740+87.3,265.05,87.31666667,,,,
2FAV?J0714+19.6,108.5,19.63333333,,,,
2FAV?J0920+44.6,140.225,44.7,,,,
2FAV?J1724+40.0,261.075,40.06666667,,,,
2FAV?J0442-00.2,70.675,-0.3,,,,
2FAV?J1246-25.8,191.65,-25.81666667,,,,
2FAV?J1740+52.2,265.25,52.21666667,,,,
2FAV?J0355+80.1,58.875,80.16666667,,,,
2FAV?J1239+04.7,189.9,4.716666667,,,,
2FAV?J1103-53.9,165.95,-53.95,,,,
2FAV?J0805+61.7,121.25,61.71666667,,,,
2FAV?J1326-52.9,201.75,-52.95,,,,
2FAV?J1512-09.1,228.2,-9.116666667,,,,
2FAV?J1016+05.2,154.05,5.266666667,,,,
2FAV?J0112+32.1,18.25,32.16666667,,,,
2FAV?J0221+35.9,35.275,35.93333333,,,,
2FAV?J2015+37.1,303.85,37.18333333,,,,
2FAV?J1604-44.6,241.175,-44.68333333,,,,
2FAV?J1121-05.9,170.325,-5.916666667,,,,
2FAV?J0252-22.3,43.2,-22.31666667,,,,
2FAV?J0428-37.9,67.15,-37.93333333,,,,
2FAV?J0609-14.1,92.45,-14.11666667,,,,
2FAV?J1242+17.1,190.725,17.1,,,,
2FAV?J1734+38.9,263.6,38.96666667,,,,
2FAV?J1700+68.4,255.05,68.48333333,,,,
2FAV?J0643-16.4,100.875,-16.4,,,,
2FAV?J0602-41.9,90.725,-41.96666667,,,,
2FAV?J2236+28.4,339.125,28.46666667,,,,
2FAV?J2250-28.1,342.725,-28.11666667,,,,
2FAV?J0137+47.8,24.35,47.85,,,,
2FAV?J0403-36.0,60.95,-36.08333333,,,,
2FAV?J0719+33.1,109.85,33.13333333,,,,
2FAV?J2143+17.7,325.925,17.71666667,,,,
2FAV?J0608-15.2,92.05,-15.28333333,,,,
2FAV?J0808-07.8,122.075,-7.85,,,,
2FAV?J2214-26.6,333.525,-26.61666667,,,,
2FAV?J0312+01.5,48.15,1.516666667,,,,
2FAV?J1542+61.7,235.7,61.7,,,,
2FAV?J1643+39.8,250.75,39.81666667,,,,
2FAV?J1717-33.7,259.4,-33.71666667,,,,
2FAV?J0839+01.0,129.95,1.083333333,,,,
2FAV?J1332-12.9,203.15,-12.96666667,,,,
2FAV?J1321+22.2,200.325,22.26666667,,,,
2FAV?J0937+50.1,144.25,50.11666667,,,,
2FAV?J2330-21.8,352.75,-21.81666667,,,,
