name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
2FGL J1326.4-4729,PointSource,201.6051483,-47.49788666,,2.28E-12,,,,
2FGL J1328.5-4728,PointSource,202.1481171,-47.47114563,,1.77E-14,,,,
2FGL J1604.5-4442,PointSource,241.1414642,-44.71598053,,1.65E-11,,,,
2FGL J1639.8-4921c,PointSource,249.9639435,-49.36321259,,4.32E-13,,,,
2FGL J1643.3-4928,PointSource,250.8458385,-49.46828551,,9.10E-13,,,,
2FGL J1648.1-4930,PointSource,252.0462341,-49.50534439,,7.98E-14,,,,
2FGL J1650.1-5044,PointSource,252.540329,-50.74439239,,5.90E-12,,,,
2FGL J1722.7+1013,PointSource,260.6820688,10.23022798,,2.72E-12,,,,
2FGL J1725.0+1151,PointSource,261.2684798,11.86501585,,6.55E-13,,,,
2FGL J1727.9+1220,PointSource,261.9819946,12.34623814,,1.00E-13,,,,
2FGL J1728.0-2737c,PointSource,262.0078735,-27.63171577,,3.38E-12,,,,
2FGL J1731.9-2703c,PointSource,262.9889526,-27.0654068,,1.11E-12,,,,
2FGL J1733.4-2812c,PointSource,263.3586731,-28.20339394,,1.15E-12,,,,
2FGL J1739.6-2726,PointSource,264.9157104,-27.43440437,,1.61E-11,,,,
2FGL J1802.3-2445c,PointSource,270.5888062,-24.76298904,,1.72E-11,,,,
2FGL J1811.3-2421,PointSource,272.8330688,-24.36516571,,2.49E-11,,,,
2FGL J1809.8-2332,PointSource,272.4681702,-23.54616928,,1.12E-10,,,,
2FGL J1836.8-0623c,PointSource,279.2203979,-6.386018753,,3.21E-12,,,,
2FGL J1839.0-0539,PointSource,279.7661743,-5.655836105,,6.51E-12,,,,
2FGL J1839.3-0558c,PointSource,279.8272705,-5.980081081,,2.76E-12,,,,
2FGL J1841.2-0459c,PointSource,280.3050232,-4.995687485,,3.12E-12,,,,
2FGL J1855.9+0121e,DiffuseSource,283.99,1.355,0.3,4.65E-11,,,,
2FGL J1852.7+0047c,PointSource,283.1826477,0.787793338,,6.28E-11,,,,
2FGL J1852.8+0156c,PointSource,283.2049561,1.933809161,,4.72E-12,,,,
2FGL J1911.0+0905,PointSource,287.7635803,9.094116211,,7.40E-12,,,,
2FGL J1914.4+0951c,PointSource,288.6186218,9.850643158,,8.39E-12,,,,
2FGL J1916.1+1106,PointSource,289.0450134,11.10939884,,7.64E-11,,,,
2FGL J0821.0-4254,PointSource,125.2503433,-42.91394043,,8.03E-14,,,,
2FGL J0823.0-4246,PointSource,125.7663193,-42.77037811,,2.14E-12,,,,
2FGL J0823.4-4305,PointSource,125.8582382,-43.09178543,,3.00E-14,,,,
2FGL J2013.8+4115c,PointSource,303.4537048,41.25992584,,5.13E-12,,,,
2FGL J2019.1+4040,PointSource,304.7792053,40.6809082,,1.07E-13,,,,
2FGL J2020.0+4159,PointSource,305.0156555,41.99317551,,1.50E-11,,,,
2FGL J2021.5+4026,PointSource,305.3915405,40.44066238,,4.19E-10,,,,
2FGL J2032.1+4049,PointSource,308.0438232,40.82818985,,7.51E-11,,,,
2FGL J2032.2+4126,PointSource,308.0622253,41.4368782,,7.58E-12,,,,
2FGL J2104.9+3555,PointSource,316.2395935,35.92975616,,8.88E-13,,,,
2FGL J2107.8+3652,PointSource,316.9631348,36.88237381,,3.15E-14,,,,
2FGL J0007.7+6825c,PointSource,1.925052047,68.42321777,,1.27E-11,,,,
2FGL J0007.0+7303,PointSource,1.773521543,73.05451202,,1.09E-10,,,,
2FGL J0035.8+5951,PointSource,8.964314461,59.8536911,,2.50E-13,,,,
2FGL J0153.9+0823,PointSource,28.4888382,8.395885468,,4.51E-13,,,,
2FGL J2131.6-0914,PointSource,322.9216973,-9.241872862,,2.38E-13,,,,
2FGL J0205.0+1514,PointSource,31.25589371,15.23488617,,1.19E-12,,,,
2FGL J0211.2+1050,PointSource,32.80574769,10.83654673,,3.59E-12,,,,
2FGL J0217.4+0836,PointSource,34.35012054,8.611999512,,3.83E-13,,,,
2FGL J0226.1+0943,PointSource,36.54157196,9.719017774,,2.41E-13,,,,
2FGL J1106.3-3643,PointSource,166.5988007,-36.72047424,,5.07E-13,,,,
2FGL J0848.7-4324,PointSource,132.1875763,-43.40683746,,6.59E-11,,,,
2FGL J0854.7-4501,PointSource,133.6953458,-45.02850502,,2.44E-12,,,,
2FGL J0858.3-4333,PointSource,134.5842133,-43.55961609,,1.85E-11,,,,
2FGL J0900.5-4441c,PointSource,135.1495056,-44.68771744,,1.34E-12,,,,
2FGL J0214.5+6251c,PointSource,33.63746262,62.85311127,,2.35E-13,,,,
2FGL J0218.7+6208c,PointSource,34.68001556,62.13954544,,2.47E-11,,,,
2FGL J0221.4+6257c,PointSource,35.37306976,62.96083832,,2.45E-12,,,,
2FGL J1019.0+5915,PointSource,154.7522583,59.26357651,,1.84E-13,,,,
2FGL J1033.9+6050,PointSource,158.4844818,60.83491516,,1.42E-11,,,,
2FGL J0253.9+5908,PointSource,43.4757843,59.13467789,,1.64E-12,,,,
2FGL J2157.4+3129,PointSource,329.3651123,31.4989624,,2.09E-11,,,,
2FGL J2214.7+3000,PointSource,333.6907959,30.01252556,,7.56E-12,,,,
