PSR_Name,RA,Dec,l,b,x,y
J0007+7303,1.7565,73.0523,119.66,10.46,,
J0023+0923,5.8203,9.39,111.38,-52.85,,
J0030+0451,7.6143,4.861,113.14,-57.61,,
J0034-0534,8.591,-5.5769,111.49,-68.07,,
J0101-6422,15.2963,-64.375,301.19,-52.72,,
J0102+4839,15.7111,48.6619,124.87,-14.17,,
J0106+4855,16.6045,48.931,125.47,-13.87,,
J0205+6449,31.408,64.8286,130.72,3.08,,
J0218+4232,34.5265,42.5382,139.51,-17.53,,
J0248+6021,42.0776,60.3597,136.9,0.7,,
J0340+4130,55.097,41.5126,153.78,-11.02,,
J0357+3205,59.4674,32.09,162.76,-16.01,,
J0437-4715,69.3162,-47.2525,253.39,-41.96,,
J0534+2200,83.6332,22.0145,184.56,-5.78,,
J0610-2100,92.5566,-21.0078,227.75,-18.18,,
J0613-0200,93.4332,-2.0131,210.41,-9.3,,
J0614-3329,93.5431,-33.4984,240.5,-21.83,,
J0622+3749,95.5441,37.8194,175.88,10.96,,
J0631+1036,97.8657,10.6165,201.22,0.45,,
J0633+0632,98.4338,6.5416,205.09,-0.93,,
J0633+1746,98.4762,17.7708,195.13,4.27,,
J0659+1414,104.9507,14.2393,201.11,8.26,,
J0729-1448,112.3173,-14.8113,230.39,1.42,,
J0734-1559,113.6902,-15.988,232.06,2.02,,
J0742-2822,115.7043,-28.3789,243.77,-2.44,,
J0751+1807,117.7881,18.1274,202.73,21.09,,
J0835-4510,128.8358,-45.1763,263.55,-2.79,,
J0908-4913,137.148,-49.2185,270.27,-1.02,,
J0940-5428,145.2426,-54.4779,277.51,-1.29,,
J1016-5857,154.0882,-58.9534,284.08,-1.88,,
J1019-5749,154.9673,-57.8183,283.84,-0.68,,
J1023-5746,155.7609,-57.7698,284.17,-0.41,,
J1024-0719,156.1611,-7.3221,251.7,40.52,,
J1028-5819,157.1162,-58.3184,285.07,-0.5,,
J1044-5737,161.1371,-57.6221,286.58,1.16,,
J1048-5832,162.0508,-58.5349,287.43,0.58,,
J1057-5226,164.4952,-52.449,285.98,6.65,,
J1105-6107,166.359,-61.1309,290.49,-0.85,,
J1112-6103,168.0618,-61.0587,291.22,-0.46,,
J1119-6127,169.8096,-61.4637,292.15,-0.54,,
J1124-3653,171.0047,-36.8886,284.1,22.76,,
J1124-5916,171.1629,-59.2722,292.04,1.75,,
J1125-5825,171.4349,-58.4214,291.89,2.6,,
J1135-6055,173.7841,-60.9264,293.79,0.58,,
J1231-1411,187.7971,-14.1955,295.53,48.39,,
J1357-6429,209.2601,-64.4917,309.92,-2.51,,
J1410-6132,212.592,-61.5331,312.19,-0.09,,
J1413-6205,213.3759,-62.0935,312.37,-0.74,,
J1418-6058,214.6783,-60.9667,313.32,0.13,,
J1420-6048,215.0343,-60.8046,313.54,0.23,,
J1429-5911,217.4939,-59.1935,315.26,1.3,,
J1446-4701,221.6488,-47.0241,322.5,11.43,,
J1459-6053,224.8757,-60.8888,317.89,-1.79,,
J1509-5850,227.363,-58.8489,319.97,-0.62,,
J1513-5908,228.4818,-59.1358,320.32,-1.16,,
J1514-4946,228.5796,-49.771,325.25,6.81,,
J1531-5610,232.8663,-56.182,323.9,0.03,,
J1600-3053,240.2163,-30.897,344.09,16.45,,
J1614-2230,243.6521,-22.5087,352.64,20.19,,
J1620-4927,245.1734,-49.46,333.89,0.41,,
J1648-4611,252.0918,-46.1878,339.44,-0.79,,
J1658-5324,254.6639,-53.4019,334.87,-6.63,,
J1702-4128,255.7188,-41.4801,344.74,0.12,,
J1709-4429,257.4192,-44.4652,343.11,-2.67,,
J1713+0747,258.4564,7.7937,28.75,25.22,,
J1718-3825,259.5565,-38.4217,348.95,-0.43,,
J1730-3350,262.6348,-33.8409,354.14,0.09,,
J1732-3131,263.1397,-31.5228,356.31,1.01,,
J1741-2054,265.4883,-20.9036,6.42,4.91,,
J1741+1351,265.3798,13.8623,37.89,21.64,,
J1744-1134,266.1225,-11.5819,14.79,9.18,,
J1746-3239,266.729,-32.6604,356.96,-2.17,,
J1747-2958,266.8162,-29.9669,359.31,-0.84,,
J1747-4036,266.953,-40.6152,350.21,-6.41,,
J1801-2451,270.2498,-24.8685,5.25,-0.89,,
J1803-2149,270.7902,-21.8205,8.14,0.19,,
J1809-2332,272.4592,-23.5343,7.39,-1.99,,
J1810+1744,272.6554,17.7437,44.64,16.81,,
J1813-1246,273.3489,-12.7669,17.24,2.44,,
J1823-3021A,275.9187,-30.3611,2.79,-7.91,,
J1826-1256,276.5355,-12.9428,18.56,-0.38,,
J1833-1034,278.3899,-10.5688,21.5,-0.89,,
J1835-1106,278.8269,-11.1037,21.22,-1.51,,
J1836+5925,279.0571,59.4249,88.88,25,,
J1838-0537,279.7334,-5.6193,26.51,0.21,,
J1846+0919,281.6078,9.3294,40.69,5.34,,
J1858-2216,284.5745,-22.2823,13.58,-11.39,,
J1902-5105,285.5119,-51.0992,345.65,-22.38,,
J1907+0602,286.9781,6.038,40.18,-0.89,,
J1939+2134,294.9107,21.5831,57.51,-0.29,,
J1952+3252,298.2422,32.8781,68.77,2.82,,
J1954+2836,298.5798,28.6014,65.24,0.38,,
J1957+5033,299.4449,50.5618,84.6,11,,
J1958+2846,299.6667,28.7648,65.88,-0.35,,
J1959+2048,299.9032,20.8041,59.2,-4.7,,
J2017+0603,304.3446,6.0515,48.62,-16.03,,
J2021+3651,305.274,36.851,75.22,0.11,,
J2021+4026,305.3737,40.4485,78.23,2.09,,
J2028+3332,307.0828,33.5345,73.36,-3.01,,
J2030+3641,307.5011,36.6909,76.12,-1.44,,
J2030+4415,307.7141,44.2607,82.34,2.89,,
J2032+4127,308.0546,41.4568,80.22,1.03,,
J2043+1711,310.837,17.1914,61.92,-15.31,,
J2043+2740,310.9313,27.6821,70.61,-9.15,,
J2047+1053,311.7928,10.8855,57.05,-19.68,,
J2051-0827,312.7813,-8.4605,39.19,-30.41,,
J2055+2539,313.9538,25.6666,70.69,-12.52,,
J2111+4606,317.8503,46.1087,88.31,-1.45,,
J2124-3358,321.1827,-33.9791,10.93,-45.44,,
J2139+4716,324.983,47.2703,92.63,-4.02,,
J2214+3000,333.6619,30.0106,86.86,-21.67,,
J2215+5135,333.8862,51.5934,99.87,-4.16,,
J2229+6114,337.2739,61.2345,106.65,2.95,,
J2238+5903,339.6173,59.0624,106.56,0.48,,
J2240+5832,340.179,58.5438,106.57,-0.11,,
J2241-5236,340.4251,-52.6101,337.46,-54.93,,
J2302+4442,345.6957,44.7061,103.4,-14,,
