name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
3FHL J0024.2-7205,PointSource,6.057860214,-72.09446087,,1.7337E-15,,,,
3FHL J2307.7+1451,PointSource,346.9254479,14.86622344,,1.66802E-15,,,,
3FHL J2314.0+1445,PointSource,348.5031329,14.75438718,,1.27237E-15,,,,
3FHL J2334.8+1431,PointSource,353.7183229,14.52629204,,5.3269E-15,,,,
3FHL J2036.0+4901,PointSource,309.0108705,49.0198331,,6.66785E-16,,,,
3FHL J2039.4+5219,PointSource,309.866817,52.32008238,,9.51765E-16,,,,
3FHL J1545.7-2338,PointSource,236.4427222,-23.63454801,,4.03339E-16,,,,
3FHL J1548.7-2250,PointSource,237.1997351,-22.84984544,,2.15202E-15,,,,
3FHL J1553.8-2425,PointSource,238.4607135,-24.42058089,,3.53206E-16,,,,
3FHL J1559.9-2526,PointSource,239.9988511,-25.43897616,,1.2526E-15,,,,
3FHL J1602.8-1928,PointSource,240.7215791,-19.46950629,,1.00339E-15,,,,
3FHL J1607.9-2039,PointSource,241.9968829,-20.65070829,,5.44552E-16,,,,
3FHL J1539.8+2744,PointSource,234.9591474,27.74106888,,5.76136E-16,,,,
3FHL J1559.8+2322,PointSource,239.9699893,23.37034704,,1.86574E-15,,,,
3FHL J1549.9-0659,PointSource,237.4943599,-6.991204244,,2.09326E-15,,,,
3FHL J1550.8-0822,PointSource,237.7176387,-8.370769724,,4.21048E-16,,,,
3FHL J1226.7+0635,PointSource,186.6859663,6.596814578,,6.46266E-16,,,,
3FHL J1239.6+0443,PointSource,189.9096839,4.720645088,,3.06878E-15,,,,
3FHL J1231.7+2847,PointSource,187.9381816,28.79290048,,6.14081E-15,,,,
3FHL J0925.8+5958,PointSource,141.4689019,59.97201346,,8.0473E-16,,,,
3FHL J0940.5+6149,PointSource,145.1408142,61.81798321,,3.1096E-16,,,,
3FHL J1023.8+3002,PointSource,155.9690399,30.0480744,,3.34996E-16,,,,
3FHL J1514.2-5909e,DiffuseSource,228.571,-59.163,0.242907,6.8186E-15,,,,
3FHL J1524.8-5904,PointSource,231.205885,-59.08291622,,1.7374E-15,,,,
3FHL J1509.5-5851,PointSource,227.3817641,-58.85854895,,8.50839E-15,,,,
3FHL J1258.8-2218,PointSource,194.712141,-22.31449583,,2.816E-15,,,,
3FHL J1259.0-2311,PointSource,194.7648342,-23.19051971,,1.45233E-15,,,,
