RA,Dec,mag,x,y,x0,y0
2.097083333,29.09055556,2.06,,,,
17.43291667,35.62055556,2.06,,,,
30.975,42.32972222,2.26,,,,
9.832083333,30.86083333,3.27,,,,
24.49833333,48.62833333,3.57,,,,
345.4804167,42.32611111,3.62,,,,
354.39125,46.45805556,3.82,,,,
14.18833333,38.49944444,3.87,,,,
11.83458333,24.26722222,4.06,,,,
24.19916667,41.40555556,4.09,,,,
355.1020833,44.33388889,4.14,,,,
17.37583333,47.24194444,4.25,,,,
354.5341667,43.26805556,4.29,,,,
9.220416667,33.71944444,4.36,,,,
9.63875,29.31166667,4.37,,,,
14.30166667,23.4175,4.42,,,,
4.582083333,36.78527778,4.52,,,,
348.1375,49.40638889,4.52,,,,
12.45333333,41.07888889,4.53,,,,
4.272916667,38.68166667,4.61,,,,
346.0458333,50.05222222,4.65,,,,
36.40583333,50.27861111,4.71,,,,
32.12208333,37.85916667,4.82,,,,
21.91416667,45.40666667,4.83,,,,
33.30541667,44.23166667,4.83,,,,
30.97791667,42.33083333,4.84,,,,
349.43625,49.01527778,4.85,,,,
20.585,45.52888889,4.88,,,,
25.145,40.57694444,4.94,,,,
25.44666667,42.61361111,4.95,,,,
356.50875,46.42027778,4.95,,,,
24.8375,44.38611111,4.98,,,,
2.580416667,46.07222222,5.03,,,,
17.00375,43.94194444,5.03,,,,
345.65125,42.75777778,5.1,,,,
9.194166667,44.48861111,5.13,,,,
7.057083333,44.39444444,5.17,,,,
5.280416667,37.96861111,5.18,,,,
36.10375,50.00666667,5.19,,,,
352.8225,39.23638889,5.22,,,,
7.530416667,29.75166667,5.23,,,,
22.52583333,47.00722222,5.27,,,,
34.82,47.38,5.3,,,,
354.7845833,50.47166667,5.3,,,,
33.40125,51.06583333,5.31,,,,
10.28,39.45861111,5.33,,,,
346.91375,46.38722222,5.33,,,,
28.32208333,40.72972222,5.4,,,,
349.8741667,48.62527778,5.44,,,,
13.74166667,23.62833333,5.47,,,,
9.337916667,35.39944444,5.48,,,,
20.91916667,37.715,5.58,,,,
35.2425,50.15138889,5.59,,,,
353.65625,40.23638889,5.59,,,,
25.16583333,43.29777778,5.61,,,,
32.72,39.03944444,5.63,,,,
17.57833333,42.08138889,5.65,,,,
29.03875,37.25166667,5.67,,,,
346.9391667,49.29583333,5.7,,,,
38.91166667,37.31222222,5.71,,,,
3.378333333,41.03527778,5.72,,,,
351.7808333,42.91194444,5.75,,,,
350.2220833,38.18222222,5.77,,,,
5.189583333,32.91138889,5.79,,,,
349.9683333,42.07805556,5.79,,,,
354.3833333,44.42916667,5.8,,,,
17.79291667,37.72416667,5.81,,,,
35.70958333,41.39638889,5.82,,,,
4.659583333,31.51722222,5.87,,,,
7.856666667,33.58166667,5.87,,,,
23.56916667,37.23722222,5.88,,,,
28.97666667,37.27777778,5.89,,,,
5.101666667,30.93583333,5.9,,,,
39.23833333,38.73277778,5.9,,,,
357.4208333,36.42527778,5.9,,,,
24.11333333,48.72277778,5.92,,,,
27.16208333,37.95277778,5.94,,,,
347.6133333,43.54416667,5.94,,,,
21.5775,43.45777778,5.96,,,,
359.265,42.65833333,5.97,,,,
14.55916667,33.95083333,5.98,,,,
15.72625,41.345,5.98,,,,
358.89,47.35583333,6,,,,
1.152916667,42.09222222,6.01,,,,
349.5975,41.77361111,6.02,,,,
10.4,24.62916667,6.04,,,,
15.015,44.71333333,6.04,,,,
11.54541667,44.86138889,6.05,,,,
352.6654167,38.66194444,6.05,,,,
13.3675,37.41805556,6.06,,,,
33.51083333,47.48416667,6.06,,,,
356.8883333,46.8325,6.07,,,,
32.72375,39.04305556,6.1,,,,
4.675416667,43.79111111,6.11,,,,
18.14166667,45.33777778,6.11,,,,
35.1725,47.31083333,6.11,,,,
346.7920833,52.81638889,6.11,,,,
14.41541667,45.83972222,6.12,,,,
36.96583333,50.56972222,6.12,,,,
1.224166667,34.65972222,6.12,,,,
1.653333333,29.02138889,6.13,,,,
350.1833333,44.11638889,6.13,,,,
4.09,43.59472222,6.15,,,,
12.57625,45.00222222,6.15,,,,
2.99625,48.1525,6.16,,,,
352.5308333,49.13305556,6.17,,,,
39.57416667,37.72666667,6.18,,,,
353.6945833,38.02388889,6.18,,,,
2.170833333,36.62666667,6.19,,,,
34.79541667,46.4725,6.21,,,,
355.1691667,36.72083333,6.23,,,,
28.72416667,40.70194444,6.24,,,,
353.4279167,45.05805556,6.24,,,,
3.509583333,33.20611111,6.25,,,,
19.5425,47.41972222,6.25,,,,
0.4325,42.36722222,6.25,,,,
7.235833333,36.9,6.26,,,,
28.73958333,37.12833333,6.26,,,,
21.77583333,34.3775,6.27,,,,
20.90625,34.24583333,6.29,,,,
344.7929167,52.65444444,6.29,,,,
3.35,26.98722222,6.3,,,,
8.204583333,28.28027778,6.3,,,,
39.61583333,38.08944444,6.3,,,,
21.53625,34.57972222,6.31,,,,
348.5595833,50.61777778,6.31,,,,
26.95,46.22972222,6.32,,,,
349.9233333,48.38083333,6.32,,,,
4.923333333,40.72972222,6.33,,,,
33.99125,47.81138889,6.33,,,,
19.27125,44.90194444,6.34,,,,
25.81875,45.32222222,6.34,,,,
3.794166667,27.28305556,6.35,,,,
26.11041667,46.13972222,6.35,,,,
354.1270833,32.90416667,6.35,,,,
24.63208333,45.4,6.36,,,,
38.86625,39.66444444,6.36,,,,
34.84458333,48.95527778,6.37,,,,
23.96875,41.07638889,6.38,,,,
0.182083333,45.25333333,6.38,,,,
345.6883333,44.05888889,6.39,,,,
32.14,44.45944444,6.42,,,,
349.3191667,45.16416667,6.43,,,,
3.779166667,31.53583333,6.45,,,,
15.75625,47.37611111,6.45,,,,
19.69583333,37.38611111,6.46,,,,
21.86083333,41.10055556,6.46,,,,
9.28,24.01416667,6.47,,,,
349.48375,45.48888889,6.48,,,,
9.083333333,27.25472222,6.5,,,,
345.1433333,45.375,6.5,,,,
349.76,45.13722222,6.5,,,,
359.705,32.38166667,6.52,,,,
355.0116667,37.6525,6.53,,,,
39.33666667,39.89583333,6.54,,,,
345.2279167,38.70805556,6.54,,,,
359.69375,46.41305556,6.54,,,,
34.29333333,23.76777778,6.55,,,,
347.05125,44.56166667,6.56,,,,
355.5616667,44.99194444,6.57,,,,
354.4941667,46.19972222,6.58,,,,
359.8716667,33.72444444,6.58,,,,
359.8716667,33.72444444,6.58,,,,
21.94583333,40.33555556,6.6,,,,
19.10208333,48.08222222,6.61,,,,
34.90541667,39.835,6.63,,,,
346.8254167,46.06805556,6.66,,,,
8.14375,27.58055556,6.67,,,,
13.2225,38.54861111,6.69,,,,
1.29125,45.22916667,6.7,,,,
8.111666667,43.49472222,6.7,,,,
34.38916667,44.30694444,6.7,,,,
16.15166667,39.99111111,6.72,,,,
351.1458333,41.11277778,6.72,,,,
3.21,37.69333333,6.73,,,,
29.485,41.69444444,6.78,,,,
15.01416667,44.71111111,6.84,,,,
6.008333333,38.57722222,7.39,,,,
