RA,Dec,mag,x,y,x0,y0
156.7879167,-31.06777778,4.25,,,,
142.31125,-35.95138889,4.51,,,,
164.1795833,-37.13777778,4.6,,,,
146.0504167,-27.76944444,4.79,,,,
149.7179167,-35.89111111,5.23,,,,
155.8720833,-38.01,5.33,,,,
154.5316667,-28.99194444,5.34,,,,
158.80375,-39.56277778,5.38,,,,
166.2258333,-35.80472222,5.43,,,,
142.4770833,-26.58972222,5.48,,,,
157.3975,-30.60722222,5.56,,,,
162.4875,-34.05805556,5.61,,,,
144.29125,-32.17861111,5.63,,,,
160.68,-32.71583333,5.64,,,,
144.2508333,-25.29666667,5.7,,,,
149.1479167,-33.41861111,5.84,,,,
142.8870833,-35.715,5.87,,,,
153.44125,-40.34583333,5.9,,,,
142.8841667,-31.87194444,5.93,,,,
147.3670833,-37.18638889,5.97,,,,
144.3679167,-36.09583333,5.98,,,,
152.3825,-35.85666667,6.13,,,,
142.6920833,-31.88944444,6.18,,,,
142.3179167,-38.40388889,6.19,,,,
153.8370833,-36.51805556,6.19,,,,
151.3133333,-36.38388889,6.27,,,,
155.8045833,-30.16222222,6.27,,,,
153.0120833,-28.60638889,6.28,,,,
148.2416667,-27.33222222,6.3,,,,
154.6575,-36.80472222,6.3,,,,
149.225,-27.475,6.32,,,,
153.4858333,-40.31055556,6.35,,,,
152.0070833,-37.33361111,6.36,,,,
147.46375,-36.26861111,6.37,,,,
160.215,-35.74166667,6.37,,,,
153.3533333,-33.03194444,6.38,,,,
145.6725,-35.50166667,6.41,,,,
143.2825,-39.12888889,6.43,,,,
151.0975,-39.97583333,6.43,,,,
146.3408333,-30.20277778,6.45,,,,
143.0770833,-28.62805556,6.46,,,,
143.7991667,-35.82388889,6.49,,,,
144.1404167,-24.70277778,6.53,,,,
150.7054167,-30.5775,6.54,,,,
141.91,-35.00777778,6.65,,,,
144.6695833,-39.61416667,6.7,,,,
146.0658333,-39.57111111,6.82,,,,
142.6891667,-31.89138889,7,,,,
