RA,Dec,mag,x,y,x0,y0
221.965,-79.04472222,3.83,,,,
248.3625,-78.89722222,3.89,,,,
250.7691667,-77.5175,4.24,,,,
245.0866667,-78.69583333,4.68,,,,
260.4975,-67.77055556,4.78,,,,
214.5575,-81.00777778,4.91,,,,
215.5945833,-80.10888889,5.06,,,,
245.1116667,-78.66722222,5.27,,,,
224.4704167,-76.66277778,5.34,,,,
260.5245833,-70.12333333,5.41,,,,
232.8783333,-73.38944444,5.49,,,,
211.3325,-76.79666667,5.5,,,,
248.5804167,-70.98805556,5.5,,,,
223.3070833,-73.19,5.6,,,,
235.0883333,-73.44666667,5.65,,,,
241.4825,-72.40083333,5.7,,,,
273.14375,-73.67166667,5.85,,,,
272.8154167,-75.89138889,5.86,,,,
262.86375,-80.85916667,5.88,,,,
225.0491667,-77.16027778,5.93,,,,
235.4775,-76.08194444,5.95,,,,
228.1408333,-72.77027778,6.01,,,,
212.1129167,-74.85027778,6.02,,,,
217.4033333,-76.72916667,6.07,,,,
269.4241667,-76.1775,6.07,,,,
210.1366667,-78.59,6.09,,,,
234.82625,-77.91805556,6.18,,,,
224.9833333,-75.0325,6.2,,,,
258.0825,-70.72111111,6.22,,,,
259.1483333,-74.53305556,6.25,,,,
271.36125,-81.48638889,6.35,,,,
216.0970833,-82.84861111,6.42,,,,
214.22875,-77.66388889,6.47,,,,
266.0820833,-72.22083333,6.49,,,,
226.78625,-71.90527778,6.52,,,,
260.0533333,-70.04555556,6.53,,,,
