RA,Dec,mag,x,y,x0,y0
297.6958333,8.868333333,0.77,,,,
296.565,10.61333333,2.72,,,,
286.3525,13.86333333,2.99,,,,
302.82625,-0.821388889,3.23,,,,
291.3745833,3.114722222,3.36,,,,
286.5620833,-4.8825,3.44,,,,
298.8283333,6.406666667,3.71,,,,
298.1183333,1.005555556,3.9,,,,
284.9058333,15.06833333,4.02,,,,
285.42,-5.738888889,4.02,,,,
309.5845833,-1.105277778,4.32,,,,
294.1804167,-1.286388889,4.36,,,,
293.5225,7.378888889,4.45,,,,
291.6295833,0.338611111,4.66,,,,
298.5620833,8.461388889,4.71,,,,
309.1816667,-2.55,4.89,,,,
307.4125,-2.885555556,4.91,,,,
294.2229167,-7.0275,4.95,,,,
290.1370833,-5.415833333,5.01,,,,
281.2079167,2.06,5.02,,,,
292.6658333,-2.788888889,5.03,,,,
286.7441667,11.07138889,5.09,,,,
289.6354167,1.085277778,5.1,,,,
297.7566667,10.41555556,5.11,,,,
293.7804167,-10.56027778,5.12,,,,
288.4279167,2.293611111,5.15,,,,
291.2425,11.94444444,5.16,,,,
294.7983333,5.397777778,5.17,,,,
287.2495833,6.073333333,5.22,,,,
284.77375,13.6225,5.23,,,,
295.6416667,11.82666667,5.27,,,,
289.4541667,11.59527778,5.28,,,,
299.0595833,11.42388889,5.28,,,,
305.7945833,5.343055556,5.31,,,,
288.1695833,-7.939444444,5.34,,,,
284.56125,17.36083333,5.38,,,,
297.695,-10.76361111,5.39,,,,
285.7270833,-3.698888889,5.42,,,,
286.24,-4.031388889,5.42,,,,
294.4470833,-4.6475,5.46,,,,
303.3079167,-1.009444444,5.47,,,,
290.14875,-0.892222222,5.49,,,,
301.0345833,7.278055556,5.52,,,,
289.91375,12.37472222,5.53,,,,
292.3420833,14.59583333,5.56,,,,
283.8645833,6.615277778,5.57,,,,
288.83375,15.08361111,5.57,,,,
289.1291667,4.834722222,5.59,,,,
298.6866667,0.273611111,5.61,,,,
289.1116667,14.54472222,5.63,,,,
298.3279167,-3.114444444,5.65,,,,
295.1804167,-0.621111111,5.67,,,,
300.875,16.03138889,5.67,,,,
301.0966667,-0.709444444,5.68,,,,
298.6566667,-8.227222222,5.71,,,,
297.1754167,11.81583333,5.72,,,,
291.6004167,13.02388889,5.74,,,,
298.5341667,-8.574166667,5.79,,,,
292.2541667,1.950277778,5.8,,,,
285.8841667,1.818888889,5.83,,,,
290.5895833,-0.2525,5.83,,,,
292.0866667,2.930277778,5.85,,,,
299.9475,-9.958333333,5.88,,,,
284.6954167,13.90666667,5.89,,,,
281.61875,-0.961666667,5.9,,,,
296.41625,7.613333333,5.91,,,,
300.2454167,8.558055556,5.91,,,,
294.21875,11.27333333,5.98,,,,
302.0075,-0.678333333,5.99,,,,
295.2729167,13.81555556,6.01,,,,
289.9708333,11.535,6.02,,,,
297.2591667,-10.87083333,6.04,,,,
292.6379167,3.444444444,6.05,,,,
304.9304167,-1.078611111,6.06,,,,
286.5925,8.23,6.09,,,,
292.54375,2.904166667,6.09,,,,
282.8420833,-3.317777778,6.1,,,,
306.4270833,-2.800277778,6.11,,,,
297.79625,-2.460833333,6.13,,,,
298.0145833,11.62888889,6.13,,,,
307.10375,-3.357777778,6.13,,,,
298.6679167,7.140277778,6.15,,,,
306.15625,1.068611111,6.15,,,,
299.8445833,1.377777778,6.17,,,,
289.4508333,2.031666667,6.19,,,,
284.5991667,6.240277778,6.21,,,,
284.0945833,-1.8,6.22,,,,
309.32625,0.096944444,6.22,,,,
282.4045833,0.835833333,6.25,,,,
292.325,0.246111111,6.25,,,,
297.82375,9.630277778,6.25,,,,
296.1420833,13.30277778,6.26,,,,
303.1466667,0.8675,6.27,,,,
285.59,8.374166667,6.3,,,,
290.58625,-8.201111111,6.31,,,,
302.1595833,10.72583333,6.31,,,,
289.7195833,9.618055556,6.32,,,,
290.7691667,-7.400277778,6.32,,,,
291.89125,14.2825,6.32,,,,
287.465,-0.428055556,6.34,,,,
293.8741667,-7.460277778,6.34,,,,
295.5533333,12.19333333,6.34,,,,
301.2725,-11.59944444,6.34,,,,
301.3604167,15.50027778,6.34,,,,
290.7016667,9.913055556,6.35,,,,
294.7041667,3.381666667,6.35,,,,
293.855,2.913333333,6.38,,,,
294.0658333,14.39166667,6.38,,,,
289.7120833,0.339166667,6.41,,,,
301.9595833,9.399722222,6.43,,,,
297.1266667,10.69416667,6.44,,,,
301.5508333,-4.078333333,6.47,,,,
296.4675,-2.883333333,6.48,,,,
288.43375,5.515833333,6.49,,,,
298.65875,-8.237222222,6.49,,,,
297.5729167,7.9025,6.51,,,,
298.8316667,-6.734166667,6.51,,,,
291.2566667,-4.884166667,6.52,,,,
286.3275,-1.512777778,6.53,,,,
298.3441667,4.400555556,6.53,,,,
298.065,10.35138889,6.54,,,,
282.69,10.97638889,6.55,,,,
286.7879167,0.641666667,6.56,,,,
292.3395833,-7.043888889,6.61,,,,
305.10875,-6.361666667,6.63,,,,
290.7841667,14.92111111,6.64,,,,
294.0333333,11.15,6.68,,,,
301.005,-7.469722222,6.72,,,,
286.0445833,3.330555556,6.73,,,,
284.8229167,10.14083333,6.75,,,,
286.1008333,-5.685,6.9,,,,
