RA,Dec,mag,x,y,x0,y0
322.8895833,-5.571111111,2.91,,,,
331.4458333,-0.319722222,2.96,,,,
343.6625,-15.82083333,3.27,,,,
347.3616667,-21.1725,3.66,,,,
343.15375,-7.579722222,3.74,,,,
311.9191667,-9.495833333,3.77,,,,
335.4141667,-1.387222222,3.84,,,,
350.7425,-20.10055556,3.97,,,,
342.3979167,-13.5925,4.01,,,,
338.8391667,-0.1175,4.02,,,,
334.2083333,-7.783333333,4.16,,,,
348.9729167,-9.087777778,4.21,,,,
348.5808333,-6.048888889,4.22,,,,
331.6091667,-13.86972222,4.27,,,,
349.4758333,-9.1825,4.39,,,,
351.5116667,-20.64194444,4.39,,,,
311.9341667,-5.027777778,4.42,,,,
337.20875,-0.02,4.42,,,,
346.6704167,-23.74305556,4.47,,,,
355.6804167,-14.545,4.49,,,,
317.39875,-11.37166667,4.51,,,,
337.2070833,-0.020277778,4.59,,,,
336.3191667,1.3775,4.66,,,,
324.4379167,-7.854166667,4.69,,,,
330.82875,-2.155277778,4.69,,,,
340.8970833,-18.83027778,4.69,,,,
347.4783333,-22.4575,4.69,,,,
353.3191667,-20.91444444,4.71,,,,
313.1633333,-8.983333333,4.73,,,,
337.6616667,-10.67805556,4.82,,,,
355.4408333,-17.81638889,4.82,,,,
349.7404167,-9.610833333,4.98,,,,
354.94625,-14.22166667,5,,,,
339.4391667,-4.228055556,5.03,,,,
349.2120833,-7.726666667,5.06,,,,
349.7779167,-13.45888889,5.08,,,,
324.88875,2.243611111,5.1,,,,
335.3983333,-21.59833333,5.13,,,,
309.85375,0.486388889,5.16,,,,
357.83875,-18.90888889,5.18,,,,
338.6733333,-20.70833333,5.2,,,,
350.6633333,-15.03916667,5.2,,,,
356.0504167,-18.27694444,5.24,,,,
341.8879167,-19.61333333,5.26,,,,
355.61625,-15.44777778,5.28,,,,
356.50375,-18.67805556,5.29,,,,
331.1975,-0.906666667,5.3,,,,
333.575,-21.07416667,5.32,,,,
334.2004167,-12.83138889,5.34,,,,
355.39375,-18.02722222,5.34,,,,
335.0495833,-7.821111111,5.37,,,,
346.2908333,-7.693611111,5.43,,,,
332.65625,-11.565,5.46,,,,
321.0479167,-12.87805556,5.49,,,,
321.3208333,-3.556666667,5.49,,,,
314.225,-9.6975,5.51,,,,
335.87875,-24.7625,5.53,,,,
330.8183333,-6.5225,5.54,,,,
313.03625,-5.506944444,5.55,,,,
348.8929167,-3.496388889,5.55,,,,
349.85,-5.124444444,5.55,,,,
343.6895833,-16.27194444,5.56,,,,
330.2708333,0.605,5.58,,,,
354.415,-13.06027778,5.65,,,,
341.9283333,-14.05638889,5.66,,,,
325.5420833,1.285277778,5.67,,,,
321.3045833,-9.748611111,5.7,,,,
328.5433333,-4.276111111,5.71,,,,
343.7958333,-4.987777778,5.72,,,,
357.63875,-14.40194444,5.72,,,,
356.81625,-11.91083333,5.73,,,,
334.2770833,-5.387222222,5.75,,,,
358.2104167,-8.996666667,5.75,,,,
336.1129167,-13.52944444,5.76,,,,
323.8233333,-3.983055556,5.77,,,,
336.02875,-4.836944444,5.78,,,,
334.2191667,-9.04,5.79,,,,
343.3695833,-11.61666667,5.8,,,,
332.2458333,-18.51972222,5.81,,,,
319.54625,-4.519444444,5.82,,,,
320.2679167,-4.56,5.87,,,,
358.125,-14.25111111,5.87,,,,
312.6741667,-12.545,5.88,,,,
316.0195833,-5.823055556,5.89,,,,
338.5120833,-1.574166667,5.89,,,,
355.2870833,-11.68055556,5.89,,,,
335.88375,-7.194444444,5.93,,,,
349.8504167,-18.07527778,5.93,,,,
345.3820833,-4.711388889,5.94,,,,
357.56125,-9.974166667,5.94,,,,
334.7533333,-13.305,5.95,,,,
353.7058333,-15.24583333,5.96,,,,
338.9020833,-23.99111111,5.97,,,,
345.6845833,-20.87055556,5.97,,,,
312.8570833,-5.626388889,5.99,,,,
320.7345833,-9.319444444,5.99,,,,
314.6745833,-14.48277778,6.01,,,,
332.6408333,-4.267222222,6.01,,,,
333.1075,-14.19388889,6.03,,,,
314.2941667,0.463611111,6.05,,,,
344.89875,-13.07083333,6.07,,,,
357.1354167,-6.380555556,6.07,,,,
332.76,-21.2325,6.09,,,,
348.6675,-10.68861111,6.12,,,,
321.6170833,1.103333333,6.13,,,,
337.8266667,-6.555,6.14,,,,
346.3033333,-17.07916667,6.14,,,,
334.14,-1.596388889,6.15,,,,
345.6358333,-6.574166667,6.15,,,,
337.8266667,-2.911111111,6.16,,,,
326.90875,-5.917222222,6.17,,,,
334.2491667,-23.14,6.17,,,,
350.1704167,-5.908055556,6.17,,,,
352.2525,-9.266111111,6.18,,,,
342.1258333,-10.55555556,6.19,,,,
343.6420833,-7.204722222,6.19,,,,
351.0325,-18.6875,6.19,,,,
328.6495833,-3.301111111,6.2,,,,
315.1408333,-4.730277778,6.21,,,,
345.3483333,-7.061111111,6.21,,,,
309.805,-2.412777778,6.22,,,,
329.7291667,-4.373055556,6.22,,,,
339.5925,-7.897777778,6.23,,,,
357.3816667,-15.86111111,6.24,,,,
358.3366667,-24.22916667,6.24,,,,
315.7625,1.531944444,6.25,,,,
324.3908333,-0.390277778,6.25,,,,
352.38375,-4.532777778,6.25,,,,
311.765,-2.486666667,6.27,,,,
317.6954167,-9.353888889,6.27,,,,
332.5879167,-3.894166667,6.27,,,,
330.5495833,-17.90361111,6.28,,,,
345.3458333,-22.79083333,6.28,,,,
336.5445833,-23.6825,6.29,,,,
352.9254167,-21.36944444,6.29,,,,
340.2,-3.554166667,6.31,,,,
344.3216667,-4.81,6.31,,,,
316.1891667,2.269722222,6.33,,,,
329.5554167,-5.424722222,6.33,,,,
349.4166667,-11.71305556,6.34,,,,
336.6433333,-16.7425,6.35,,,,
321.2154167,-3.398333333,6.36,,,,
355.95625,-15.28444444,6.36,,,,
330.6108333,-16.96416667,6.37,,,,
337.5725,-14.58583333,6.37,,,,
352.0216667,-11.44972222,6.37,,,,
313.2733333,-11.57361111,6.38,,,,
318.6541667,0.092222222,6.38,,,,
337.9220833,-10.90555556,6.38,,,,
333.1825,-4.720833333,6.39,,,,
334.5179167,-0.237777778,6.39,,,,
352.7545833,-6.288333333,6.39,,,,
353.88375,-7.464444444,6.39,,,,
319.30625,-13.27888889,6.4,,,,
337.50625,-12.915,6.4,,,,
340.8095833,-6.962777778,6.41,,,,
347.4566667,-14.51055556,6.42,,,,
313.4933333,-6.889722222,6.44,,,,
340.7645833,-8.311666667,6.45,,,,
321.4645833,0.534444444,6.46,,,,
317.9220833,-14.47222222,6.48,,,,
319.165,-1.607777778,6.48,,,,
352.88125,-4.087222222,6.49,,,,
315.7483333,-0.924722222,6.5,,,,
313.78375,-1.373333333,6.55,,,,
314.07625,-3.561388889,6.57,,,,
336.6425,-16.74138889,6.57,,,,
355.2791667,-24.16027778,6.6,,,,
345.98875,-4.795277778,6.68,,,,
318.5695833,-10.60527778,6.77,,,,
316.0191667,-5.823333333,7.31,,,,
