RA,Dec,mag,x,y,x0,y0
261.325,-55.53,2.85,,,,
262.9604167,-49.87611111,2.95,,,,
254.655,-55.99027778,3.13,,,,
261.3483333,-56.3775,3.34,,,,
262.7745833,-60.68388889,3.62,,,,
271.6579167,-50.09166667,3.66,,,,
252.44625,-59.04138889,3.76,,,,
254.89625,-53.16055556,4.06,,,,
263.915,-46.50555556,4.59,,,,
265.0983333,-49.41555556,4.77,,,,
266.03625,-51.83416667,5.15,,,,
261.5,-50.63361111,5.23,,,,
260.8170833,-47.46833333,5.25,,,,
264.5233333,-54.50027778,5.25,,,,
255.7866667,-53.23694444,5.29,,,,
261.7145833,-45.84361111,5.29,,,,
259.7633333,-46.63388889,5.48,,,,
254.575,-50.64111111,5.55,,,,
251.83125,-58.34138889,5.58,,,,
250.3345833,-48.76305556,5.65,,,,
250.4175,-49.65166667,5.65,,,,
255.0258333,-54.59694444,5.65,,,,
261.0045833,-62.86416667,5.7,,,,
256.1029167,-57.71222222,5.73,,,,
251.5883333,-58.50361111,5.74,,,,
261.99,-52.29722222,5.75,,,,
261.0779167,-60.67361111,5.77,,,,
265.3179167,-46.92194444,5.79,,,,
260.77875,-56.52527778,5.8,,,,
257.9120833,-48.87416667,5.84,,,,
260.7291667,-58.01027778,5.88,,,,
258.3229167,-67.19666667,5.89,,,,
259.8016667,-59.69444444,5.91,,,,
261.8016667,-50.63027778,5.92,,,,
267.6175,-53.61222222,5.92,,,,
264.3633333,-50.06,5.93,,,,
253.5020833,-57.90944444,5.94,,,,
254.1195833,-52.28388889,5.94,,,,
262.16125,-55.16972222,5.94,,,,
262.8458333,-56.92055556,5.95,,,,
251.1658333,-53.1525,5.96,,,,
255.1129167,-48.64777778,6,,,,
253.8529167,-63.26972222,6.02,,,,
262.9545833,-46.03638889,6.03,,,,
255.92375,-47.16,6.06,,,,
258.555,-56.88833333,6.09,,,,
267.7958333,-53.13055556,6.09,,,,
263.8333333,-53.35277778,6.1,,,,
255.4475,-58.95833333,6.11,,,,
267.15875,-55.40166667,6.11,,,,
267.9354167,-45.60055556,6.11,,,,
272.1254167,-45.76722222,6.15,,,,
249.7195833,-60.99027778,6.18,,,,
250.2104167,-60.44611111,6.18,,,,
261.7345833,-51.94916667,6.19,,,,
250.7641667,-46.07055556,6.23,,,,
262.0320833,-63.03638889,6.24,,,,
265.51625,-50.51055556,6.24,,,,
259.87625,-50.06333333,6.27,,,,
263.8954167,-59.84611111,6.28,,,,
254.0370833,-50.675,6.33,,,,
257.52625,-61.67555556,6.39,,,,
255.4420833,-51.13083333,6.45,,,,
252.6495833,-50.04555556,6.47,,,,
