RA,Dec,mag,x,y,x0,y0
31.79333333,23.4625,2,,,,
28.66,20.80805556,2.64,,,,
42.49583333,27.26055556,3.63,,,,
47.9075,19.72666667,4.35,,,,
50.085,29.04833333,4.47,,,,
41.97708333,29.24722222,4.51,,,,
44.80291667,21.34027778,4.63,,,,
44.80291667,21.34027778,4.63,,,,
40.86291667,27.70722222,4.66,,,,
28.3825,19.29361111,4.75,,,,
29.48208333,23.59611111,4.79,,,,
28.3825,19.29583333,4.83,,,,
48.72541667,21.04444444,4.89,,,,
32.35541667,25.93972222,4.98,,,,
31.64125,22.64833333,5.03,,,,
50.68833333,20.74194444,5.09,,,,
29.33791667,17.8175,5.1,,,,
41.24,12.44583333,5.18,,,,
42.32291667,17.46416667,5.22,,,,
33.20041667,21.21083333,5.27,,,,
50.30666667,21.14694444,5.28,,,,
40.17125,27.06083333,5.3,,,,
39.70416667,21.96138889,5.43,,,,
36.20416667,10.61055556,5.47,,,,
42.87333333,15.08194444,5.49,,,,
51.07708333,24.72416667,5.5,,,,
48.83541667,30.55666667,5.52,,,,
50.54958333,27.6075,5.52,,,,
33.92833333,25.04305556,5.58,,,,
34.53125,19.90111111,5.62,,,,
46.59875,13.18722222,5.62,,,,
30.91375,25.93555556,5.63,,,,
44.10875,18.02305556,5.63,,,,
39.15791667,12.4475,5.68,,,,
40.59166667,20.01166667,5.69,,,,
32.65666667,19.50027778,5.7,,,,
33.26375,15.27972222,5.71,,,,
47.40291667,29.07694444,5.72,,,,
28.9625,23.57722222,5.74,,,,
41.13708333,15.31166667,5.77,,,,
33.94166667,25.78305556,5.79,,,,
48.05916667,27.25694444,5.79,,,,
44.52166667,20.66861111,5.8,,,,
42.13375,18.28361111,5.82,,,,
27.04541667,16.95555556,5.84,,,,
27.53541667,22.27527778,5.86,,,,
42.19125,25.18805556,5.86,,,,
29.89875,21.05833333,5.87,,,,
45.47541667,26.46222222,5.9,,,,
49.9825,27.07111111,5.9,,,,
43.95208333,18.33166667,5.91,,,,
37.635,25.235,5.92,,,,
27.71666667,11.04333333,5.94,,,,
30.64666667,13.47666667,5.94,,,,
45.18375,10.87027778,5.95,,,,
33.15625,24.16777778,5.96,,,,
47.66208333,11.8725,5.98,,,,
32.8,25.93694444,6.02,,,,
47.6125,26.89638889,6.02,,,,
52.11083333,22.80416667,6.03,,,,
38.22541667,15.03472222,6.04,,,,
51.10875,20.80361111,6.08,,,,
29.85791667,12.29472222,6.09,,,,
46.85708333,17.88,6.11,,,,
47.84125,13.04777778,6.12,,,,
50.10666667,25.66277778,6.12,,,,
31.705,25.70472222,6.15,,,,
37.66,19.85527778,6.15,,,,
36.77916667,27.01333333,6.18,,,,
37.30666667,23.46888889,6.19,,,,
30.9275,18.25333333,6.21,,,,
37.72666667,17.70388889,6.23,,,,
47.08833333,18.795,6.27,,,,
40.62041667,10.74166667,6.3,,,,
43.29875,16.48333333,6.31,,,,
40.96333333,25.63805556,6.35,,,,
45.87625,28.26972222,6.36,,,,
47.53666667,27.82,6.42,,,,
32.34625,17.22444444,6.43,,,,
34.74166667,23.16777778,6.46,,,,
41.07958333,17.76388889,6.46,,,,
46.16958333,15.85611111,6.49,,,,
39.25208333,24.6475,6.5,,,,
46.36125,25.25527778,6.8,,,,
46.36125,25.25527778,7,,,,
39.24041667,24.64833333,7.09,,,,
