RA,Dec,mag,x,y,x0,y0
101.2870833,-16.71611111,-1.46,,,,
104.65625,-28.97222222,1.5,,,,
107.0979167,-26.39333333,1.84,,,,
95.675,-17.95583333,1.98,,,,
111.02375,-29.30305556,2.45,,,,
95.07833333,-30.06333333,3.02,,,,
105.75625,-23.83333333,3.02,,,,
105.4295833,-27.93472222,3.47,,,,
108.7029167,-26.77277778,3.85,,,,
103.5329167,-24.18388889,3.87,,,,
99.17083333,-19.25583333,3.95,,,,
102.4604167,-32.50861111,3.96,,,,
103.5475,-12.03861111,4.07,,,,
105.9395833,-15.63333333,4.12,,,,
97.96375,-23.41833333,4.33,,,,
104.0341667,-17.05416667,4.37,,,,
109.6766667,-24.95416667,4.4,,,,
99.4725,-18.2375,4.43,,,,
97.04208333,-32.58,4.48,,,,
98.76416667,-22.96472222,4.54,,,,
109.1458333,-27.88111111,4.64,,,,
108.5633333,-26.3525,4.66,,,,
103.9058333,-20.13638889,4.68,,,,
109.1533333,-23.31555556,4.79,,,,
99.81958333,-14.14583333,4.82,,,,
103.3870833,-20.22416667,4.83,,,,
110.55625,-19.01666667,4.96,,,,
109.6679167,-24.55888889,4.98,,,,
104.0275,-14.04361111,5,,,,
93.93708333,-13.71833333,5.01,,,,
94.42375,-16.81583333,5.14,,,,
97.84583333,-12.39166667,5.15,,,,
101.1183333,-31.07055556,5.2,,,,
96.04291667,-11.53027778,5.22,,,,
99.44833333,-32.33972222,5.27,,,,
109.7133333,-26.58583333,5.28,,,,
101.7129167,-14.42583333,5.29,,,,
103.945,-22.94138889,5.3,,,,
101.4970833,-14.79611111,5.32,,,,
111.1670833,-16.20111111,5.33,,,,
111.1825,-31.80888889,5.35,,,,
108.8375,-30.68638889,5.36,,,,
110.87125,-27.83416667,5.38,,,,
102.2408333,-15.14472222,5.39,,,,
106.6695833,-11.29416667,5.39,,,,
110.8829167,-32.20222222,5.39,,,,
110.7525,-31.92388889,5.43,,,,
110.2425,-14.36,5.45,,,,
104.39125,-24.63055556,5.46,,,,
107.5808333,-27.49138889,5.46,,,,
109.0604167,-15.58583333,5.46,,,,
94.55708333,-19.96694444,5.52,,,,
108.7129167,-27.03805556,5.58,,,,
104.6495833,-25.41388889,5.59,,,,
111.7475,-23.08611111,5.61,,,,
98.64708333,-32.71638889,5.62,,,,
95.98291667,-25.57777778,5.63,,,,
105.2745833,-25.21527778,5.63,,,,
111.7833333,-17.86444444,5.63,,,,
