RA,Dec,mag,x,y,x0,y0
114.8254167,5.225,0.38,,,,
111.7875,8.289444444,2.9,,,,
112.0408333,8.925555556,4.32,,,,
120.56625,2.334444444,4.39,,,,
112.4491667,12.00666667,4.54,,,,
111.4120833,9.276111111,4.99,,,,
117.925,1.766944444,5.14,,,,
112.00875,6.941944444,5.25,,,,
113.0245833,1.914444444,5.25,,,,
119.5858333,2.224722222,5.29,,,,
111.2425,11.66972222,5.3,,,,
116.5675,10.76833333,5.3,,,,
108.5833333,3.111388889,5.35,,,,
113.2983333,3.290277778,5.59,,,,
108.6358333,12.11583333,5.62,,,,
120.3075,4.879722222,5.65,,,,
106.95625,7.471111111,5.75,,,,
113.5658333,3.371388889,5.81,,,,
108.9141667,7.977777778,5.82,,,,
118.8808333,8.862777778,5.86,,,,
109.8433333,2.740555556,5.89,,,,
109.9483333,7.142777778,5.91,,,,
114.1445833,5.861666667,5.91,,,,
115.3966667,3.624722222,5.94,,,,
110.5145833,0.177222222,5.99,,,,
115.0291667,5.230833333,6.02,,,,
119.31625,8.641388889,6.05,,,,
107.96375,5.654722222,6.09,,,,
108.0308333,5.474722222,6.16,,,,
119.0995833,4.485833333,6.17,,,,
117.6975,3.277222222,6.18,,,,
115.7725,0.189444444,6.19,,,,
120.46125,8.913888889,6.22,,,,
113.52125,10.56833333,6.28,,,,
118.03,3.277222222,6.31,,,,
119.3175,1.126944444,6.35,,,,
111.61625,10.60833333,6.37,,,,
111.6720833,11.00916667,6.41,,,,
119.5241667,7.213611111,6.41,,,,
116.0583333,12.85944444,6.43,,,,
116.0308333,2.405,6.47,,,,
117.2454167,4.332777778,6.53,,,,
113.6916667,2.725,6.55,,,,
109.3241667,6.680555556,6.65,,,,
