RA,Dec,mag,x,y,x0,y0
70.14041667,-41.86388889,4.45,,,,
76.10166667,-35.48333333,4.55,,,,
70.51458333,-37.14444444,5.05,,,,
67.70875,-44.95388889,5.07,,,,
70.78875,-30.76555556,5.68,,,,
72.8675,-34.90638889,5.86,,,,
75.595,-31.77138889,5.94,,,,
75.39375,-39.71805556,6.03,,,,
71.48083333,-39.35666667,6.05,,,,
72.5675,-41.32083333,6.07,,,,
66.775,-46.9475,6.1,,,,
73.72833333,-39.62861111,6.1,,,,
67.33333333,-46.51527778,6.16,,,,
70.93416667,-41.06472222,6.25,,,,
75.975,-41.745,6.31,,,,
76.10875,-35.70527778,6.34,,,,
71.95666667,-30.02027778,6.37,,,,
66.32958333,-44.16083333,6.39,,,,
67.03916667,-41.96,6.44,,,,
72.14083333,-43.98,6.72,,,,
71.45666667,-34.005,6.86,,,,
