RA,Dec,mag,x,y,x0,y0
326.76,-16.12722222,2.87,,,,
305.2529167,-14.78138889,3.08,,,,
304.51375,-12.54472222,3.57,,,,
325.0229167,-16.66222222,3.68,,,,
321.6666667,-22.41138889,3.74,,,,
316.4866667,-17.23277778,4.07,,,,
312.9554167,-26.91916667,4.11,,,,
311.52375,-25.27083333,4.14,,,,
304.4120833,-12.50833333,4.24,,,,
320.5616667,-16.83444444,4.28,,,,
316.7820833,-25.00583333,4.5,,,,
322.1808333,-21.80722222,4.51,,,,
324.27,-19.46611111,4.68,,,,
325.6645833,-18.86638889,4.73,,,,
305.1658333,-12.75916667,4.76,,,,
307.215,-17.81361111,4.78,,,,
316.10125,-19.855,4.84,,,,
328.3241667,-13.55166667,5.08,,,,
326.25125,-9.0825,5.09,,,,
310.0125,-18.13861111,5.1,,,,
325.3870833,-14.0475,5.18,,,,
309.8183333,-14.95472222,5.22,,,,
318.9079167,-20.65166667,5.24,,,,
325.5033333,-23.26277778,5.24,,,,
306.83,-18.21166667,5.25,,,,
304.8483333,-19.11861111,5.28,,,,
318.9370833,-15.17138889,5.28,,,,
317.14,-21.19361111,5.3,,,,
321.04,-20.85194444,5.41,,,,
319.48875,-17.98527778,5.43,,,,
326.63375,-11.36583333,5.58,,,,
320.7520833,-22.66888889,5.6,,,,
308.09875,-9.853333333,5.65,,,,
323.7125,-20.08444444,5.69,,,,
314.1970833,-26.29638889,5.7,,,,
303.8225,-27.03277778,5.73,,,,
313.6995833,-17.92305556,5.78,,,,
321.8116667,-21.19611111,5.78,,,,
310.1354167,-16.12416667,5.8,,,,
303.1079167,-12.6175,5.85,,,,
312.3233333,-25.78138889,5.86,,,,
304.5058333,-21.81,5.87,,,,
314.4191667,-16.03166667,5.87,,,,
325.7683333,-14.39972222,5.88,,,,
311.5416667,-21.51416667,5.93,,,,
307.4745833,-18.58333333,5.94,,,,
326.0041667,-14.74944444,5.99,,,,
326.5679167,-9.275833333,6,,,,
318.7775,-17.345,6.04,,,,
315.43875,-26.88111111,6.05,,,,
324.8670833,-10.57694444,6.08,,,,
305.1941667,-14.785,6.1,,,,
307.7679167,-15.05638889,6.12,,,,
329.6825,-21.18277778,6.12,,,,
308.54875,-13.72111111,6.13,,,,
307.3804167,-22.39166667,6.16,,,,
327.9241667,-18.62305556,6.16,,,,
316.9358333,-17.45527778,6.17,,,,
302.1304167,-10.06277778,6.18,,,,
308.8841667,-16.52583333,6.19,,,,
312.3354167,-18.03583333,6.21,,,,
325.80625,-19.62083333,6.22,,,,
314.9004167,-19.03527778,6.25,,,,
317.3875,-20.55638889,6.25,,,,
310.3504167,-26,6.28,,,,
305.7533333,-9.654722222,6.3,,,,
327.42125,-12.72305556,6.31,,,,
304.095,-12.33694444,6.32,,,,
313.255,-23.78305556,6.33,,,,
302.99125,-12.3925,6.34,,,,
308.2183333,-24.94388889,6.36,,,,
309.4670833,-25.10888889,6.36,,,,
310.04875,-23.77388889,6.37,,,,
321.0329167,-22.74694444,6.38,,,,
327.5545833,-16.84472222,6.38,,,,
323.81625,-23.45416667,6.4,,,,
307.1816667,-15.74166667,6.41,,,,
323.13875,-24.59055556,6.43,,,,
302.7920833,-8.842222222,6.49,,,,
311.305,-27.24722222,6.5,,,,
310.15,-26.645,6.51,,,,
319.9408333,-26.35305556,6.56,,,,
322.4983333,-19.14777778,6.57,,,,
328.4,-10.31166667,6.59,,,,
322.0579167,-11.56833333,6.61,,,,
307.46875,-18.58666667,6.74,,,,
319.5654167,-17.46222222,7.05,,,,
