RA,Dec,mag,x,y,x0,y0
95.98791667,-52.69583333,-0.72,,,,
138.3,-69.71722222,1.68,,,,
125.6283333,-59.50972222,1.86,,,,
139.2725,-59.27527778,2.25,,,,
160.7391667,-64.39444444,2.76,,,,
146.7754167,-65.07194444,3.01,,,,
153.4341667,-70.03805556,3.32,,,,
158.0058333,-61.68527778,3.32,,,,
154.2708333,-61.33222222,3.4,,,,
137.7416667,-58.96694444,3.44,,,,
119.1945833,-52.98222222,3.47,,,,
146.3116667,-62.50777778,3.69,,,,
163.3733333,-58.85333333,3.78,,,,
156.9695833,-58.73944444,3.82,,,,
133.7616667,-60.64472222,3.84,,,,
167.1475,-58.975,3.91,,,,
137.8191667,-62.31722222,3.97,,,,
156.09875,-74.03166667,4,,,,
143.61125,-59.22944444,4.08,,,,
130.1541667,-59.76111111,4.33,,,,
139.0508333,-57.54138889,4.34,,,,
98.74416667,-52.97555556,4.39,,,,
102.46375,-53.62222222,4.4,,,,
158.8970833,-57.55777778,4.45,,,,
136.2866667,-72.60277778,4.48,,,,
131.6770833,-56.76972222,4.49,,,,
144.8375,-61.32805556,4.52,,,,
160.88375,-60.56666667,4.57,,,,
168.15,-60.3175,4.6,,,,
166.635,-62.42416667,4.61,,,,
156.8516667,-57.63888889,4.66,,,,
159.6879167,-59.18305556,4.66,,,,
136.4095833,-70.53888889,4.71,,,,
157.58375,-71.99305556,4.74,,,,
122.2529167,-61.3025,4.76,,,,
140.2366667,-62.40472222,4.81,,,,
120.0833333,-63.5675,4.82,,,,
160.5583333,-64.46638889,4.82,,,,
161.02875,-63.96111111,4.82,,,,
161.7133333,-64.38333333,4.85,,,,
128.8316667,-58.00916667,4.86,,,,
134.2433333,-59.22944444,4.92,,,,
157.7583333,-73.22166667,4.93,,,,
113.9154167,-52.53388889,4.94,,,,
155.7420833,-66.90166667,4.99,,,,
159.0845833,-59.56472222,5.08,,,,
111.59125,-51.01833333,5.1,,,,
167.1416667,-61.94722222,5.13,,,,
105.2145833,-51.4025,5.14,,,,
123.81625,-62.91583333,5.16,,,,
134.8504167,-59.08361111,5.16,,,,
153.3775,-66.37305556,5.16,,,,
