RA,Dec,mag,x,y,x0,y0
219.8995833,-60.83527778,-0.01,,,,
210.9558333,-60.37305556,0.61,,,,
219.9004167,-60.83555556,1.33,,,,
211.6708333,-36.37,2.06,,,,
190.3791667,-48.95972222,2.17,,,,
204.9716667,-53.46638889,2.3,,,,
218.8766667,-42.15777778,2.31,,,,
208.885,-47.28833333,2.55,,,,
182.0895833,-50.7225,2.6,,,,
200.1491667,-36.71222222,2.75,,,,
207.4041667,-42.47388889,3.04,,,,
173.945,-63.01972222,3.13,,,,
224.7904167,-42.10416667,3.13,,,,
207.37625,-41.68777778,3.41,,,,
209.5679167,-42.10083333,3.83,,,,
189.4258333,-48.54111111,3.86,,,,
209.67,-44.80361111,3.87,,,,
202.76125,-39.4075,3.88,,,,
170.2516667,-54.49111111,3.89,,,,
187.01,-50.23055556,3.91,,,,
182.9129167,-52.36861111,3.96,,,,
220.49,-37.79361111,4,,,,
215.1391667,-37.88527778,4.05,,,,
220.9141667,-35.17361111,4.05,,,,
176.6283333,-61.17833333,4.11,,,,
207.36125,-34.45083333,4.19,,,,
206.4216667,-33.04388889,4.23,,,,
193.3591667,-40.17888889,4.27,,,,
196.7275,-49.90611111,4.27,,,,
177.42125,-63.78833333,4.32,,,,
193.27875,-48.94333333,4.33,,,,
215.08125,-56.38666667,4.33,,,,
210.4308333,-45.60361111,4.34,,,,
211.5116667,-41.17972222,4.36,,,,
215.7591667,-39.51222222,4.42,,,,
177.78625,-45.17361111,4.46,,,,
182.0216667,-50.66138889,4.47,,,,
200.6579167,-60.98833333,4.53,,,,
201.0020833,-64.53583333,4.53,,,,
207.9566667,-32.99444444,4.56,,,,
198.0725,-59.92083333,4.6,,,,
173.6904167,-54.26416667,4.62,,,,
189.96875,-39.9875,4.64,,,,
206.66375,-51.43277778,4.65,,,,
190.6475,-48.81305556,4.66,,,,
196.5695833,-48.46361111,4.71,,,,
209.4120833,-63.68666667,4.71,,,,
208.3020833,-31.92777778,4.73,,,,
212.4783333,-53.43916667,4.75,,,,
186.6316667,-51.45083333,4.82,,,,
195.8883333,-49.52722222,4.85,,,,
198.0133333,-37.80305556,4.85,,,,
176.6295833,-40.50055556,4.91,,,,
192.6716667,-33.99944444,4.91,,,,
198.5616667,-59.10333333,4.92,,,,
215.6541667,-58.45944444,4.92,,,,
221.2466667,-35.19194444,4.92,,,,
175.2233333,-62.09,4.94,,,,
170.8029167,-36.16472222,5,,,,
184.74875,-55.14305556,5,,,,
205.43625,-54.56,5.01,,,,
175.88,-62.48944444,5.03,,,,
223.2129167,-37.80333333,5.03,,,,
202.355,-51.16527778,5.06,,,,
213.7375,-57.08583333,5.07,,,,
172.14625,-42.67416667,5.08,,,,
201.5325,-39.75527778,5.09,,,,
199.22125,-31.50611111,5.1,,,,
172.9420833,-59.44222222,5.13,,,,
188.9395833,-41.02194444,5.13,,,,
166.8191667,-42.63861111,5.15,,,,
172.9533333,-59.51583333,5.15,,,,
174.2525,-61.28333333,5.15,,,,
174.5304167,-61.82638889,5.15,,,,
180.915,-42.43416667,5.15,,,,
206.735,-36.25194444,5.15,,,,
194.2683333,-51.19861111,5.16,,,,
171.43,-63.97277778,5.17,,,,
171.3725,-36.06305556,5.22,,,,
214.9645833,-61.27305556,5.23,,,,
173.9816667,-47.64166667,5.25,,,,
197.8466667,-43.36888889,5.25,,,,
208.02,-52.81166667,5.25,,,,
176.4329167,-45.69,5.29,,,,
171.6470833,-61.11527778,5.3,,,,
183.5108333,-45.72388889,5.31,,,,
201.3079167,-64.48527778,5.31,,,,
185.8975,-35.41277778,5.32,,,,
223.93625,-33.85583333,5.32,,,,
182.06125,-48.69277778,5.34,,,,
168.1379167,-49.10111111,5.36,,,,
205.5045833,-58.78722222,5.38,,,,
173.4054167,-40.58694444,5.39,,,,
176.8295833,-57.69638889,5.41,,,,
174.39125,-47.74722222,5.44,,,,
187.09375,-39.04138889,5.44,,,,
206.91,-50.32111111,5.45,,,,
193.8308333,-42.91583333,5.47,,,,
182.2270833,-41.23138889,5.48,,,,
200.1575,-52.74805556,5.48,,,,
173.7366667,-49.13666667,5.5,,,,
208.3866667,-35.66416667,5.54,,,,
175.3325,-43.09583333,5.55,,,,
213.3183333,-53.66583333,5.56,,,,
215.5820833,-34.78694444,5.56,,,,
178.0420833,-56.98777778,5.57,,,,
196.64625,-41.58861111,5.59,,,,
204.9525,-40.05194444,5.6,,,,
213.6775,-41.8375,5.61,,,,
204.3008333,-61.69194444,5.63,,,,
173.2004167,-40.43638889,5.64,,,,
220.2558333,-36.135,5.67,,,,
201.73375,-41.49805556,5.69,,,,
177.6133333,-62.64944444,5.7,,,,
173.805,-47.3725,5.71,,,,
196.9095833,-53.45972222,5.71,,,,
208.8008333,-52.16111111,5.71,,,,
186.3408333,-35.18638889,5.73,,,,
192.74125,-52.7875,5.73,,,,
219.1841667,-40.21166667,5.74,,,,
182.2241667,-44.32611111,5.75,,,,
168.41375,-53.23166667,5.76,,,,
183.3554167,-38.92916667,5.76,,,,
188.67625,-44.67333333,5.77,,,,
200.2404167,-46.88055556,5.77,,,,
207.9466667,-46.89916667,5.77,,,,
170.78375,-56.77944444,5.79,,,,
185.9370833,-38.91111111,5.79,,,,
197.7866667,-42.23305556,5.79,,,,
205.0454167,-64.57694444,5.79,,,,
168.31125,-44.37222222,5.8,,,,
189.005,-39.87,5.8,,,,
171.6970833,-53.16,5.81,,,,
223.6583333,-33.30055556,5.82,,,,
174.0929167,-61.05222222,5.83,,,,
200.5675,-52.18305556,5.83,,,,
209.08125,-46.5925,5.83,,,,
190.3458333,-46.14555556,5.84,,,,
199.3079167,-43.97944444,5.84,,,,
191.6916667,-33.31555556,5.86,,,,
218.88125,-41.51722222,5.87,,,,
171.3879167,-37.74777778,5.89,,,,
193.74375,-44.15194444,5.89,,,,
198.3479167,-50.7,5.89,,,,
198.5504167,-58.68388889,5.89,,,,
198.6795833,-48.95666667,5.89,,,,
208.4295833,-53.37361111,5.89,,,,
225.3041667,-38.05833333,5.89,,,,
204.34875,-46.42833333,5.9,,,,
178.7491667,-63.27888889,5.91,,,,
206.865,-50.24944444,5.91,,,,
209.8220833,-50.37,5.91,,,,
210.8591667,-56.21361111,5.92,,,,
193.26625,-54.9525,5.93,,,,
214.8495833,-37.00361111,5.94,,,,
221.77125,-38.29083333,5.94,,,,
175.1775,-53.96861111,5.96,,,,
217.795,-38.86972222,5.97,,,,
175.8633333,-37.19027778,5.98,,,,
192.9866667,-39.68083333,5.98,,,,
204.275,-44.14333333,5.98,,,,
205.7291667,-41.40111111,5.98,,,,
205.9166667,-42.0675,5.98,,,,
196.8508333,-59.86055556,5.99,,,,
204.99875,-49.95027778,6,,,,
205.73375,-56.76805556,6,,,,
209.1375,-54.70444444,6,,,,
212.3958333,-51.50472222,6,,,,
204.7045833,-57.62305556,6.01,,,,
187.49125,-41.73611111,6.02,,,,
195.1358333,-33.50527778,6.02,,,,
200.20125,-55.80055556,6.02,,,,
219.5816667,-38.79416667,6.02,,,,
222.15875,-36.63472222,6.04,,,,
179.7954167,-51.69666667,6.05,,,,
205.4404167,-33.59694444,6.05,,,,
178.5479167,-57.41,6.06,,,,
182.6408333,-37.87027778,6.06,,,,
197.7433333,-52.56694444,6.06,,,,
207.95875,-32.99472222,6.06,,,,
224.12875,-32.63666667,6.06,,,,
218.29,-30.71416667,6.09,,,,
175.9704167,-62.87833333,6.1,,,,
208.4870833,-47.12805556,6.1,,,,
168.2370833,-49.73638889,6.11,,,,
186.2854167,-42.51444444,6.11,,,,
210.8645833,-41.42333333,6.11,,,,
213.41625,-54.62583333,6.11,,,,
170.59625,-44.64583333,6.12,,,,
171.0920833,-42.66916667,6.12,,,,
208.00375,-31.61944444,6.12,,,,
178.9779167,-39.68916667,6.13,,,,
210.3291667,-40.22222222,6.13,,,,
219.1008333,-39.59722222,6.13,,,,
209.0825,-54.13194444,6.14,,,,
184.4470833,-36.09388889,6.15,,,,
224.6533333,-39.90666667,6.15,,,,
198.2333333,-59.81666667,6.16,,,,
198.4895833,-43.13888889,6.16,,,,
200.7195833,-47.94305556,6.16,,,,
203.0220833,-38.39916667,6.16,,,,
176.7791667,-35.90694444,6.17,,,,
211.44375,-54.66944444,6.17,,,,
212.21625,-43.47111111,6.17,,,,
200.1454167,-59.77333333,6.18,,,,
200.64875,-60.97222222,6.18,,,,
210.7570833,-31.68388889,6.18,,,,
198.7904167,-36.37111111,6.19,,,,
199.6441667,-51.28611111,6.19,,,,
208.4675,-35.31444444,6.19,,,,
211.5454167,-43.09194444,6.2,,,,
168.725,-43.73416667,6.21,,,,
198.2120833,-42.69972222,6.22,,,,
200.78625,-33.19,6.22,,,,
225.4920833,-34.35888889,6.22,,,,
182.8808333,-51.35944444,6.23,,,,
192.5816667,-48.45972222,6.24,,,,
193.1025,-53.82944444,6.24,,,,
186.18625,-41.38416667,6.25,,,,
176.3025,-49.06972222,6.26,,,,
179.1829167,-47.0725,6.26,,,,
183.8770833,-41.91305556,6.26,,,,
186.7008333,-48.91333333,6.26,,,,
196.2004167,-41.19666667,6.26,,,,
169.2991667,-38.01444444,6.27,,,,
204.92,-39.74805556,6.27,,,,
201.8366667,-49.38083333,6.28,,,,
223.1379167,-30.57694444,6.29,,,,
166.5241667,-51.2125,6.3,,,,
220.1366667,-56.44083333,6.3,,,,
169.1154167,-45.88,6.31,,,,
174.17,-37.23777778,6.31,,,,
201.77625,-49.14388889,6.31,,,,
213.9116667,-45.00083333,6.31,,,,
166.6141667,-50.95666667,6.32,,,,
216.5558333,-42.31916667,6.32,,,,
193.0220833,-48.09416667,6.33,,,,
197.97125,-63.30277778,6.33,,,,
203.6204167,-48.27222222,6.33,,,,
212.2345833,-59.27666667,6.34,,,,
207.9025,-36.43333333,6.35,,,,
