RA,Dec,mag,x,y,x0,y0
10.8975,-17.98666667,2.04,,,,
45.57,4.089722222,2.53,,,,
34.83625,-2.9775,3.04,,,,
17.1475,-10.18222222,3.45,,,,
40.825,3.235833333,3.47,,,,
26.01708333,-15.9375,3.5,,,,
4.857083333,-8.823888889,3.56,,,,
21.00583333,-8.183333333,3.6,,,,
27.865,-10.335,3.73,,,,
30.00125,-21.07777778,4,,,,
39.87083333,0.328611111,4.07,,,,
41.03083333,-13.85861111,4.25,,,,
41.23541667,10.11416667,4.27,,,,
37.03958333,8.46,4.28,,,,
33.25,8.846666667,4.37,,,,
3.66,-18.93277778,4.44,,,,
0.935,-17.33611111,4.55,,,,
27.39625,-10.68638889,4.67,,,,
44.92875,8.9075,4.7,,,,
38.02166667,-15.24472222,4.75,,,,
11.0475,-10.60944444,4.76,,,,
13.25208333,-1.144166667,4.77,,,,
49.84041667,3.370277778,4.83,,,,
39.89083333,-11.87222222,4.84,,,,
29.1675,-22.52694444,4.85,,,,
38.96875,5.593333333,4.86,,,,
2.81625,-15.46805556,4.89,,,,
36.4875,-12.29055556,4.89,,,,
21.405,-14.59888889,4.9,,,,
1.125416667,-10.50944444,4.94,,,,
25.68125,-3.690277778,4.99,,,,
48.19333333,-1.196111111,5.06,,,,
3.615,-7.780555556,5.12,,,,
5.442916667,-20.05777778,5.12,,,,
22.40041667,-21.62944444,5.12,,,,
18.6,-7.923055556,5.13,,,,
7.594583333,-23.78777778,5.19,,,,
12.53166667,-10.64444444,5.19,,,,
8.812083333,-3.592777778,5.2,,,,
11.185,-22.00611111,5.24,,,,
3.041666667,-17.93833333,5.25,,,,
37.87541667,2.267222222,5.25,,,,
35.48583333,0.395833333,5.28,,,,
14.00625,-11.26666667,5.31,,,,
26.49708333,-5.733333333,5.34,,,,
38.03916667,-1.035,5.35,,,,
49.59333333,-0.930277778,5.38,,,,
19.15125,-2.500277778,5.41,,,,
29.94208333,-20.82444444,5.41,,,,
23.99583333,-15.40027778,5.42,,,,
35.55166667,-0.885,5.42,,,,
15.76083333,-4.836666667,5.43,,,,
