RA,Dec,mag,x,y,x0,y0
124.6316667,-76.91972222,4.07,,,,
158.8670833,-78.60777778,4.11,,,,
184.58625,-79.31222222,4.26,,,,
125.1604167,-77.48444444,4.35,,,,
161.445,-80.54027778,4.45,,,,
179.9054167,-78.22194444,4.91,,,,
181.19375,-76.51916667,5.04,,,,
143.4716667,-80.94138889,5.11,,,,
141.0379167,-80.78694444,5.36,,,,
146.5858333,-76.77611111,5.45,,,,
130.33125,-78.96333333,5.47,,,,
161.3154167,-80.46972222,5.47,,,,
150.1820833,-82.21472222,5.52,,,,
174.315,-75.89666667,5.65,,,,
126.0825,-80.91416667,5.69,,,,
131.48,-79.50444444,5.79,,,,
198.5716667,-78.44722222,5.85,,,,
208.91125,-82.66611111,5.95,,,,
160.46375,-79.78333333,5.97,,,,
130.8016667,-79.06972222,6.05,,,,
138.05125,-76.66305556,6.14,,,,
114.0175,-77.63416667,6.18,,,,
158.8533333,-76.30916667,6.3,,,,
163.1145833,-79.55944444,6.33,,,,
175.255,-83.1,6.33,,,,
204.7995833,-75.68388889,6.34,,,,
169.6429167,-79.66861111,6.35,,,,
183.4820833,-78.57361111,6.35,,,,
175.7308333,-79.30638889,6.39,,,,
170.4879167,-77.60833333,6.43,,,,
203.3116667,-77.56833333,6.48,,,,
151.0316667,-81.56583333,6.6,,,,
164.80375,-81.55611111,6.71,,,,
157.9625,-81.92111111,7.07,,,,
