RA,Dec,mag,x,y,x0,y0
220.6266667,-64.97527778,3.19,,,,
229.3783333,-58.80111111,4.07,,,,
230.8445833,-59.32083333,4.51,,,,
229.4120833,-63.61055556,4.86,,,,
229.23625,-60.9575,5.09,,,,
224.1833333,-62.78083333,5.11,,,,
226.2008333,-64.03166667,5.17,,,,
223.8941667,-60.11416667,5.2,,,,
221.3220833,-62.87583333,5.36,,,,
229.70375,-60.49638889,5.46,,,,
216.27625,-68.19527778,5.61,,,,
230.7933333,-60.65694444,5.67,,,,
208.70375,-67.6525,5.71,,,,
229.1516667,-60.90388889,5.73,,,,
207.9475,-69.40138889,5.75,,,,
214.1608333,-66.58777778,5.75,,,,
217.81875,-67.71722222,5.83,,,,
216.7795833,-65.82166667,5.85,,,,
223.1458333,-63.81,5.87,,,,
222.185,-66.59388889,5.91,,,,
210.2175,-66.26861111,5.97,,,,
219.4429167,-67.93222222,6.04,,,,
212.62875,-70.30555556,6.05,,,,
212.7579167,-69.71972222,6.06,,,,
223.6766667,-65.99138889,6.09,,,,
221.2954167,-55.60194444,6.1,,,,
221.23125,-58.47777778,6.11,,,,
209.63,-65.80055556,6.2,,,,
220.4820833,-58.61611111,6.22,,,,
222.27875,-56.66777778,6.23,,,,
227.35625,-63.64277778,6.28,,,,
227.6858333,-61.4225,6.3,,,,
228.2541667,-61.74388889,6.32,,,,
216.4145833,-66.17333333,6.36,,,,
