RA,Dec,mag,x,y,x0,y0
124.12875,9.185555556,3.52,,,,
131.17125,18.15416667,3.94,,,,
131.6741667,28.76,4.02,,,,
134.6216667,11.85777778,4.25,,,,
130.82125,21.46861111,4.66,,,,
121.26875,13.11805556,5.12,,,,
126.4783333,7.564444444,5.13,,,,
125.01625,27.21777778,5.14,,,,
137.3395833,22.04555556,5.14,,,,
134.3120833,15.32277778,5.2,,,,
134.8858333,32.41861111,5.2,,,,
133.9154167,27.9275,5.22,,,,
136.9366667,10.66805556,5.24,,,,
121.9408333,21.58166667,5.3,,,,
128.1770833,20.44111111,5.33,,,,
138.8075,14.94138889,5.34,,,,
127.89875,18.09444444,5.35,,,,
133.56125,30.57944444,5.39,,,,
133.9816667,11.62611111,5.41,,,,
137.0004167,29.65416667,5.43,,,,
134.2358333,32.91027778,5.45,,,,
135.6845833,24.45277778,5.45,,,,
126.6829167,12.65444444,5.5,,,,
120.1970833,17.30861111,5.55,,,,
126.6154167,27.89361111,5.57,,,,
123.0529167,17.64777778,5.63,,,,
123.2870833,29.65666667,5.64,,,,
130.80125,12.68083333,5.64,,,,
131.1875,10.08166667,5.66,,,,
133.1441667,32.47416667,5.66,,,,
134.3966667,15.58138889,5.67,,,,
122.6133333,25.50722222,5.73,,,,
127.8770833,24.08111111,5.75,,,,
119.2475,15.79027778,5.78,,,,
135.3504167,32.2525,5.82,,,,
120.2329167,25.39277778,5.83,,,,
125.0875,20.74777778,5.83,,,,
135.6866667,7.298055556,5.85,,,,
131.7333333,12.11,5.87,,,,
129.2741667,9.655555556,5.88,,,,
129.5791667,32.80194444,5.94,,,,
125.8408333,18.33222222,5.95,,,,
127.1554167,14.21083333,5.95,,,,
133.1491667,28.33083333,5.95,,,,
137.66125,30.96305556,5.95,,,,
125.13375,24.02222222,5.98,,,,
137.1970833,26.62916667,5.98,,,,
119.63125,16.51861111,5.99,,,,
120.37625,16.45527778,5.99,,,,
121.5766667,22.63555556,5.99,,,,
128.9625,6.62,5.99,,,,
123.2491667,16.51416667,6.01,,,,
137.5870833,21.99638889,6.01,,,,
119.89625,13.24222222,6.02,,,,
123.0529167,17.64777778,6.02,,,,
128.5554167,8.451944444,6.03,,,,
122.8191667,9.821111111,6.07,,,,
135.45375,27.90277778,6.07,,,,
125.98,10.63194444,6.08,,,,
127.1533333,24.14472222,6.1,,,,
130.07625,31.94194444,6.1,,,,
131.3391667,30.69777778,6.13,,,,
126.4579167,17.04611111,6.14,,,,
121.1883333,18.84222222,6.15,,,,
132.6879167,18.83222222,6.16,,,,
140.3633333,32.90194444,6.16,,,,
134.2841667,17.14388889,6.17,,,,
134.425,9.387777778,6.19,,,,
123.0554167,17.64777778,6.2,,,,
121.4041667,27.52972222,6.21,,,,
122.745,14.62944444,6.23,,,,
133.1191667,28.25916667,6.23,,,,
120.2,19.81611111,6.25,,,,
122.1766667,13.64083333,6.27,,,,
128.4379167,13.25722222,6.28,,,,
124.3820833,8.866111111,6.29,,,,
134.4945833,30.23361111,6.29,,,,
126.6958333,26.93527778,6.3,,,,
130.1125,19.545,6.3,,,,
120.4325,25.08972222,6.31,,,,
126.695,26.93444444,6.32,,,,
129.0320833,15.31361111,6.32,,,,
120.2529167,23.58305556,6.34,,,,
128.2504167,24.08472222,6.36,,,,
123.5875,13.04833333,6.38,,,,
132.75625,15.35055556,6.38,,,,
134.795,18.13472222,6.38,,,,
136.04125,27.89833333,6.38,,,,
130.0266667,20.00777778,6.39,,,,
136.8620833,22.98111111,6.4,,,,
139.4641667,11.50111111,6.41,,,,
130.0920833,19.67,6.44,,,,
129.8525,8.017222222,6.45,,,,
128.16625,10.06611111,6.46,,,,
136.23,32.37694444,6.46,,,,
123.54625,17.67583333,6.47,,,,
137.4433333,11.56444444,6.48,,,,
138.4054167,21.28333333,6.48,,,,
137.0170833,32.54055556,6.5,,,,
138.0733333,14.99611111,6.51,,,,
129.5216667,9.574722222,6.53,,,,
140.3141667,15.37111111,6.53,,,,
123.0920833,14.00388889,6.54,,,,
123.42375,23.13777778,6.56,,,,
131.6666667,28.76527778,6.57,,,,
128.8308333,19.59,6.58,,,,
133.8454167,17.23138889,6.64,,,,
127.9775,9.814444444,6.83,,,,
126.6658333,24.53416667,7.02,,,,
124.14125,11.72638889,7.13,,,,
128.96375,6.6225,7.25,,,,
126.6670833,24.53527778,7.81,,,,
