RA,Dec,mag,x,y,x0,y0
84.91208333,-34.07416667,2.64,,,,
87.74,-35.76833333,3.12,,,,
95.52833333,-33.43638889,3.85,,,,
82.80291667,-35.47055556,3.87,,,,
89.78666667,-42.81527778,3.96,,,,
89.38416667,-35.28333333,4.36,,,,
94.13791667,-35.14055556,4.37,,,,
79.37125,-34.89527778,4.83,,,,
88.27875,-33.80138889,4.87,,,,
88.87458333,-37.12083333,4.97,,,,
91.88166667,-37.25305556,5.02,,,,
86.49958333,-32.30638889,5.17,,,,
98.08875,-37.69666667,5.24,,,,
85.56291667,-34.66777778,5.29,,,,
84.43583333,-28.68944444,5.31,,,,
98.45625,-36.23222222,5.42,,,,
84.9575,-32.62916667,5.45,,,,
83.21375,-38.51305556,5.48,,,,
89.08708333,-31.3825,5.5,,,,
91.97041667,-42.15388889,5.5,,,,
94.255,-37.7375,5.53,,,,
95.15125,-34.14388889,5.53,,,,
90.31833333,-33.91166667,5.55,,,,
82.06375,-37.23055556,5.57,,,,
88.71875,-39.95805556,5.57,,,,
92.54291667,-40.35361111,5.58,,,,
98.85041667,-36.78,5.59,,,,
96.00416667,-36.70777778,5.62,,,,
88.13833333,-37.63111111,5.63,,,,
91.08458333,-32.1725,5.65,,,,
80.85,-39.67861111,5.71,,,,
99.3075,-36.99055556,5.71,,,,
78.62,-35.97722222,5.76,,,,
83.28083333,-35.13972222,5.78,,,,
83.81416667,-33.08,5.78,,,,
94.92083333,-34.39666667,5.78,,,,
91.36291667,-35.51361111,5.8,,,,
91.52291667,-29.75861111,5.81,,,,
84.68166667,-40.7075,5.82,,,,
91.76541667,-34.31194444,5.83,,,,
97.80416667,-35.25916667,5.84,,,,
81.77208333,-40.94361111,5.87,,,,
94.28958333,-37.25305556,5.87,,,,
79.84875,-27.36888889,5.99,,,,
94.14833333,-39.26444444,6,,,,
99.25791667,-38.14666667,6.04,,,,
80.32041667,-34.34527778,6.09,,,,
91.67083333,-42.29861111,6.12,,,,
84.31875,-27.87138889,6.16,,,,
85.54833333,-30.53555556,6.19,,,,
97.74916667,-40.91638889,6.2,,,,
86.76958333,-28.63916667,6.22,,,,
85.87583333,-39.40694444,6.25,,,,
96.37458333,-35.06388889,6.25,,,,
84.04291667,-28.70777778,6.26,,,,
96.18541667,-40.28416667,6.31,,,,
86.8275,-35.67472222,6.32,,,,
97.17625,-41.07444444,6.32,,,,
80.08583333,-34.69888889,6.34,,,,
85.3625,-33.40055556,6.34,,,,
97.89583333,-36.94,6.34,,,,
99.21375,-41.55694444,6.34,,,,
98.975,-36.08888889,6.35,,,,
88.55875,-29.14777778,6.36,,,,
89.20416667,-31.97611111,6.44,,,,
98.29291667,-38.62527778,6.44,,,,
87.99791667,-29.44861111,6.45,,,,
96.78125,-37.89555556,6.48,,,,
77.06166667,-35.71833333,6.52,,,,
83.46708333,-29.84888889,6.53,,,,
88.34541667,-42.92138889,6.55,,,,
77.89958333,-37.39527778,6.57,,,,
86.99208333,-40.6525,6.61,,,,
78.94583333,-34.92666667,6.66,,,,
88.19875,-38.52583333,6.7,,,,
82.27791667,-30.11666667,6.75,,,,
80.9125,-37.33666667,6.82,,,,
78.44375,-35.82555556,6.98,,,,
