RA,Dec,mag,x,y,x0,y0
287.3679167,-37.90444444,4.11,,,,
287.5070833,-39.34083333,4.11,,,,
287.0870833,-40.49666667,4.59,,,,
278.3758333,-42.3125,4.64,,,,
285.77875,-42.09527778,4.75,,,,
284.6808333,-37.1075,4.87,,,,
286.6045833,-37.06333333,4.93,,,,
286.6045833,-37.06333333,4.99,,,,
275.5775,-38.65694444,5.1,,,,
280.9454167,-38.32361111,5.13,,,,
278.0891667,-39.70388889,5.16,,,,
281.9358333,-40.40611111,5.24,,,,
276.0758333,-44.11027778,5.25,,,,
284.0704167,-42.71055556,5.36,,,,
279.8958333,-43.18611111,5.37,,,,
284.16875,-37.34333333,5.38,,,,
281.2383333,-39.68638889,5.43,,,,
273.9695833,-44.20666667,5.46,,,,
273.3025,-41.33611111,5.47,,,,
282.2104167,-43.68,5.49,,,,
282.3958333,-43.43388889,5.61,,,,
277.1129167,-38.99555556,5.64,,,,
278.34625,-38.72611111,5.65,,,,
277.9841667,-43.50777778,5.72,,,,
285.82375,-38.25333333,5.74,,,,
271.7075,-43.42472222,5.77,,,,
271.7075,-43.42472222,5.77,,,,
272.7733333,-41.35916667,5.86,,,,
287.4908333,-41.8925,5.88,,,,
288.6654167,-45.19333333,5.92,,,,
277.7625,-41.91361111,6.04,,,,
286.71875,-37.81027778,6.16,,,,
278.25375,-39.89222222,6.22,,,,
285.53625,-41.91,6.23,,,,
274.6666667,-42.28833333,6.3,,,,
284.3945833,-39.82333333,6.31,,,,
278.3470833,-38.72027778,6.32,,,,
277.30375,-43.84583333,6.36,,,,
287.7575,-39.005,6.36,,,,
285.2679167,-37.06194444,6.4,,,,
275.2304167,-37.4875,6.45,,,,
287.4154167,-39.82805556,6.46,,,,
284.79625,-39.53472222,6.49,,,,
288.0408333,-37.58277778,6.57,,,,
277.32,-38.85111111,6.63,,,,
285.2633333,-37.06083333,6.69,,,,
