RA,Dec,mag,x,y,x0,y0
239.8758333,25.92027778,2,,,,
233.6720833,26.71472222,2.23,,,,
231.9570833,29.10583333,3.68,,,,
235.6858333,26.29555556,3.84,,,,
233.2325,31.35916667,4.14,,,,
239.3970833,26.87777778,4.15,,,,
237.39875,26.06833333,4.63,,,,
242.2429167,36.49083333,4.76,,,,
237.8079167,35.6575,4.82,,,,
245.5241667,30.89194444,4.85,,,,
240.3608333,29.85111111,4.99,,,,
234.8445833,36.63583333,5.07,,,,
233.8125,39.01,5.11,,,,
245.5891667,33.79916667,5.2,,,,
245.6216667,33.70361111,5.39,,,,
240.26125,33.30361111,5.41,,,,
238.9483333,37.94694444,5.45,,,,
230.0354167,29.61611111,5.51,,,,
235.9970833,32.51583333,5.56,,,,
230.80125,30.28777778,5.58,,,,
239.7404167,36.64388889,5.62,,,,
242.95,36.425,5.63,,,,
243.67,33.85861111,5.64,,,,
244.1866667,29.15027778,5.78,,,,
240.8308333,36.63166667,5.83,,,,
237.1433333,28.15666667,5.85,,,,
234.8425,36.63666667,6,,,,
230.80125,30.28777778,6.08,,,,
234.70375,34.675,6.11,,,,
243.9475,27.42222222,6.14,,,,
242.9154167,33.3425,6.29,,,,
229.8758333,32.51527778,6.32,,,,
232.8433333,36.61638889,6.38,,,,
245.7354167,32.33305556,6.4,,,,
233.9554167,38.37388889,6.42,,,,
237.0083333,31.73583333,6.44,,,,
232.5945833,31.28611111,6.46,,,,
243.18875,26.67083333,6.5,,,,
234.2225,29.99111111,6.52,,,,
243.67,33.85833333,6.66,,,,
