RA,Dec,mag,x,y,x0,y0
169.8354167,-14.77861111,3.56,,,,
164.94375,-18.29888889,4.08,,,,
171.2204167,-17.68388889,4.08,,,,
167.9145833,-22.82583333,4.48,,,,
174.1704167,-9.802222222,4.7,,,,
176.1908333,-18.35083333,4.73,,,,
171.1525,-10.85944444,4.83,,,,
170.84125,-18.78,5.09,,,,
179.00375,-17.15083333,5.18,,,,
174.6670833,-13.20194444,5.48,,,,
165.8120833,-11.30361111,5.5,,,,
163.5741667,-13.75805556,5.66,,,,
172.4108333,-24.46333333,5.76,,,,
165.0483333,-14.08333333,5.88,,,,
164.87875,-16.35388889,5.89,,,,
171.7895833,-12.35666667,5.94,,,,
173.1979167,-7.8275,5.95,,,,
173.3108333,-16.28055556,6.05,,,,
166.3916667,-11.08888889,6.09,,,,
168.1266667,-18.5,6.13,,,,
177.58125,-15.86388889,6.13,,,,
169.2425,-7.134722222,6.14,,,,
174.96,-16.62027778,6.19,,,,
174.9629167,-14.46861111,6.21,,,,
175.5145833,-20.29388889,6.22,,,,
172.9483333,-20.77666667,6.24,,,,
177.0979167,-10.31333333,6.26,,,,
165.2383333,-15.79277778,6.34,,,,
165.9020833,-13.43444444,6.34,,,,
177.84125,-12.18777778,6.35,,,,
163.3870833,-15.44555556,6.38,,,,
168.1441667,-21.74916667,6.4,,,,
174.7516667,-24.72111111,6.42,,,,
