RA,Dec,mag,x,y,x0,y0
191.93,-59.68861111,1.25,,,,
186.6495833,-63.09916667,1.33,,,,
187.79125,-57.11333333,1.63,,,,
186.6520833,-63.09944444,1.73,,,,
183.78625,-58.74888889,2.8,,,,
185.34,-60.40111111,3.59,,,,
193.6483333,-57.17777778,4.03,,,,
184.60875,-64.00305556,4.04,,,,
181.7204167,-64.61361111,4.15,,,,
180.75625,-63.31277778,4.33,,,,
193.6633333,-59.14666667,4.62,,,,
191.5945833,-56.48888889,4.65,,,,
191.4079167,-60.98111111,4.69,,,,
181.08,-63.16555556,4.72,,,,
186.62875,-63.1225,4.86,,,,
190.4858333,-59.68583333,4.93,,,,
193.6533333,-57.16833333,5.17,,,,
190.7095833,-63.05861111,5.31,,,,
193.9875,-56.83611111,5.32,,,,
185.7054167,-57.67611111,5.39,,,,
179.5633333,-56.31722222,5.44,,,,
187.9179167,-59.42388889,5.48,,,,
186.8695833,-58.99194444,5.5,,,,
179.4170833,-62.44888889,5.57,,,,
179.69875,-64.33916667,5.61,,,,
192.8241667,-60.32972222,5.72,,,,
193.3408333,-60.32861111,5.76,,,,
187.4745833,-56.52472222,5.8,,,,
193.4545833,-60.37694444,5.9,,,,
183.0916667,-62.95083333,5.92,,,,
185.4895833,-56.37472222,5.92,,,,
187.9825,-63.50611111,5.95,,,,
181.2379167,-60.96916667,5.96,,,,
186.8525,-63.78916667,6,,,,
190.7879167,-56.17611111,6,,,,
187.07875,-64.34138889,6.04,,,,
182.7704167,-61.2775,6.08,,,,
190.7066667,-55.94722222,6.08,,,,
187.1391667,-56.40777778,6.15,,,,
180.3708333,-57.50361111,6.16,,,,
182.1025,-60.84722222,6.22,,,,
183.57,-64.40861111,6.22,,,,
187.10625,-61.79527778,6.22,,,,
188.8708333,-61.84194444,6.22,,,,
190.8675,-58.90305556,6.4,,,,
187.8195833,-57.08111111,6.42,,,,
193.5916667,-58.43055556,6.58,,,,
192.55,-60.40083333,6.75,,,,
