RA,Dec,mag,x,y,x0,y0
183.9516667,-17.54194444,2.59,,,,
188.5966667,-23.39666667,2.65,,,,
187.46625,-16.51555556,2.95,,,,
182.53125,-22.61972222,3,,,,
182.1033333,-24.72888889,4.02,,,,
188.0175,-16.19611111,4.31,,,,
185.2320833,-13.56555556,5.14,,,,
185.1404167,-22.21583333,5.21,,,,
180.2133333,-19.65888889,5.26,,,,
182.76625,-23.6025,5.46,,,,
188.3929167,-12.83027778,5.58,,,,
187.5729167,-23.69666667,5.63,,,,
185.84,-24.84055556,5.68,,,,
188.15,-13.85916667,5.74,,,,
183.7483333,-20.84416667,5.83,,,,
185.0445833,-22.17555556,5.97,,,,
190.3175,-13.015,5.98,,,,
189.6858333,-18.25027778,6,,,,
190.455,-19.75861111,6.03,,,,
184.26375,-16.69361111,6.05,,,,
190.3166667,-13.01361111,6.08,,,,
193.9720833,-15.32694444,6.17,,,,
188.9941667,-20.52722222,6.2,,,,
188.3433333,-19.79194444,6.26,,,,
180.1770833,-21.83722222,6.28,,,,
186.9558333,-16.63194444,6.35,,,,
187.52,-13.39305556,6.35,,,,
183.9458333,-23.35361111,6.54,,,,
