RA,Dec,mag,x,y,x0,y0
309.3875,14.59527778,3.63,,,,
309.9095833,15.91194444,3.77,,,,
308.3033333,11.30333333,4.03,,,,
311.6645833,16.12416667,4.27,,,,
310.8645833,15.07444444,4.43,,,,
308.8270833,14.67416667,4.68,,,,
303.5691667,15.1975,4.95,,,,
309.7825,10.08611111,5.05,,,,
311.66125,16.12444444,5.14,,,,
313.9029167,13.72138889,5.17,,,,
308.4875,13.02722222,5.38,,,,
309.4545833,11.37777778,5.43,,,,
314.6079167,10.83916667,5.48,,,,
311.95125,6.008333333,5.58,,,,
313.9108333,12.56861111,5.58,,,,
315.1154167,19.32944444,5.65,,,,
309.6829167,13.315,5.72,,,,
305.0008333,13.54805556,5.95,,,,
309.7708333,15.83805556,5.97,,,,
312.4075,12.54527778,5.98,,,,
310.3175,14.58305556,5.99,,,,
313.9195833,4.532777778,6.05,,,,
307.575,10.89583333,6.08,,,,
305.0854167,14.56916667,6.13,,,,
305.7179167,14.55138889,6.17,,,,
307.7420833,20.60583333,6.18,,,,
304.8716667,13.21694444,6.21,,,,
307.07,2.936944444,6.21,,,,
312.49625,5.544722222,6.21,,,,
306.5966667,17.31555556,6.22,,,,
310.4925,17.52138889,6.22,,,,
307.03125,8.4375,6.25,,,,
309.4775,18.26916667,6.25,,,,
315.7575,14.73,6.31,,,,
306.4333333,10.05638889,6.33,,,,
312.45125,7.864166667,6.33,,,,
316.89,15.65861111,6.34,,,,
311.3675,18.09027778,6.38,,,,
311.9491667,3.306666667,6.4,,,,
306.505,19.865,6.41,,,,
309.9658333,11.24972222,6.42,,,,
310.1883333,19.93527778,6.45,,,,
312.6541667,18.05138889,6.52,,,,
307.3379167,20.08777778,6.55,,,,
308.4733333,10.05972222,6.56,,,,
314.9616667,16.82416667,6.66,,,,
307.8041667,11.26055556,7.11,,,,
