RA,Dec,mag,x,y,x0,y0
68.49916667,-55.045,3.27,,,,
83.40625,-62.48972222,3.76,,,,
64.00666667,-51.48666667,4.25,,,,
86.19333333,-65.73555556,4.35,,,,
88.52541667,-63.09,4.65,,,,
76.3775,-57.47277778,4.72,,,,
78.43916667,-67.18527778,4.83,,,,
92.8125,-65.58944444,5.01,,,,
92.18416667,-68.84333333,5.06,,,,
87.47333333,-66.90111111,5.11,,,,
81.58041667,-58.9125,5.14,,,,
76.89166667,-63.39972222,5.2,,,,
71.08791667,-59.73277778,5.27,,,,
83.24833333,-64.2275,5.34,,,,
96.36916667,-69.69027778,5.38,,,,
69.19,-62.0775,5.4,,,,
95.65916667,-69.98416667,5.56,,,,
91.53916667,-66.03972222,5.71,,,,
81.75,-68.62277778,6.03,,,,
64.66666667,-52.86,6.09,,,,
73.72083333,-58.54722222,6.12,,,,
82.56625,-63.92777778,6.19,,,,
66.05083333,-57.07138889,6.29,,,,
97.5125,-65.56833333,6.29,,,,
84.22791667,-66.56027778,6.31,,,,
83.74,-61.17583333,6.32,,,,
87.84583333,-64.03361111,6.36,,,,
73.37708333,-66.67555556,6.41,,,,
58.64166667,-52.69055556,6.46,,,,
71.24125,-63.22972222,6.46,,,,
60.06541667,-51.56472222,6.51,,,,
70.07625,-58.94361111,6.53,,,,
82.3225,-62.31444444,6.59,,,,
88.54958333,-64.48222222,6.63,,,,
