RA,Dec,mag,x,y,x0,y0
269.1516667,51.48888889,2.23,,,,
245.9979167,61.51416667,2.74,,,,
262.6083333,52.30138889,2.79,,,,
288.13875,67.66166667,3.07,,,,
257.1966667,65.71472222,3.17,,,,
231.2325,58.96611111,3.29,,,,
275.2641667,72.73277778,3.57,,,,
211.0970833,64.37583333,3.65,,,,
268.3820833,56.87277778,3.75,,,,
297.0433333,70.26777778,3.83,,,,
172.8508333,69.33111111,3.84,,,,
188.3708333,69.78833333,3.87,,,,
240.4720833,58.56527778,4.01,,,,
275.1895833,71.33777778,4.22,,,,
144.2716667,81.32638889,4.29,,,,
288.8875,73.35555556,4.45,,,,
300.7045833,67.87361111,4.51,,,,
265.4845833,72.14888889,4.58,,,,
290.1670833,65.71472222,4.59,,,,
207.8579167,64.72333333,4.65,,,,
282.8004167,59.38833333,4.66,,,,
293.09,69.66111111,4.68,,,,
278.14375,57.04555556,4.77,,,,
264.2379167,68.75805556,4.8,,,,
276.49625,65.56361111,4.82,,,,
283.5995833,71.29722222,4.82,,,,
250.2295833,64.58916667,4.83,,,,
158.7729167,75.71305556,4.84,,,,
251.3241667,56.78194444,4.85,,,,
263.0666667,55.17305556,4.87,,,,
263.0441667,55.18416667,4.88,,,,
254.0070833,65.13472222,4.89,,,,
283.3066667,50.70833333,4.92,,,,
188.6833333,70.02194444,4.94,,,,
187.5279167,69.20111111,4.95,,,,
239.4475,54.74972222,4.95,,,,
275.9770833,58.80055556,4.98,,,,
288.48,57.705,4.99,,,,
246.9958333,68.76805556,5,,,,
267.2679167,50.78111111,5.02,,,,
273.4741667,64.39722222,5.03,,,,
267.3625,76.96277778,5.04,,,,
280.6579167,55.53944444,5.04,,,,
262.99125,68.135,5.05,,,,
275.38625,49.12166667,5.05,,,,
249.0570833,52.92444444,5.08,,,,
287.91875,56.85916667,5.12,,,,
287.2908333,76.56055556,5.13,,,,
236.6666667,62.59944444,5.19,,,,
174.0116667,69.32277778,5.2,,,,
307.8766667,74.95472222,5.2,,,,
263.7479167,61.875,5.23,,,,
193.86875,65.43861111,5.24,,,,
245.4529167,69.10944444,5.25,,,,
281.4445833,74.08555556,5.27,,,,
300.36875,64.82111111,5.27,,,,
249.5016667,56.01555556,5.29,,,,
175.6183333,66.745,5.3,,,,
194.9795833,66.59722222,5.32,,,,
281.5925,75.43388889,5.35,,,,
278.48625,52.35361111,5.36,,,,
184.7079167,75.16055556,5.38,,,,
285.0570833,50.53361111,5.38,,,,
286.23,53.39666667,5.38,,,,
301.3866667,61.99555556,5.39,,,,
311.8891667,80.55222222,5.39,,,,
244.31375,59.755,5.4,,,,
191.8933333,66.79027778,5.43,,,,
241.5820833,67.81027778,5.44,,,,
268.7966667,72.005,5.45,,,,
222.86,59.29388889,5.46,,,,
307.0608333,81.42277778,5.46,,,,
285.1808333,55.65833333,5.48,,,,
282.8958333,52.975,5.51,,,,
249.0479167,52.90027778,5.53,,,,
305.025,68.88027778,5.55,,,,
258.1358333,62.87444444,5.56,,,,
284.1066667,65.25805556,5.63,,,,
277.4370833,77.54694444,5.64,,,,
261.4220833,60.04833333,5.65,,,,
284.1875,57.815,5.66,,,,
245.9458333,61.69666667,5.67,,,,
260.4391667,53.42055556,5.67,,,,
270.0383333,80.00416667,5.68,,,,
305.2975,63.98027778,5.69,,,,
183.7854167,70.2,5.71,,,,
304.9029167,62.2575,5.72,,,,
233.9879167,54.63055556,5.74,,,,
246.1054167,55.205,5.74,,,,
279.3895833,62.52666667,5.74,,,,
265.9970833,53.80166667,5.75,,,,
302.8954167,62.07861111,5.75,,,,
310.6466667,82.53111111,5.75,,,,
218.12875,55.39777778,5.76,,,,
283.69625,48.85972222,5.77,,,,
230.66,63.34138889,5.79,,,,
232.7320833,64.20861111,5.79,,,,
265.4916667,72.15694444,5.79,,,,
256.3320833,54.47027778,5.8,,,,
238.0691667,55.82666667,5.81,,,,
256.3325,54.47027778,5.83,,,,
205.3745833,64.8225,5.85,,,,
236.9083333,55.37666667,5.86,,,,
264.2866667,72.45583333,5.86,,,,
234.3833333,54.50888889,5.87,,,,
281.6795833,52.98805556,5.88,,,,
231.9641667,60.67027778,5.9,,,,
290.0670833,57.64527778,5.91,,,,
236.645,55.47472222,5.92,,,,
296.0770833,69.33694444,5.92,,,,
225.3629167,60.20444444,5.93,,,,
240.5229167,52.91583333,5.93,,,,
304.3804167,66.85388889,5.93,,,,
248.1070833,60.82333333,5.94,,,,
272.6316667,54.28666667,5.95,,,,
273.8208333,68.75583333,5.95,,,,
299.6195833,63.53416667,5.96,,,,
307.3645833,81.09138889,5.96,,,,
233.8179167,53.92194444,5.97,,,,
230.6554167,62.04722222,5.98,,,,
265.3408333,51.81805556,5.99,,,,
281.0758333,61.04805556,5.99,,,,
195.445,63.61027778,6,,,,
279.97,52.19611111,6,,,,
194.6970833,75.4725,6.01,,,,
254.8395833,56.68861111,6.03,,,,
270.0141667,80.00083333,6.04,,,,
290.4175,79.60277778,6.05,,,,
279.0554167,65.48861111,6.06,,,,
292.7508333,70.98944444,6.07,,,,
217.6920833,63.18555556,6.09,,,,
280.2345833,62.74972222,6.09,,,,
255.56375,64.60055556,6.1,,,,
268.84875,55.97138889,6.1,,,,
280.8708333,53.87194444,6.11,,,,
282.0670833,48.7675,6.12,,,,
255.3195833,60.64916667,6.13,,,,
249.2291667,63.07277778,6.16,,,,
250.7433333,55.69027778,6.16,,,,
146.825,79.13666667,6.17,,,,
263.3820833,57.55888889,6.17,,,,
276.0383333,83.17527778,6.17,,,,
240.78875,59.41083333,6.19,,,,
307.2629167,83.62555556,6.19,,,,
164.9866667,77.77,6.2,,,,
199.1191667,68.40805556,6.2,,,,
299.9025,76.48138889,6.2,,,,
243.1045833,67.14416667,6.21,,,,
283.4429167,57.48694444,6.22,,,,
283.3883333,75.7875,6.22,,,,
146.3783333,78.13472222,6.23,,,,
281.2308333,54.89666667,6.23,,,,
186.6008333,71.92972222,6.24,,,,
267.54375,78.30666667,6.24,,,,
220.5133333,61.26194444,6.25,,,,
287.4408333,65.97861111,6.25,,,,
301.1858333,63.89055556,6.26,,,,
217.9283333,60.22555556,6.27,,,,
307.5029167,72.53166667,6.27,,,,
301.2220833,68.02722222,6.28,,,,
141.965,75.09833333,6.29,,,,
183.9225,72.55083333,6.29,,,,
247.1808333,51.40777778,6.29,,,,
257.6275,52.40888889,6.29,,,,
271.7229167,50.82277778,6.29,,,,
293.2920833,60.15861111,6.29,,,,
247.8670833,72.61194444,6.3,,,,
254.07,73.12777778,6.3,,,,
274.98375,51.34777778,6.3,,,,
284.7483333,50.80944444,6.3,,,,
238.9570833,58.91166667,6.31,,,,
285.5291667,52.26111111,6.31,,,,
186.2766667,63.80277778,6.32,,,,
259.1225,60.67055556,6.32,,,,
275.9491667,53.30083333,6.32,,,,
242.2620833,57.93777778,6.33,,,,
299.6745833,70.36694444,6.33,,,,
210.4608333,68.67861111,6.34,,,,
296.68625,68.43833333,6.34,,,,
182.4470833,74.66138889,6.35,,,,
268.6108333,75.17083333,6.36,,,,
273.67125,56.58833333,6.37,,,,
232.3383333,62.09972222,6.38,,,,
291.6104167,62.55722222,6.38,,,,
281.40875,79.9425,6.39,,,,
154.5045833,73.07333333,6.4,,,,
207.7466667,68.31527778,6.4,,,,
254.7608333,69.18638889,6.4,,,,
262.6825,57.87638889,6.4,,,,
275.2795833,49.72555556,6.4,,,,
281.9166667,49.075,6.4,,,,
244.5391667,68.55444444,6.41,,,,
254.105,65.03916667,6.41,,,,
144.4841667,73.08055556,6.42,,,,
264.1654167,69.57083333,6.42,,,,
232.2366667,55.195,6.43,,,,
261.2508333,67.30638889,6.43,,,,
276.92625,59.54916667,6.43,,,,
286.29125,49.92333333,6.43,,,,
290.3558333,57.76694444,6.43,,,,
280.7925,70.79277778,6.44,,,,
231.6354167,54.02,6.45,,,,
234.7895833,57.92444444,6.45,,,,
284.3225,62.39666667,6.45,,,,
144.0283333,74.31777778,6.46,,,,
257.07125,50.84222222,6.46,,,,
284.3683333,58.22527778,6.46,,,,
218.56625,57.06527778,6.48,,,,
242.3583333,55.82888889,6.49,,,,
272.7795833,60.40944444,6.49,,,,
231.92,62.27555556,6.5,,,,
261.5204167,58.65194444,6.51,,,,
295.0541667,60.50722222,6.51,,,,
159.0070833,80.49444444,6.52,,,,
284.7191667,69.53111111,6.52,,,,
289.9420833,64.39083333,6.52,,,,
249.05875,52.92416667,6.53,,,,
288.7825,83.46277778,6.53,,,,
284.4883333,77.05083333,6.54,,,,
278.0475,52.11555556,6.56,,,,
300.5845833,64.63444444,6.57,,,,
277.8116667,65.43611111,6.59,,,,
291.4445833,58.02722222,6.6,,,,
201.7691667,64.73555556,6.66,,,,
265.1508333,57.31027778,6.77,,,,
201.7945833,64.71944444,7.04,,,,
