RA,Dec,mag,x,y,x0,y0
318.9558333,5.247777778,3.92,,,,
318.6204167,10.00694444,4.49,,,,
317.5854167,10.13166667,4.69,,,,
320.7233333,6.811111111,5.16,,,,
314.7683333,4.293611111,5.23,,,,
316.1445833,5.502777778,5.61,,,,
320.27,7.354444444,5.82,,,,
316.36125,5.958333333,5.94,,,,
319.7166667,11.20333333,5.96,,,,
315.01625,7.516388889,5.99,,,,
317.63,10.04888889,6.07,,,,
317.1175,6.989444444,6.15,,,,
321.1025,10.17416667,6.35,,,,
316.17375,2.941944444,6.42,,,,
317.4929167,2.943333333,6.45,,,,
