RA,Dec,mag,x,y,x0,y0
24.42875,-57.23666667,0.46,,,,
76.9625,-5.086388889,2.79,,,,
59.5075,-13.50861111,2.95,,,,
44.56541667,-40.30472222,3.24,,,,
55.81208333,-9.763333333,3.54,,,,
34.1275,-51.51222222,3.56,,,,
64.47375,-33.79833333,3.56,,,,
49.87916667,-21.75777778,3.69,,,,
28.98958333,-51.60888889,3.7,,,,
53.2325,-9.458333333,3.73,,,,
68.8875,-30.56222222,3.82,,,,
69.545,-14.30388889,3.87,,,,
44.10708333,-8.898055556,3.89,,,,
69.07958333,-3.3525,3.93,,,,
66.00916667,-34.01694444,3.96,,,,
71.37541667,-3.254722222,4.02,,,,
62.96625,-6.8375,4.04,,,,
45.59791667,-23.62444444,4.09,,,,
40.16666667,-39.85555556,4.11,,,,
57.36375,-36.20027778,4.17,,,,
56.71208333,-23.24972222,4.23,,,,
36.74625,-47.70388889,4.25,,,,
49.98208333,-43.06972222,4.27,,,,
53.44708333,-21.63277778,4.27,,,,
77.28666667,-8.754166667,4.27,,,,
70.11041667,-19.67166667,4.32,,,,
44.56791667,-40.30444444,4.35,,,,
73.22375,-5.452777778,4.39,,,,
56.53541667,-12.10166667,4.42,,,,
63.81791667,-7.652777778,4.43,,,,
41.27583333,-18.5725,4.47,,,,
68.3775,-29.76666667,4.51,,,,
54.27375,-40.27472222,4.58,,,,
55.70875,-37.31361111,4.59,,,,
58.4275,-24.6125,4.65,,,,
59.98125,-24.01638889,4.66,,,,
52.65458333,-5.075277778,4.73,,,,
57.14958333,-37.62055556,4.73,,,,
39.95,-42.89166667,4.75,,,,
42.75958333,-21.00416667,4.75,,,,
58.57291667,-2.954722222,4.79,,,,
74.9825,-12.5375,4.79,,,,
48.95833333,-8.819722222,4.8,,,,
75.35958333,-7.173888889,4.81,,,,
63.59875,-10.25638889,4.87,,,,
49.59208333,-22.51138889,4.88,,,,
67.96958333,-0.043888889,4.91,,,,
69.72333333,-12.12305556,5.01,,,,
72.54833333,-16.21722222,5.03,,,,
26.52625,-53.52194444,5.04,,,,
58.41208333,-34.73222222,5.11,,,,
68.54833333,-8.231388889,5.11,,,,
76.69041667,-4.655,5.12,,,,
77.18166667,-4.456111111,5.12,,,,
44.15583333,-3.712222222,5.17,,,,
65.92,-3.745555556,5.17,,,,
44.675,-2.7825,5.23,,,,
54.0725,-17.46694444,5.23,,,,
69.40041667,-2.473333333,5.23,,,,
56.915,-23.87472222,5.24,,,,
56.12708333,-1.163055556,5.25,,,,
46.06833333,-7.600833333,5.26,,,,
68.54875,-8.970277778,5.26,,,,
46.63958333,-6.088611111,5.27,,,,
60.38333333,-1.549722222,5.28,,,,
45.67625,-7.685277778,5.32,,,,
62.32416667,-16.38583333,5.37,,,,
60.65291667,-0.268888889,5.38,,,,
65.1625,-20.63972222,5.38,,,,
74.96,-10.26333333,5.38,,,,
57.1475,-37.62222222,5.4,,,,
62.59375,-6.923888889,5.44,,,,
44.34875,-23.86194444,5.45,,,,
69.83208333,-14.35916667,5.45,,,,
58.17333333,-5.361388889,5.48,,,,
71.90125,-16.93444444,5.51,,,,
74.10083333,-5.171388889,5.51,,,,
25.62208333,-53.74055556,5.52,,,,
50.35,-23.63527778,5.52,,,,
55.15958333,-5.210555556,5.53,,,,
71.03333333,-18.66666667,5.53,,,,
56.23541667,-0.296666667,5.55,,,,
44.92166667,-2.465,5.56,,,,
53.99041667,-11.19361111,5.57,,,,
70.02833333,-24.4825,5.58,,,,
52.4,-12.67472222,5.59,,,,
61.40583333,-27.65166667,5.59,,,,
55.89083333,-10.48555556,5.6,,,,
59.87541667,-12.57416667,5.6,,,,
67.27875,-13.04833333,5.6,,,,
61.09458333,-12.7925,5.61,,,,
62.69875,-8.819722222,5.7,,,,
73.77833333,-16.74055556,5.7,,,,
49.67166667,-18.55972222,5.71,,,,
58.59666667,-40.35722222,5.71,,,,
68.47833333,-6.738888889,5.72,,,,
71.2675,-21.28361111,5.72,,,,
73.8275,-16.41777778,5.72,,,,
52.00416667,-11.28666667,5.73,,,,
45.29166667,-7.662777778,5.75,,,,
24.94916667,-56.19472222,5.76,,,,
72.13541667,-16.32944444,5.77,,,,
52.47916667,-42.63416667,5.78,,,,
72.15125,-5.673888889,5.78,,,,
