name,type,RA,Dec,Extension,Flux_Density,l,b,x,y
FL8Y J0301.4-7155,PointSource,45.3738,-71.9257,,1.40228E-12,,,,
FL8Y J0319.4-7045,PointSource,49.8533,-70.7561,,4.63252E-15,,,,
FL8Y J0353.1-6831,PointSource,58.2775,-68.5286,,4.73309E-15,,,,
FL8Y J0357.8-6945,PointSource,59.4688,-69.7536,,4.63709E-13,,,,
FL8Y J1038.8-5312,PointSource,159.7099,-53.2114,,1.20243E-11,,,,
FL8Y J1047.3-5515,PointSource,161.8425,-55.2586,,9.09387E-13,,,,
FL8Y J1048.3-5030,PointSource,162.0992,-50.5119,,3.285E-15,,,,
FL8Y J1051.5-5354,PointSource,162.892,-53.9068,,1.99118E-13,,,,
FL8Y J1209.1+7608,PointSource,182.2972,76.1373,,9.48402E-14,,,,
FL8Y J1220.1+7105,PointSource,185.0381,71.0927,,6.29528E-12,,,,
FL8Y J1225.5+7019,PointSource,186.3974,70.3277,,1.98392E-12,,,,
FL8Y J1228.3+7521,PointSource,187.0961,75.3572,,2.70819E-14,,,,
FL8Y J1242.9+7315,PointSource,190.7472,73.2564,,4.57788E-15,,,,
FL8Y J1137.4+7526,PointSource,174.3683,75.4418,,2.25121E-14,,,,
FL8Y J2105.9+7508,PointSource,316.4764,75.1481,,9.47737E-15,,,,
FL8Y J0233.5+0655,PointSource,38.3862,6.9266,,5.49965E-13,,,,
FL8Y J1714.8-1421,PointSource,258.7068,-14.3662,,6.48648E-14,,,,
FL8Y J1259.3+6921,PointSource,194.8411,69.3563,,7.20301E-13,,,,
FL8Y J1318.0+6754,PointSource,199.5198,67.9109,,1.10042E-13,,,,
FL8Y J1330.3+7002,PointSource,202.5841,70.0443,,5.862E-14,,,,
FL8Y J1353.1+6937,PointSource,208.279,69.6223,,2.05608E-13,,,,
FL8Y J1008.0+0621,PointSource,152.0151,6.3506,,7.3536E-13,,,,
FL8Y J1012.2+0630,PointSource,153.0707,6.5013,,3.34221E-13,,,,
FL8Y J1016.0+0512,PointSource,154.0114,5.2104,,6.57549E-13,,,,
FL8Y J1018.5+0528,PointSource,154.6279,5.4752,,1.11826E-13,,,,
FL8Y J1019.7+0511,PointSource,154.9419,5.196,,1.24897E-14,,,,
FL8Y J1848.1-4230,PointSource,282.0305,-42.5161,,5.38338E-14,,,,
FL8Y J1849.4-4313,PointSource,282.3723,-43.217,,8.20039E-13,,,,
FL8Y J1858.6-4446,PointSource,284.664,-44.7766,,1.87456E-13,,,,
FL8Y J1918.2-4111,PointSource,289.5669,-41.1879,,1.81672E-12,,,,
FL8Y J0339.2-1735,PointSource,54.808,-17.5993,,9.78468E-14,,,,
FL8Y J0348.6-1610,PointSource,57.1508,-16.1735,,1.33754E-12,,,,
FL8Y J1350.8+3033,PointSource,207.7131,30.5559,,2.17064E-12,,,,
