RA,Dec,mag,x,y,x0,y0
48.01791667,-28.98694444,3.87,,,,
42.2725,-32.40583333,4.46,,,,
31.1225,-29.29694444,4.69,,,,
38.46125,-28.2325,4.9,,,,
55.56208333,-31.93833333,5,,,,
37.00708333,-33.81111111,5.14,,,,
35.63583333,-23.81638889,5.2,,,,
33.22708333,-30.72388889,5.28,,,,
30.31125,-30.00166667,5.35,,,,
42.47583333,-27.94166667,5.39,,,,
42.66833333,-35.67611111,5.47,,,,
56.98333333,-30.16777778,5.54,,,,
49.895,-24.12305556,5.61,,,,
44.90041667,-25.27416667,5.71,,,,
51.88916667,-35.68138889,5.71,,,,
39.03875,-30.04472222,5.75,,,,
39.24416667,-34.57833333,5.79,,,,
39.57791667,-30.19416667,5.83,,,,
45.40708333,-28.09166667,5.89,,,,
38.27916667,-34.65,5.9,,,,
56.61416667,-29.33805556,5.9,,,,
49.51166667,-28.79694444,5.91,,,,
42.56166667,-35.84361111,5.92,,,,
43.39333333,-38.43694444,5.92,,,,
51.59375,-27.3175,5.93,,,,
40.5275,-38.38388889,6.01,,,,
54.69875,-27.94305556,6.01,,,,
28.34666667,-38.59472222,6.1,,,,
37.1475,-31.1025,6.11,,,,
42.4625,-24.56027778,6.14,,,,
44.7775,-28.90694444,6.14,,,,
48.40833333,-29.80416667,6.16,,,,
46.96208333,-27.83111111,6.19,,,,
53.48666667,-31.08027778,6.2,,,,
41.08541667,-32.525,6.22,,,,
48.75083333,-26.10027778,6.25,,,,
48.25625,-35.94388889,6.27,,,,
44.30458333,-29.85527778,6.29,,,,
38.06166667,-36.4275,6.3,,,,
26.94916667,-37.15972222,6.32,,,,
27.33125,-31.07277778,6.34,,,,
34.74375,-25.94555556,6.34,,,,
29.61125,-33.06666667,6.35,,,,
50.56791667,-25.58777778,6.35,,,,
27.45333333,-38.40388889,6.37,,,,
52.97458333,-25.61416667,6.38,,,,
26.50416667,-27.34916667,6.39,,,,
50.18833333,-26.60638889,6.39,,,,
51.4825,-35.92083333,6.39,,,,
42.98041667,-30.81444444,6.4,,,,
53.63958333,-31.87472222,6.4,,,,
44.38625,-38.19111111,6.41,,,,
30.61708333,-29.665,6.42,,,,
36.08375,-25.8475,6.44,,,,
32.395,-24.34583333,6.48,,,,
39.60333333,-37.99055556,6.49,,,,
50.93583333,-32.70722222,6.5,,,,
52.04791667,-35.85333333,6.5,,,,
37.5575,-25.18638889,6.51,,,,
41.89041667,-35.55083333,6.51,,,,
40.01041667,-30.63388889,6.52,,,,
35.77708333,-37.57638889,6.53,,,,
56.83375,-29.90194444,6.55,,,,
49.04708333,-30.8275,6.65,,,,
