RA,Dec,mag,x,y,x0,y0
116.32875,28.02611111,1.14,,,,
99.42791667,16.39916667,1.93,,,,
113.65,31.88833333,1.98,,,,
95.74,22.51361111,2.88,,,,
113.65,31.88861111,2.88,,,,
100.9829167,25.13111111,2.98,,,,
93.71916667,22.50666667,3.28,,,,
101.3225,12.89555556,3.36,,,,
110.0308333,21.98222222,3.53,,,,
116.1116667,24.39805556,3.57,,,,
109.5233333,16.54027778,3.58,,,,
103.1970833,33.96111111,3.6,,,,
106.0270833,20.57027778,3.79,,,,
111.4316667,27.79805556,3.79,,,,
113.9804167,26.89583333,4.06,,,,
97.24083333,20.21222222,4.15,,,,
91.03,23.26333333,4.16,,,,
112.2779167,31.78444444,4.18,,,,
115.8279167,28.88361111,4.28,,,,
107.785,30.24527778,4.41,,,,
100.9970833,13.22777778,4.49,,,,
103.66125,13.17777778,4.65,,,,
116.5308333,18.51,4.88,,,,
114.79125,34.58416667,4.9,,,,
120.8795833,27.79416667,4.94,,,,
118.3741667,26.76583333,4.97,,,,
108.3429167,16.15888889,5,,,,
112.4529167,27.91611111,5.01,,,,
110.86875,25.05055556,5.03,,,,
112.335,28.11805556,5.05,,,,
114.8691667,17.67472222,5.05,,,,
110.4866667,20.44361111,5.1,,,,
105.9083333,10.95166667,5.13,,,,
116.87625,33.41555556,5.14,,,,
105.6033333,24.21527778,5.18,,,,
100.60125,17.64527778,5.21,,,,
111.935,21.445,5.22,,,,
113.4020833,15.82666667,5.25,,,,
102.8875,21.76111111,5.27,,,,
116.02875,25.78416667,5.31,,,,
113.78625,30.96111111,5.33,,,,
118.91625,19.88388889,5.35,,,,
112.9516667,17.08611111,5.42,,,,
101.1895833,28.97083333,5.44,,,,
107.0916667,15.93083333,5.44,,,,
98.40041667,14.15527778,5.53,,,,
106.5483333,34.47388889,5.55,,,,
114.6366667,35.04861111,5.56,,,,
115.5133333,14.20833333,5.56,,,,
102.60625,13.41333333,5.65,,,,
103,23.60166667,5.65,,,,
105.0658333,16.07888889,5.68,,,,
102.4220833,32.60666667,5.71,,,,
108.9879167,27.8975,5.71,,,,
103.8275,25.37555556,5.73,,,,
105.5725,15.33611111,5.74,,,,
92.43333333,23.11333333,5.75,,,,
111.1391667,27.63805556,5.76,,,,
115.4658333,13.48055556,5.77,,,,
107.84625,26.85666667,5.78,,,,
92.88458333,24.42027778,5.8,,,,
105.6395833,16.67416667,5.82,,,,
108.6745833,24.885,5.82,,,,
102.4575,16.20277778,5.85,,,,
108.11,24.12833333,5.85,,,,
104.2520833,33.68111111,5.89,,,,
115.24375,23.01861111,5.89,,,,
106.8429167,34.00944444,5.91,,,,
92.385,22.19,5.93,,,,
105.8766667,29.33722222,5.93,,,,
111.7345833,20.25722222,5.93,,,,
105.60625,17.75555556,5.94,,,,
99.94833333,12.98305556,5.97,,,,
105.965,12.59444444,5.98,,,,
117.98625,19.32527778,5.99,,,,
106.3266667,22.63722222,6.02,,,,
110.8675,22.94527778,6.02,,,,
115.68125,34.00027778,6.02,,,,
117.7595833,33.23361111,6.03,,,,
99.77208333,22.03083333,6.04,,,,
117.2583333,13.37083333,6.04,,,,
90.25166667,27.57222222,6.05,,,,
96.38708333,23.32694444,6.06,,,,
94.07916667,23.97,6.08,,,,
104.6975,26.08111111,6.1,,,,
114.7995833,24.2225,6.17,,,,
114.9754167,32.00972222,6.17,,,,
117.14,23.14111111,6.18,,,,
97.79208333,16.93861111,6.2,,,,
101.8479167,18.19333333,6.2,,,,
115.8425,22.39944444,6.21,,,,
96.98583333,20.49611111,6.22,,,,
112.1970833,15.10944444,6.22,,,,
97.11666667,16.23833333,6.23,,,,
109.5170833,30.95583333,6.24,,,,
115.1970833,13.77083333,6.24,,,,
94.24458333,23.74083333,6.25,,,,
104.3570833,11.9075,6.27,,,,
114.5604167,24.36027778,6.27,,,,
100.3408333,16.3975,6.28,,,,
107.0554167,33.83222222,6.28,,,,
116.28875,20.31638889,6.33,,,,
95.35791667,17.76361111,6.35,,,,
90.42333333,22.40083333,6.37,,,,
99.88083333,24.6,6.38,,,,
93.07958333,22.90833333,6.39,,,,
97.90583333,15.90333333,6.4,,,,
104.86625,25.91416667,6.4,,,,
111.1154167,15.51722222,6.41,,,,
100.3375,28.19638889,6.42,,,,
107.5279167,21.24694444,6.43,,,,
108.2041667,27.22472222,6.43,,,,
99.36333333,24.59083333,6.44,,,,
110.02875,15.14277778,6.45,,,,
101.4758333,12.69361111,6.46,,,,
97.23583333,26.96777778,6.47,,,,
106.8541667,28.17722222,6.48,,,,
111.7091667,21.53583333,6.54,,,,
113.2108333,22.88777778,6.54,,,,
92.96416667,21.86861111,6.56,,,,
105.3216667,32.41444444,6.59,,,,
108.6108333,24.71083333,6.89,,,,
106.8391667,22.70361111,7.68,,,,
