RA,Dec,mag,x,y,x0,y0
332.0583333,-46.96111111,1.74,,,,
340.6670833,-46.88472222,2.1,,,,
328.4820833,-37.365,3.01,,,,
342.13875,-51.31694444,3.49,,,,
347.59,-45.24666667,3.9,,,,
337.3175,-43.49555556,3.97,,,,
337.4395833,-43.74944444,4.11,,,,
345.22,-52.75416667,4.12,,,,
346.72,-43.52055556,4.28,,,,
331.52875,-39.54333333,4.46,,,,
333.90375,-41.34666667,4.79,,,,
340.875,-41.41444444,4.85,,,,
341.4079167,-53.50027778,4.85,,,,
334.1108333,-41.6275,5.1,,,,
323.0245833,-41.17916667,5.29,,,,
334.565,-53.62777778,5.37,,,,
346.165,-53.965,5.37,,,,
342.7591667,-39.15694444,5.42,,,,
329.095,-37.25361111,5.46,,,,
337.1633333,-39.13194444,5.47,,,,
329.8245833,-38.39527778,5.5,,,,
341.4195833,-46.5475,5.51,,,,
351.6525,-52.72166667,5.52,,,,
349.54125,-40.82444444,5.53,,,,
323.3479167,-44.84861111,5.57,,,,
327.0658333,-47.30361111,5.58,,,,
346.7233333,-38.89222222,5.61,,,,
335.7833333,-45.92861111,5.62,,,,
345.28125,-50.95,5.68,,,,
344.1991667,-47.96916667,5.7,,,,
351.0545833,-51.89138889,5.75,,,,
348.7441667,-41.10555556,5.77,,,,
345.9979167,-41.47833333,5.79,,,,
347.48875,-42.86055556,5.81,,,,
346.81125,-50.68638889,5.83,,,,
347.5408333,-40.59166667,5.83,,,,
339.245,-40.59111111,5.86,,,,
349.1654167,-44.48916667,5.92,,,,
340.65375,-47.21055556,5.98,,,,
343.4079167,-48.59805556,6.04,,,,
350.2083333,-50.30666667,6.05,,,,
340.6795833,-44.24777778,6.07,,,,
333.89625,-44.45194444,6.1,,,,
350.9391667,-43.12444444,6.1,,,,
350.97625,-53.80833333,6.15,,,,
329.2591667,-37.74694444,6.18,,,,
333.6608333,-41.38166667,6.23,,,,
339.1220833,-40.58277778,6.28,,,,
326.1229167,-38.5525,6.3,,,,
323.5708333,-42.925,6.32,,,,
346.7895833,-49.60666667,6.33,,,,
343.8120833,-36.38861111,6.4,,,,
332.4916667,-48.10722222,6.43,,,,
345.6416667,-36.42083333,6.47,,,,
349.2075,-41.19444444,6.47,,,,
341.6179167,-49.68583333,6.48,,,,
341.6820833,-46.93944444,6.56,,,,
335.6829167,-45.94777778,6.62,,,,
341.5333333,-48.97888889,6.62,,,,
339.785,-52.69222222,6.65,,,,
341.94625,-38.22194444,6.71,,,,
348.3125,-49.61888889,6.8,,,,
