RA,Dec,mag,x,y,x0,y0
63.50041667,-42.29444444,3.86,,,,
43.47041667,-49.89027778,4,,,,
62.71083333,-41.99361111,4.93,,,,
44.69916667,-64.07138889,4.99,,,,
45.90333333,-59.73777778,5.11,,,,
40.165,-54.55,5.21,,,,
42.25625,-62.80666667,5.26,,,,
39.35166667,-52.54305556,5.31,,,,
64.81916667,-44.26805556,5.34,,,,
36.22458333,-60.31194444,5.35,,,,
40.63958333,-50.80027778,5.41,,,,
53.145,-50.37861111,5.68,,,,
56.31583333,-47.35972222,5.73,,,,
41.36458333,-63.70444444,5.74,,,,
48.13833333,-57.32166667,5.74,,,,
34.97625,-55.94472222,5.81,,,,
49.36083333,-47.75166667,5.85,,,,
58.38875,-46.89361111,5.93,,,,
52.65416667,-47.37527778,5.99,,,,
43.08,-62.90972222,6.03,,,,
47.61416667,-48.73416667,6.12,,,,
41.04458333,-52.57055556,6.15,,,,
43.52708333,-50.87138889,6.21,,,,
38.4775,-51.09361111,6.24,,,,
40.86083333,-66.71444444,6.26,,,,
37.01833333,-64.29972222,6.37,,,,
63.39875,-40.35777778,6.37,,,,
50.38875,-47.77694444,6.39,,,,
36.35958333,-66.49472222,6.41,,,,
56.21083333,-48.06138889,6.49,,,,
39.88208333,-64.28194444,6.55,,,,
43.58708333,-64.43555556,6.56,,,,
61.85458333,-42.91694444,6.59,,,,
62.14125,-45.86472222,6.59,,,,
63.13166667,-44.36833333,6.71,,,,
38.39,-62.58694444,6.77,,,,
