RA,Dec,mag,x,y,x0,y0
141.8966667,-8.658611111,1.98,,,,
199.7304167,-23.17166667,3,,,,
133.8483333,5.945555556,3.11,,,,
162.40625,-16.19361111,3.11,,,,
211.5929167,-26.6825,3.27,,,,
131.6941667,6.418888889,3.38,,,,
173.2504167,-31.85777778,3.54,,,,
152.6470833,-12.35416667,3.61,,,,
156.5225,-16.83638889,3.81,,,,
138.59125,2.314166667,3.88,,,,
126.415,-3.906388889,3.9,,,,
144.9641667,-1.142777778,3.91,,,,
147.8695833,-14.84666667,4.12,,,,
129.4141667,5.703611111,4.16,,,,
178.2275,-33.90805556,4.28,,,,
130.80625,3.398611111,4.3,,,,
131.59375,-13.54777778,4.32,,,,
132.1083333,5.837777778,4.36,,,,
222.5720833,-27.96027778,4.41,,,,
129.6891667,3.341388889,4.44,,,,
142.9954167,-1.185,4.57,,,,
142.2870833,-2.768888889,4.6,,,,
151.28125,-13.06472222,4.6,,,,
130.9183333,-7.233611111,4.62,,,,
144.61375,4.649166667,4.68,,,,
141.8266667,-22.34388889,4.69,,,,
175.0533333,-34.74472222,4.7,,,,
145.3208333,-23.59166667,4.77,,,,
215.7741667,-27.75388889,4.77,,,,
139.9433333,-11.975,4.79,,,,
140.1208333,-9.555833333,4.8,,,,
159.3883333,-13.38444444,4.82,,,,
130.4304167,-15.94333333,4.88,,,,
148.55125,-25.9325,4.88,,,,
159.3070833,-27.4125,4.89,,,,
159.6458333,-16.87666667,4.91,,,,
145.56,-23.91555556,4.94,,,,
148.7175,-19.00944444,4.94,,,,
166.3329167,-27.29361111,4.94,,,,
221.5004167,-25.44305556,4.94,,,,
197.26375,-23.11805556,4.95,,,,
136.4933333,5.092222222,4.97,,,,
202.4283333,-23.28138889,4.97,,,,
217.0433333,-29.49166667,4.97,,,,
130.00625,-12.47527778,4.98,,,,
143.3020833,-21.11583333,5.01,,,,
173.2254167,-31.08722222,5.04,,,,
145.0766667,-14.33222222,5.06,,,,
158.50375,-23.74527778,5.08,,,,
213.1916667,-27.26111111,5.08,,,,
177.1879167,-26.74972222,5.11,,,,
209.6295833,-24.97222222,5.15,,,,
175.4333333,-32.49972222,5.22,,,,
139.17375,-6.353055556,5.24,,,,
163.3729167,-20.13888889,5.24,,,,
221.9366667,-26.0875,5.24,,,,
131.8125,-1.897222222,5.29,,,,
178.6770833,-25.71388889,5.3,,,,
132.3404167,-3.443055556,5.31,,,,
152.5245833,-12.81611111,5.31,,,,
122.8875,-7.7725,5.36,,,,
141.945,-6.071111111,5.38,,,,
161.7166667,-17.29666667,5.42,,,,
167.1829167,-28.08055556,5.44,,,,
189.4258333,-27.13888889,5.45,,,,
137.3979167,-8.787777778,5.46,,,,
139.1720833,-8.744722222,5.47,,,,
191.0020833,-28.32388889,5.48,,,,
210.595,-27.43,5.48,,,,
132.89375,-7.177222222,5.54,,,,
186.7154167,-32.83,5.55,,,,
143.63625,-5.915,5.56,,,,
157.3708333,-29.66361111,5.58,,,,
157.7491667,-13.58833333,5.58,,,,
