RA,Dec,mag,x,y,x0,y0
6.437916667,-77.25416667,2.8,,,,
29.6925,-61.56972222,2.86,,,,
56.80958333,-74.23888889,3.24,,,,
35.43708333,-68.65944444,4.09,,,,
39.8975,-68.26694444,4.11,,,,
28.73375,-67.64722222,4.69,,,,
42.61875,-75.06694444,4.75,,,,
41.38583333,-67.61666667,4.84,,,,
35.71791667,-73.64583333,5.01,,,,
12.1475,-74.92333333,5.07,,,,
37.91875,-79.10944444,5.28,,,,
48.99,-77.38833333,5.52,,,,
45.56416667,-71.9025,5.53,,,,
33.56125,-67.84166667,5.55,,,,
46.88333333,-78.98944444,5.57,,,,
33.86875,-67.74638889,5.69,,,,
25.45,-60.78944444,5.71,,,,
21.27208333,-64.36944444,5.93,,,,
51.40083333,-69.33638889,5.96,,,,
5.369166667,-77.42694444,5.97,,,,
23.81333333,-58.13944444,6.01,,,,
26.94375,-80.17666667,6.06,,,,
28.94333333,-60.86138889,6.06,,,,
29.92125,-66.06638889,6.1,,,,
23.41333333,-78.50472222,6.11,,,,
46.955,-69.26555556,6.15,,,,
51.01041667,-69.62472222,6.15,,,,
28.96041667,-78.34833333,6.16,,,,
24.18666667,-58.27083333,6.18,,,,
25.33875,-79.14833333,6.33,,,,
29.47333333,-65.42472222,6.37,,,,
3.98,-75.91138889,6.49,,,,
4.204166667,-78.78055556,6.77,,,,
