RA,Dec,mag,x,y,x0,y0
309.3916667,-47.29138889,3.11,,,,
313.7025,-58.45416667,3.65,,,,
319.9666667,-53.44972222,4.39,,,,
329.4795833,-54.9925,4.4,,,,
311.0095833,-51.92111111,4.51,,,,
330.84,-56.78611111,4.69,,,,
312.3708333,-46.22694444,4.89,,,,
312.8754167,-51.60833333,5.05,,,,
316.3091667,-54.72722222,5.16,,,,
336.1533333,-72.25555556,5.29,,,,
346.2175,-68.82027778,5.52,,,,
327.69625,-69.62944444,5.53,,,,
337.1570833,-67.48916667,5.55,,,,
327.5004167,-64.7125,5.62,,,,
331.4620833,-59.63611111,5.62,,,,
318.94125,-53.26305556,5.75,,,,
315.0895833,-51.26527778,5.76,,,,
336.29375,-70.43166667,5.78,,,,
328.7979167,-61.88638889,5.9,,,,
320.0395833,-45.02222222,6,,,,
326.37,-71.00888889,6.01,,,,
330.1004167,-55.88277778,6.01,,,,
343.6641667,-70.07361111,6.05,,,,
321.5641667,-54.66055556,6.12,,,,
329.6254167,-59.01222222,6.12,,,,
349.5833333,-67.47111111,6.13,,,,
347.14875,-73.58638889,6.15,,,,
329.0583333,-57.89944444,6.19,,,,
324.5120833,-64.82416667,6.2,,,,
324.99875,-52.35916667,6.21,,,,
313.6458333,-50.72777778,6.24,,,,
321.0866667,-46.615,6.31,,,,
325.14,-55.7375,6.33,,,,
342.3225,-70.34777778,6.34,,,,
320.3183333,-49.93777778,6.38,,,,
322.25125,-53.70583333,6.39,,,,
323.32375,-52.7375,6.41,,,,
326.3291667,-49.49861111,6.45,,,,
347.54875,-66.8575,6.47,,,,
