name,RA,Dec,Error,l,b,x,y
GRB 180720598,0.52856,-2.91892,0.00093,,,,
GRB 180718763,44.68,-31.5,0.65,,,,
GRB 180703949,96.92,-29.88,0.4,,,,
GRB 180305393,49.67,32.1,0.12,,,,
GRB 180210517,1.8,18.35,0.18,,,,
GRB 171212434,39.44,-70.62,0.39,,,,
GRB 171210493,335.29,24.44,0.15,,,,
GRB 171124235,335.47598,35.33213,0.00063,,,,
GRB 171120556,163.84,22.4,0.17,,,,
GRB 171102107,187.684,54.11,,,,,
GRB 171022885,204.27,10.97,0.17,,,,
GRB 171010792,66.74,-10.53,0.2,,,,
GRB 170906030,203.95497,-47.10054,1.70E-04,,,,
GRB 170810918,187.93852,3.66084,4.70E-04,,,,
GRB 170808936,145.66,2.18,0.34,,,,
GRB 170522657,139.34,25.67,0.19,,,,
GRB 170510217,159.911,-39.328,0.34,,,,
GRB 170409112,347.53,-7.16,0.15,,,,
GRB 170405777,219.828,-25.243,5,,,,
GRB 170329387,356,23.79,0.6,,,,
GRB 170306588,154.62,51.59,0.61,,,,
GRB 170228794,239.55,-3.59,0.3,,,,
GRB 170214649,256.34125,-1.8876944,1.94E-04,,,,
GRB 170115743,189.12,-46.85,0.26,,,,
GRB 161202970,356.90269,19.64648,4.40E-04,,,,
GRB 161109263,157.86,61.8,0.26,,,,
GRB 160910722,221.44183,39.066722,1.39E-04,,,,
GRB 160905471,162.24585,-50.80095,3.89E-04,,,,
GRB 160829334,201.7,-56.77,0.12,,,,
GRB 160821859,171.25667,42.334722,8.33E-04,,,,
GRB 160816730,322.41075,37.132972,2.78E-04,,,,
GRB 160709826,235.996,-28.188,0.04,,,,
GRB 160625945,308.59792,6.9189167,1.39E-04,,,,
GRB 160623209,315.2967,42.2205,9.72E-04,,,,
GRB 160521385,147.6665,79.0305,1.17E-03,,,,
GRB 160509374,311.75371,76.108033,6.94E-05,,,,
GRB 160503567,0.54,-1.93,0.52,,,,
GRB 160422499,42.09493,-57.87512,1.25E-04,,,,
GRB 160325291,15.65118,-72.69634,1.69E-04,,,,
GRB 160314929,167.56,45.67,0.65,,,,
GRB 160310016,98.822208,-7.2155556,1.39E-04,,,,
GRB 160101215,1.4,55.2,1.4,,,,
GRB 151006413,147.42592,70.503,4.70E-04,,,,
GRB 150902733,214.9796,-69.3536,1.19E-03,,,,
GRB 150724782,351.8905,3.8181,6.83E-02,,,,
GRB 150702998,52.78,-57,0.36,,,,
GRB 150627183,117.47108,-51.489417,2.77E-04,,,,
GRB 150523396,115.28613,-45.42011,2.16E-04,,,,
GRB 150514774,74.87623,-60.96841,1.19E-04,,,,
GRB 150513855,49.058,-22.913,5,,,,
GRB 150510139,16.16,4.79,0.36,,,,
GRB 150416773,58.8,53,1.9,,,,
GRB 150403913,311.50479,-62.71139,1.16E-04,,,,
GRB 150314205,126.67042,63.83429,4.72E-04,,,,
GRB 150210935,112.18,13.31,0.3,,,,
GRB 150202999,86.731,59.127,0.47,,,,
GRB 150127398,285.7,-8.4,2.8,,,,
GRB 150118409,240.24,-35.75,0.5,,,,
GRB 141222298,178.04,-57.35,0.1,,,,
GRB 141207800,159.8547,3.71139,1.36E-03,,,,
GRB 141102536,208.614,-47.1,0.067,,,,
GRB 141028455,322.60226,-0.231314,1.39E-04,,,,
GRB 140928437,43.698833,-55.928889,1.39E-04,,,,
GRB 140810782,119.04,27.55,0.12,,,,
GRB 140729026,195.95,15.35,0.34,,,,
GRB 140723067,210.63,-3.73,0.35,,,,
GRB 140619475,132.68,-9.66,0.06,,,,
GRB 140523129,133.3,24.95,0.4,,,,
GRB 140402007,207.651,6.006,0.0667,,,,
GRB 140329295,145.698,-32.229,0.2,,,,
GRB 140323433,356.95962,-79.90455,4.44E-04,,,,
GRB 140219824,156.44,7.46,5,,,,
GRB 140206275,315.26,-8.51,0.23,,,,
GRB 140110263,28.9,-36.26,0.5,,,,
GRB 140104731,218.75417,-9.0279722,1.11E-03,,,,
GRB 140102887,211.91939,1.33329,1.40E-04,,,,
GRB 131231198,10.590271,-1.6529472,8.30E-05,,,,
GRB 131216081,91.59,-35.5,2.7,,,,
GRB 131209547,136.5,-33.2,0.9,,,,
GRB 131108862,156.502,9.6622361,1.39E-04,,,,
GRB 131029973,200.785,48.298,0.26,,,,
GRB 131018673,304.41,23.11,0.13,,,,
GRB 131014215,100.3033,-19.0971,1.67E-03,,,,
GRB 130907904,215.89183,45.60753,1.39E-04,,,,
GRB 130828306,259.7885,28.220569,2.22E-03,,,,
GRB 130821674,313.92706,-11.96634,6.39E-04,,,,
GRB 130702004,217.31158,15.774,0,,,,
GRB 130606497,218.52931,-22.10229,5.00E-04,,,,
GRB 130518580,355.66781,47.46493,1.39E-04,,,,
GRB 130504979,91.630375,3.8338889,1.00E-03,,,,
GRB 130502327,66.76175,71.0607,--,,,,
GRB 130427324,173.136,27.7129,0.0013,,,,
GRB 130327350,217.87487,-69.403444,1.14E-03,,,,
GRB 130325203,122.78,-18.9,0.25,,,,
GRB 130310840,142.34,-17.23,0.45,,,,
GRB 130305486,116.74762,52.033333,1.06E-03,,,,
GRB 130228111,255.46,55.02,0.5,,,,
GRB 130206817,140.37671,-58.193611,1.56E-03,,,,
GRB 121225417,310.45,-34.83,1.5,,,,
GRB 121011469,260.21342,41.110389,1.11E-04,,,,
GRB 120916173,205.81,36.66,0.3,,,,
GRB 120911268,172.03,-37.51,0.3,,,,
GRB 120830297,88.5027,-28.70178,1.52E-04,,,,
GRB 120729456,13.07431,49.93974,1.39E-04,,,,
GRB 120711115,94.678496,-70.999106,0,,,,
GRB 120709883,318.17277,-49.97297,9.72E-04,,,,
GRB 120624933,170.88462,8.9285556,8.33E-05,,,,
GRB 120328268,228.14,22.8,1,,,,
GRB 120316008,57.016,-56.288,0.584,,,,
GRB 120226871,302.93,48.665,6.01,,,,
GRB 120107384,246.4,-69.93,0.5,,,,
GRB 110731465,280.50413,-28.537167,1.39E-04,,,,
GRB 110721200,333.65913,-38.59325,8.33E-05,,,,
GRB 110709642,238.89144,40.92427,4.17E-04,,,,
GRB 110625881,286.7327,6.7553,5.83E-04,,,,
GRB 110529034,118.33,67.91,3.35,,,,
GRB 110428388,5.5925833,64.849194,1.97E-03,,,,
GRB 110328520,121.06,45.84,3.23,,,,
GRB 110120666,61.5,-12,0.36,,,,
GRB 101123952,135.16,1.91,3.6,,,,
GRB 101014175,27.206,-50.819,1,,,,
GRB 100826957,279.593,-22.128,1.2,,,,
GRB 100728095,88.758375,-15.255667,1.39E-04,,,,
