name,RA,Dec,l,b,x,y
GRB 090703329,0.77,9.679997222,,,,
GRB 090428552,0.8,11.5,,,,
GRB 090412061,1.3,-51.89999722,,,,
GRB 100212588,1.82,45.96,,,,
GRB 090625560,2.26175,-65.78027778,,,,
GRB 100507577,2.899958333,-79.01,,,,
GRB 090227310,3.299958333,-43,,,,
GRB 100107074,6.309958333,-21.23999722,,,,
GRB 100522157,6.986666667,9.402277778,,,,
GRB 100424876,7.79,43.35,,,,
GRB 090629543,8.48,17.67,,,,
GRB 100118100,9.259958333,-37.36999722,,,,
GRB 100517243,10.43995833,4.429997222,,,,
GRB 090621185,11.01975,61.94118889,,,,
GRB 100117879,11.25995833,-1.594,,,,
GRB 090227772,11.8,32.2,,,,
GRB 090621447,12.26995833,-22.57999722,,,,
GRB 090514006,12.3,-10.9,,,,
GRB 091207333,12.66995833,-50.18999722,,,,
GRB 081213173,12.9,-33.89999722,,,,
GRB 081130629,13.19995833,-5.5,,,,
GRB 091202219,13.85995833,9.08,,,,
GRB 090516853,15.69995833,-13.69999722,,,,
GRB 081221681,15.8,-24.5,,,,
GRB 100625773,15.794875,-39.08827778,,,,
GRB 081028538,15.99995833,-27.19999722,,,,
GRB 090922539,17.15995833,74.29996944,,,,
GRB 090426066,17.6,-19.19999722,,,,
GRB 090625234,20.29,-6.429997222,,,,
GRB 100130729,21.19,-24.75,,,,
GRB 090815438,21.42,53.43999722,,,,
GRB 090308734,21.89995833,-54.29999722,,,,
GRB 081222204,22.69995833,-34.1,,,,
GRB 100322045,23.32995833,-10.22,,,,
GRB 081226509,25.5,-47.39999722,,,,
GRB 080912360,25.79995833,-7.2,,,,
GRB 090219074,26.5,59.2,,,,
GRB 100221368,27.12,-17.41,,,,
GRB 081024245,27.89995833,61.29996944,,,,
GRB 091201089,27.84,11.93999722,,,,
GRB 091208410,29.39195833,16.88988889,,,,
GRB 091101143,29.8,-33.67999722,,,,
GRB 081012549,30.19995833,-17.6,,,,
GRB 100608382,30.54,20.44999722,,,,
GRB 090113778,32.1,33.39999722,,,,
GRB 090909487,32.29995833,53.92,,,,
GRB 080727964,32.6,64.09996944,,,,
GRB 090327404,33.09995833,-41.5,,,,
GRB 080808565,33.6,5.4,,,,
GRB 081130212,34.2,45.39999722,,,,
GRB 091127976,36.58283333,-18.95238889,,,,
GRB 090411991,38.5,5.099997222,,,,
GRB 090120627,38.1,-72.2,,,,
GRB 090922605,38.35995833,-73.07996944,,,,
GRB 100324172,39.67195833,-19.28699722,,,,
GRB 100517132,40.63,-44.31996944,,,,
GRB 090815300,41.03,-2.729997222,,,,
GRB 091030828,41.66995833,21.53999722,,,,
GRB 090623913,41.7,1.8,,,,
GRB 080714086,41.9,8.5,,,,
GRB 091002685,41.91995833,-14.00999722,,,,
GRB 081125496,42.69995833,-18.89999722,,,,
GRB 091005679,43.13995833,12.11999722,,,,
GRB 100701490,43.109,-2.224,,,,
GRB 081209981,45.3,63.5,,,,
GRB 080913735,45.1,-3,,,,
GRB 090824918,46.64995833,59.81,,,,
GRB 090926914,46.31795833,-39.011,,,,
GRB 100206563,47.16166667,13.15788889,,,,
GRB 091106762,49.13,60.32,,,,
GRB 090819607,49.07995833,-67.11996944,,,,
GRB 090823133,49.53,-17.57999722,,,,
GRB 091230712,51.65,77.17,,,,
GRB 090802235,51.03,37.88,,,,
GRB 081107321,50.99995833,17.1,,,,
GRB 100204024,50.78,-47.89,,,,
GRB 090929190,51.7,-7.339997222,,,,
GRB 100517639,52.72995833,-71.87,,,,
GRB 090909854,54.18,-25.03,,,,
GRB 081206987,54.29995833,-8.599997222,,,,
GRB 081118876,54.6,-43.29999722,,,,
GRB 091221870,55.79825,23.24027778,,,,
GRB 080818579,60.39995833,-6.9,,,,
GRB 080927480,61.3,27.39999722,,,,
GRB 100612545,63.52995833,13.74,,,,
GRB 081129161,63.2,-54.89999722,,,,
GRB 090817036,63.965875,44.12338889,,,,
GRB 081204004,63.29995833,-62.6,,,,
GRB 081009690,64.59995833,14.19999722,,,,
GRB 090403314,67.09995833,47.2,,,,
GRB 081012045,69.69995833,4.5,,,,
GRB 090712160,70.097,22.52499722,,,,
GRB 090610883,70.37,30.3,,,,
GRB 090924625,69.73,-65.01996944,,,,
GRB 100101988,70.65995833,18.69,,,,
GRB 091031500,70.57995833,-59.07999722,,,,
GRB 080924766,72.8,32.5,,,,
GRB 090530760,73.19995833,13.8,,,,
GRB 091102607,72.61604167,-72.51968889,,,,
GRB 100304004,76.2,60.46,,,,
GRB 100410740,78.13,61.32999722,,,,
GRB 100406758,77.78995833,26.85999722,,,,
GRB 090101758,77.79995833,-31.6,,,,
GRB 100130777,78.56995833,20.82999722,,,,
GRB 090617208,78.88995833,15.65,,,,
GRB 100122616,79.2,-2.709997222,,,,
GRB 080817720,80.2,-17.1,,,,
GRB 100620119,80.09995833,-51.67999722,,,,
GRB 090612619,81.03,17.71,,,,
GRB 090907808,81.05995833,20.5,,,,
GRB 100506653,82.52995833,59.17,,,,
GRB 090426690,82.7,-9.699997222,,,,
GRB 091126333,83.24995833,-19.26999722,,,,
GRB 090610648,84.19995833,35.42,,,,
GRB 100619015,84.615,-27.00057778,,,,
GRB 090907017,86.33,-38.85,,,,
GRB 090820027,87.69995833,27.05999722,,,,
GRB 090419997,88.59995833,31.3,,,,
GRB 100427356,89.17095833,-3.460997222,,,,
GRB 081121858,89.29995833,-60.6,,,,
GRB 100429999,89.08995833,-69.95999722,,,,
GRB 080823363,89.79995833,-42.39996944,,,,
GRB 100609783,90.48,42.78,,,,
GRB 090328401,90.9,-42,,,,
GRB 080809808,91.69995833,61.39999722,,,,
GRB 100204858,91.28995833,-20.94,,,,
GRB 090717034,92.40995833,-62.47999722,,,,
GRB 090709630,93.59295833,64.08496944,,,,
GRB 080806584,94.59995833,57.79999722,,,,
GRB 090809978,95.24995833,0.159997222,,,,
GRB 080928628,95.09995833,-55.19996944,,,,
GRB 081101491,95.79995833,-0.1,,,,
GRB 080925775,96.09995833,18.19999722,,,,
GRB 080808772,96.69995833,-14.4,,,,
GRB 080905570,96.89995833,-69.79999722,,,,
GRB 080818945,98.1,7.4,,,,
GRB 090513941,99.09995833,-72.89996944,,,,
GRB 090608052,100.1899583,-37.40999722,,,,
GRB 100517072,100.93,-28.98999722,,,,
GRB 091230260,101.5299583,0.68,,,,
GRB 080807993,101.7,-16,,,,
GRB 090616157,103.0699583,-3.709997222,,,,
GRB 100621452,103.8299583,37.35,,,,
GRB 091012783,109.3999583,87.26999722,,,,
GRB 090928646,103.91,-43.53,,,,
GRB 100223110,104.5,3.7,,,,
GRB 080723985,105.2999583,71.09999722,,,,
GRB 090519462,105.9,-56.69996944,,,,
GRB 090228204,106.8,-24.3,,,,
GRB 080804456,107.5,20.3,,,,
GRB 080808451,107.3999583,-33.79999722,,,,
GRB 090320045,108.2999583,-43.29999722,,,,
GRB 081017474,108.9999583,-15.19999722,,,,
GRB 100511035,109.29,-4.65,,,,
GRB 100301068,110.14,-15.67999722,,,,
GRB 091122163,110.8599583,0.569997222,,,,
GRB 090112332,110.9,-30.39999722,,,,
GRB 090520850,111.1999583,-19.69999722,,,,
GRB 081110601,111.7,21.39999722,,,,
GRB 081207680,112.4,70.5,,,,
GRB 081223419,112.5,33.2,,,,
GRB 080723913,113.2999583,-19.69999722,,,,
GRB 090701225,114.6899583,-42.07,,,,
GRB 090810781,116.43,-17.48,,,,
GRB 081217983,116.7999583,26.8,,,,
GRB 100228873,117.9899583,18.62999722,,,,
GRB 090425377,118.5999583,68.09999722,,,,
GRB 090222179,118.5999583,45,,,,
GRB 100423244,119.6699583,5.78,,,,
GRB 081206275,120.0999583,32.79999722,,,,
GRB 090518080,119.95,0.75,,,,
GRB 080916009,119.7999583,-56.6,,,,
GRB 100131730,120.4,16.44999722,,,,
GRB 100420008,120.55,-5.82,,,,
GRB 081226044,120.4999583,-69,,,,
GRB 080920268,121.5999583,8.9,,,,
GRB 080725435,121.6999583,-14,,,,
GRB 090117632,121.5999583,-38.79999722,,,,
GRB 080824909,122.4,-2.799997222,,,,
GRB 090516137,122.1999583,-71.61996944,,,,
GRB 090828099,124.3799583,-26.14,,,,
GRB 090429753,125.2099583,6.2,,,,
GRB 081215784,125.5999583,54,,,,
GRB 091128285,127.6899583,1.729997222,,,,
GRB 090102122,128.1999583,33.1,,,,
GRB 081216531,129.1999583,7.599997222,,,,
GRB 100307928,129.4199583,32.96999722,,,,
GRB 090109332,129.5999583,51.79999722,,,,
GRB 100410356,130.02,21.48,,,,
GRB 090804940,130.3999583,-11.3,,,,
GRB 100502356,131.0099583,18.37999722,,,,
GRB 100326294,131.2399583,-28.17999722,,,,
GRB 090520876,131.3,-18,,,,
GRB 100211440,132.2499583,29.48999722,,,,
UNCERT09120862,132.4199583,30.42999722,,,,
GRB 100201588,133.0999583,-37.28999722,,,,
GRB 100704149,133.6359583,-24.216,,,,
GRB 100205490,133.9199583,-23.01999722,,,,
GRB 100212550,134.2699583,32.21999722,,,,
GRB 090305052,134.9999583,74.29999722,,,,
GRB 090528173,134.9,-35.79996944,,,,
GRB 090626707,136.44,14.43999722,,,,
GRB 090306245,136.9999583,57,,,,
GRB 091026485,137.08,-23.64999722,,,,
GRB 090516353,138.2599583,-11.84999722,,,,
GRB 090711850,139.6099583,-64.73999722,,,,
GRB 090826068,140.6199583,-0.109997222,,,,
GRB 090519881,142.2799583,0.179997222,,,,
GRB 081006604,142,-67.39996944,,,,
GRB 100709602,142.53,17.37999722,,,,
GRB 090831317,145.0999583,50.96999722,,,,
GRB 081024851,145.8,-10.8,,,,
GRB 090630311,146.5499583,-46.57999722,,,,
GRB 090606471,146.9399583,-70.48999722,,,,
GRB 100503554,147.4799583,3.959997222,,,,
GRB 080717543,147.3,-70,,,,
GRB 100225703,147.91,34.00999722,,,,
GRB 090423330,148.6999583,18.1,,,,
GRB 080817161,148.9,-16.3,,,,
GRB 081204517,150.8,30.5,,,,
GRB 081122614,151.4,-2.1,,,,
GRB 080719529,153.1999583,-61.29999722,,,,
GRB 080802386,154.2999583,40.7,,,,
GRB 100216422,154.3,35.5,,,,
GRB 090708152,154.629,26.637,,,,
GRB 090328713,155.6999583,33.39996944,,,,
GRB 100328141,155.9399583,47.03,,,,
GRB 080816503,156.1999583,42.6,,,,
GRB 090206620,156.1999583,8.8,,,,
GRB 090411838,156,-68.9,,,,
GRB 080830368,160.1,30.8,,,,
GRB 090330279,160.1999583,-8.199997222,,,,
GRB 100621529,160.86,14.72,,,,
GRB 090511684,161.8999583,51.29999722,,,,
GRB 090529564,162.6999583,47.29999722,,,,
GRB 090117640,163.9999583,-58.2,,,,
GRB 091220442,166.77,4.809997222,,,,
GRB 090810659,168.93,-76.39996944,,,,
GRB 090626189,169.2999583,-36.04999722,,,,
GRB 081113230,170.2999583,56.29999722,,,,
GRB 091103912,170.5999583,11.3,,,,
GRB 081006872,172.1999583,-61,,,,
GRB 081229187,172.5999583,56.89999722,,,,
GRB 090307167,172.6999583,-23.89999722,,,,
GRB 100313288,172.71,-52.57999722,,,,
GRB 090908341,174.1399583,-25.12999722,,,,
GRB 090309767,174.3,-49.5,,,,
GRB 080805584,174.4999583,-23.1,,,,
GRB 091020900,175.7299583,50.97999722,,,,
GRB 080812889,176.6999583,-33.2,,,,
GRB 080723557,176.8,-60.2,,,,
GRB 100615083,177.204,-19.48199722,,,,
GRB 091107635,182.3499583,38.93999722,,,,
GRB 080906212,182.8,-6.4,,,,
GRB 090320801,183.3999583,49.79999722,,,,
GRB 090310189,184.8999583,-34.2,,,,
GRB 100313509,186.3699583,11.72,,,,
GRB 080714425,187.4999583,-73.99996944,,,,
GRB 091020977,187.7999583,-13.4,,,,
GRB 080714745,188.0999583,-60.2,,,,
GRB 090912660,188.0399583,61.47999722,,,,
GRB 100323542,188.8699583,-18.66,,,,
GRB 090126227,189.1999583,34.1,,,,
GRB 090424592,189.4999583,16.8,,,,
GRB 081021398,190.3,-25.6,,,,
GRB 081115891,190.5999583,63.29996944,,,,
GRB 090323002,190.6999583,17.1,,,,
GRB 100519204,191.4899583,57.40999722,,,,
GRB 100414097,192.1119583,8.691688889,,,,
GRB 090112729,192.3,25.39999722,,,,
GRB 081226156,192.9999583,26.8,,,,
GRB 090304216,195.9,-73.39996944,,,,
GRB 091231206,199.36,-60.7,,,,
GRB 090720276,199.46,-16.39999722,,,,
GRB 100228544,199.83,15.61999722,,,,
GRB 100301223,201.8499583,19.82999722,,,,
GRB 100330309,202.08,-0.9,,,,
GRB 081224887,201.6999583,75.09999722,,,,
GRB 090720710,202.9999583,-54.79999722,,,,
GRB 091223191,203.2299583,76.34996944,,,,
GRB 090217206,204.9,-8.4,,,,
GRB 090706283,205.0699583,-47.07,,,,
GRB 081120618,205.3999583,-9.099997222,,,,
GRB 081022364,205.4,16.6,,,,
GRB 100218194,206.6399583,-11.93999722,,,,
GRB 081101532,207.5,-28,,,,
GRB 081230871,207.5999583,-17.3,,,,
GRB 090704242,208.205,22.78999722,,,,
GRB 100325246,209.1399583,-79.09996944,,,,
GRB 081231140,208.5999583,-35.79999722,,,,
GRB 091112928,208.4099583,37.17,,,,
GRB 100315361,208.8999583,30.14,,,,
GRB 090427644,210,-45.7,,,,
GRB 090428441,210.0999583,39.5,,,,
GRB 090331681,210.4999583,3.1,,,,
GRB 100411516,210.61,47.90999722,,,,
GRB 091017861,210.7999583,25.48999722,,,,
GRB 100318611,210.96,21.19,,,,
GRB 080831053,211.1999583,-51.69996944,,,,
GRB 090518244,211.2,-16.69999722,,,,
GRB 081101167,213.2999583,-18.5,,,,
GRB 091017985,214.3999583,-64.73999722,,,,
GRB 080904886,214.1999583,-30.3,,,,
GRB 080715950,214.6999583,9.9,,,,
GRB 091023021,215.4199583,25.94999722,,,,
GRB 081105614,215.8,38.7,,,,
GRB 100306199,216.04,-29.37,,,,
GRB 080919790,219.4999583,44.39996944,,,,
GRB 080828189,221.3,-12.3,,,,
GRB 090405663,221.8999583,-9.199997222,,,,
GRB 080829790,221.8999583,3.2,,,,
GRB 100614498,224.7599583,40.86999722,,,,
GRB 090126245,224.9,41.2,,,,
GRB 081102365,225.3,22,,,,
GRB 091120191,226.8099583,-21.78999722,,,,
GRB 100527795,226.83,19.78,,,,
GRB 090117335,227.2999583,-41.5,,,,
GRB 091019750,226.03,80.32996944,,,,
GRB 081215880,228.5999583,-50.69996944,,,,
GRB 090917661,230.3399583,-11.68999722,,,,
GRB 100629801,231.2099583,27.80999722,,,,
GRB 090529310,231.1999583,32.19996944,,,,
GRB 091223511,231.27,54.72999722,,,,
UNCERT09101398,231.8799583,0.3,,,,
GRB 081225257,234.0999583,-64.59996944,,,,
GRB 080825593,233.9999583,-4.7,,,,
GRB 090813174,225.802,88.56868889,,,,
GRB 090320418,237.9999583,-46.5,,,,
GRB 090620400,237.3499583,61.14999722,,,,
GRB 090915650,238.02,15.48777778,,,,
GRB 080821332,238.5999583,32.6,,,,
GRB 100112418,240.1399583,-75.09999722,,,,
GRB 090726218,240.4499583,36.75,,,,
GRB 080815917,240.8999583,-47.79999722,,,,
GRB 090620901,241.3799583,-43.02,,,,
GRB 090509215,241.4,-28.39999722,,,,
GRB 091231540,241.2599583,3.29,,,,
GRB 080806896,241.7999583,46.7,,,,
GRB 091006360,243.11,-31.03999722,,,,
GRB 100517154,243.59,-10.36999722,,,,
GRB 090718720,243.76,-6.679997222,,,,
GRB 100210101,244.3799583,16.07999722,,,,
GRB 080730520,245.3999583,4.599997222,,,,
GRB 091117080,246.5399583,-73.93996944,,,,
GRB 081025349,245.3999583,60.5,,,,
GRB 100424729,246.72,-48.85,,,,
GRB 080730786,246.6,28.69999722,,,,
GRB 090717111,246.9499583,22.96999722,,,,
GRB 100111176,247.0479583,15.55088889,,,,
GRB 100604287,248.2999583,-73.18996944,,,,
GRB 091109895,247.7199583,42.31,,,,
GRB 090602564,248.94,-65.01999722,,,,
