RA,Dec,mag,x,y,x0,y0
152.0929167,11.96722222,1.35,,,,
177.265,14.57194444,2.14,,,,
168.5270833,20.52361111,2.56,,,,
154.9929167,19.84166667,2.61,,,,
146.4629167,23.77416667,2.98,,,,
168.56,15.42944444,3.34,,,,
154.1725,23.41722222,3.44,,,,
145.2875,9.892222222,3.52,,,,
151.8333333,16.76277778,3.52,,,,
154.9941667,19.84055556,3.8,,,,
158.2029167,9.306666667,3.85,,,,
148.1908333,26.00694444,3.88,,,,
170.98125,10.52916667,3.94,,,,
170.2841667,6.029444444,4.05,,,,
174.2370833,-0.823888889,4.3,,,,
142.93,22.96805556,4.31,,,,
151.97625,9.9975,4.37,,,,
165.5825,20.17972222,4.42,,,,
141.16375,26.18222222,4.46,,,,
169.1654167,-3.651666667,4.47,,,,
163.9033333,24.74972222,4.5,,,,
176.99625,20.21888889,4.53,,,,
166.2541667,7.336111111,4.63,,,,
168.8008333,23.09555556,4.63,,,,
150.0533333,8.044166667,4.7,,,,
165.4570833,-2.484722222,4.74,,,,
172.57875,-3.003611111,4.77,,,,
154.93375,19.47083333,4.79,,,,
165.14,3.6175,4.84,,,,
171.9841667,2.856111111,4.95,,,,
142.98625,11.29972222,4.97,,,,
165.1866667,6.101388889,4.99,,,,
144.3029167,6.835833333,5,,,,
142.99,9.715833333,5.07,,,,
158.7,6.953611111,5.08,,,,
169.3225,2.010555556,5.18,,,,
149.5558333,12.44472222,5.26,,,,
175.19625,21.35277778,5.26,,,,
147.9708333,24.39527778,5.32,,,,
168.96625,13.3075,5.32,,,,
162.3141667,10.54527778,5.34,,,,
145.9329167,14.02166667,5.35,,,,
171.0095833,1.407777778,5.39,,,,
142.1145833,9.056666667,5.41,,,,
154.1695833,13.72833333,5.41,,,,
168.44,-0.069722222,5.42,,,,
163.4320833,-2.129166667,5.45,,,,
158.0491667,14.13722222,5.46,,,,
161.6054167,14.19472222,5.48,,,,
161.6020833,18.89138889,5.49,,,,
166.7258333,1.955555556,5.52,,,,
172.6208333,18.40972222,5.52,,,,
178.91875,15.64666667,5.53,,,,
144.17875,31.16166667,5.56,,,,
171.4016667,16.45638889,5.57,,,,
156.3133333,8.784722222,5.61,,,,
146.5970833,11.81,5.63,,,,
145.88875,29.97444444,5.64,,,,
150.70375,21.94916667,5.66,,,,
158.7591667,8.650277778,5.67,,,,
167.2045833,24.65833333,5.68,,,,
144.2608333,16.43777778,5.69,,,,
142.1216667,8.188333333,5.71,,,,
149.9008333,29.64527778,5.73,,,,
172.4245833,15.41333333,5.74,,,,
173.5916667,3.06,5.77,,,,
146.5416667,6.708611111,5.79,,,,
168.5075,8.060555556,5.79,,,,
171.2454167,11.43027778,5.8,,,,
174.0745833,27.78111111,5.8,,,,
164.00625,6.185277778,5.81,,,,
154.3108333,23.10611111,5.82,,,,
154.1745833,25.37138889,5.84,,,,
149.1083333,8.933055556,5.85,,,,
177.16125,14.28416667,5.88,,,,
145.3966667,31.27805556,5.89,,,,
163.9266667,0.736944444,5.91,,,,
169.7291667,1.650555556,5.91,,,,
165.9025,-0.000833333,5.95,,,,
173.6770833,16.79694444,5.95,,,,
154.1345833,23.50305556,5.97,,,,
146.8895833,11.42888889,6.02,,,,
153.62375,21.16777778,6.02,,,,
176.055,25.21833333,6.02,,,,
149.5316667,8.314166667,6.04,,,,
153.4575,27.13583333,6.04,,,,
156.9125,9.7625,6.04,,,,
177.3120833,16.24277778,6.04,,,,
170.825,0.131666667,6.05,,,,
155.7516667,6.5425,6.07,,,,
147.45875,21.17944444,6.09,,,,
155.4595833,14.97555556,6.12,,,,
163.35375,-2.255277778,6.12,,,,
164.0704167,22.35166667,6.14,,,,
165.8108333,-0.7525,6.14,,,,
156.7520833,19.36444444,6.15,,,,
172.9370833,14.36444444,6.2,,,,
145.4104167,25.91277778,6.24,,,,
143.49625,23.45388889,6.25,,,,
171.97375,-1.7,6.25,,,,
161.0604167,19.75861111,6.27,,,,
141.3854167,16.58555556,6.29,,,,
149.60875,27.75888889,6.3,,,,
163.9054167,24.74888889,6.3,,,,
167.9320833,14.40027778,6.3,,,,
163.1504167,-0.201388889,6.31,,,,
177.7304167,12.27888889,6.35,,,,
143.9704167,14.37972222,6.36,,,,
151.4204167,15.7575,6.37,,,,
161.52375,6.373055556,6.37,,,,
171.4583333,3.86,6.37,,,,
163.0570833,1.025277778,6.38,,,,
154.7529167,24.71166667,6.4,,,,
140.8825,25.18305556,6.41,,,,
152.9091667,13.355,6.44,,,,
146.8579167,11.56833333,6.45,,,,
173.7658333,20.44138889,6.45,,,,
147.7583333,13.06611111,6.46,,,,
166.9154167,23.32361111,6.46,,,,
146.125,18.86361111,6.5,,,,
171.68875,3.013055556,6.5,,,,
154.5429167,27.41527778,6.52,,,,
143.32625,28.36805556,6.53,,,,
154.0670833,17.74027778,6.55,,,,
164.92125,11.70583333,6.55,,,,
173.5416667,11.02361111,6.55,,,,
173.9308333,10.91111111,6.56,,,,
175.5216667,22.21083333,6.59,,,,
169.5875,11.98472222,6.66,,,,
168.9908333,12.84472222,6.67,,,,
