RA,Dec,mag,x,y,x0,y0
83.1825,-17.82222222,2.58,,,,
82.06125,-20.75944444,2.84,,,,
76.36527083,-22.37103333,3.18,,,,
78.23291667,-16.20555556,3.31,,,,
86.73875,-14.82194444,3.55,,,,
86.11583333,-22.44833333,3.6,,,,
89.10125,-14.16777778,3.71,,,,
87.83041667,-20.87916667,3.81,,,,
79.89375,-13.17666667,4.29,,,,
78.30791667,-12.94138889,4.36,,,,
78.07458333,-11.86916667,4.45,,,,
91.53875,-14.93527778,4.67,,,,
80.11208333,-21.23944444,4.71,,,,
75.35666667,-20.05194444,4.91,,,,
91.24625,-16.48444444,4.93,,,,
75.54083333,-26.275,5.02,,,,
90.81458333,-26.28444444,5.04,,,,
80.4425,-24.77305556,5.06,,,,
78.85125,-26.94333333,5.07,,,,
80.87583333,-13.92722222,5.25,,,,
79.99625,-12.31555556,5.3,,,,
91.92333333,-19.16583333,5.31,,,,
91.63333333,-23.11055556,5.47,,,,
87.40208333,-14.48361111,5.49,,,,
79.4175,-13.51972222,5.5,,,,
92.24125,-22.4275,5.5,,,,
82.78166667,-20.86361111,5.55,,,,
92.39291667,-14.58416667,5.56,,,,
75.97208333,-24.38777778,5.61,,,,
81.11833333,-16.97611111,5.65,,,,
74.75541667,-16.37583333,5.66,,,,
88.68166667,-11.77388889,5.66,,,,
77.845,-11.84916667,5.68,,,,
92.44958333,-22.77416667,5.71,,,,
92.64416667,-27.15416667,5.72,,,,
76.3175,-26.1525,5.73,,,,
85.84,-18.5575,5.73,,,,
75.68708333,-22.795,5.75,,,,
91.74,-21.81277778,5.78,,,,
85.55791667,-22.37361111,5.87,,,,
87.47291667,-22.97166667,5.87,,,,
81.49916667,-19.69555556,5.89,,,,
79.71,-18.13,5.96,,,,
89.05958333,-22.84027778,5.96,,,,
76.85416667,-12.49055556,5.97,,,,
76.65291667,-13.12194444,6.05,,,,
90.30458333,-25.41777778,6.05,,,,
81.90208333,-21.37555556,6.07,,,,
92.80625,-26.48222222,6.09,,,,
84.28666667,-11.77555556,6.11,,,,
85.55958333,-17.53027778,6.15,,,,
86.11041667,-22.42166667,6.15,,,,
86.78166667,-16.23777778,6.17,,,,
87.86916667,-22.92611111,6.17,,,,
90.64083333,-14.49722222,6.2,,,,
78.49958333,-14.60666667,6.21,,,,
85.42291667,-16.72555556,6.21,,,,
90.07375,-12.89972222,6.22,,,,
92.44666667,-26.70083333,6.27,,,,
86.11833333,-20.12638889,6.34,,,,
81.77,-11.90083333,6.35,,,,
92.33458333,-18.12611111,6.35,,,,
79.82291667,-18.52,6.36,,,,
89.14375,-23.21555556,6.36,,,,
84.81791667,-17.84944444,6.38,,,,
75.96666667,-14.36944444,6.41,,,,
77.68541667,-25.90944444,6.41,,,,
80.8,-26.70583333,6.49,,,,
79.82625,-18.50972222,6.54,,,,
79.20041667,-17.14166667,6.56,,,,
80.4625,-13.75611111,6.56,,,,
91.71625,-11.17361111,6.66,,,,
88.48916667,-19.63833333,6.69,,,,
73.87583333,-25.72777778,6.72,,,,
91.44041667,-24.19555556,6.95,,,,
74.90208333,-14.80583333,7.71,,,,
