RA,Dec,mag,x,y,x0,y0
229.2516667,-9.383055556,2.61,,,,
222.7195833,-16.04166667,2.75,,,,
226.0175,-25.28194444,3.29,,,,
234.25625,-28.135,3.58,,,,
234.6641667,-29.77777778,3.66,,,,
233.8816667,-14.78944444,3.91,,,,
238.45625,-16.72944444,4.15,,,,
224.2958333,-4.346388889,4.49,,,,
228.0554167,-19.79166667,4.54,,,,
233.5445833,-10.06444444,4.62,,,,
235.4866667,-19.67888889,4.74,,,,
239.5475,-14.27944444,4.88,,,,
225.2433333,-8.518888889,4.92,,,,
222.7541667,-2.299166667,4.94,,,,
231.0495833,-10.32222222,4.94,,,,
235.0704167,-23.81805556,4.96,,,,
238.33375,-20.16722222,5.03,,,,
222.6716667,-15.99722222,5.15,,,,
233.6554167,-28.04694444,5.15,,,,
233.6108333,-9.183333333,5.17,,,,
226.6566667,-16.25694444,5.2,,,,
223.58375,-24.64222222,5.3,,,,
222.3295833,-14.14888889,5.31,,,,
216.2025,-24.80638889,5.32,,,,
234.7270833,-19.30194444,5.38,,,,
236.0183333,-15.67277778,5.41,,,,
224.1920833,-11.40972222,5.46,,,,
240.0816667,-16.53333333,5.47,,,,
229.0958333,-22.39944444,5.5,,,,
233.23,-16.85277778,5.5,,,,
225.3325,-2.755,5.52,,,,
233.1529167,-19.67055556,5.52,,,,
237.2366667,-3.818611111,5.53,,,,
230.2816667,-5.824722222,5.54,,,,
240.1983333,-8.411388889,5.55,,,,
232.0641667,-16.71638889,5.64,,,,
222.3279167,-24.25166667,5.68,,,,
230.9675,-12.36944444,5.72,,,,
220.8066667,-24.9975,5.73,,,,
224.3666667,-21.41555556,5.74,,,,
227.5775,-26.33277778,5.76,,,,
234.4504167,-23.14166667,5.78,,,,
223.5954167,-11.89833333,5.8,,,,
221.5283333,-23.15305556,5.81,,,,
232.6683333,-16.60944444,5.82,,,,
228.4720833,-26.19361111,5.84,,,,
234.5679167,-21.01611111,5.84,,,,
224.7233333,-11.14416667,5.87,,,,
238.75125,-19.38305556,5.94,,,,
221.8070833,-21.32472222,6.06,,,,
228.33,-19.6475,6.08,,,,
224.72,-4.989166667,6.09,,,,
239.1391667,-14.82916667,6.13,,,,
222.2254167,-0.847777778,6.14,,,,
226.6129167,-22.03194444,6.17,,,,
228.6404167,-17.76861111,6.17,,,,
230.22375,-18.15861111,6.17,,,,
234.36875,-26.28,6.19,,,,
237.91,-14.13361111,6.19,,,,
219.2491667,-12.30527778,6.2,,,,
215.8566667,-11.71416667,6.21,,,,
232.65125,-20.72833333,6.22,,,,
232.9308333,-20.16472222,6.22,,,,
236.6891667,-6.120277778,6.24,,,,
228.71125,-5.502777778,6.28,,,,
230.2558333,-15.54833333,6.3,,,,
235.85375,-15.04333333,6.31,,,,
234.5654167,-28.20666667,6.32,,,,
221.4908333,-15.45972222,6.33,,,,
234.83875,-23.15027778,6.34,,,,
221.97875,-12.83972222,6.35,,,,
239.06,-14.39944444,6.37,,,,
221.5454167,-21.17611111,6.4,,,,
228.3695833,-25.30916667,6.45,,,,
228.3229167,-24.00833333,6.47,,,,
234.6670833,-8.791111111,6.48,,,,
216.1704167,-11.66972222,6.49,,,,
218.71125,-20.43916667,6.5,,,,
234.6666667,-8.794444444,6.5,,,,
233.5866667,-5.695,6.51,,,,
236.5533333,-28.06166667,6.51,,,,
224.5558333,-11.155,6.6,,,,
216.3741667,-19.96972222,6.61,,,,
225.6870833,-3.031388889,6.61,,,,
226.44875,-25.78972222,6.67,,,,
233.2879167,-24.48944444,7,,,,
