RA,Dec,mag,x,y,x0,y0
220.4825,-47.38833333,2.3,,,,
224.6329167,-43.13388889,2.68,,,,
233.7854167,-41.16694444,2.78,,,,
230.3429167,-40.6475,3.22,,,,
230.6704167,-44.68944444,3.37,,,,
228.07125,-52.09916667,3.41,,,,
240.0304167,-38.39694444,3.41,,,,
214.8508333,-46.05777778,3.55,,,,
230.4516667,-36.26138889,3.56,,,,
227.98375,-48.73777778,3.87,,,,
237.7395833,-33.62722222,3.95,,,,
219.4716667,-49.42583333,4.05,,,,
227.2108333,-45.27972222,4.05,,,,
241.6479167,-36.80222222,4.23,,,,
229.6333333,-47.875,4.27,,,,
222.91,-43.57555556,4.32,,,,
234.5133333,-42.5675,4.33,,,,
229.4579167,-30.14888889,4.34,,,,
216.545,-45.37944444,4.35,,,,
218.15375,-50.45694444,4.42,,,,
230.7891667,-36.85861111,4.54,,,,
233.9716667,-44.95861111,4.54,,,,
216.5341667,-45.22138889,4.56,,,,
231.3341667,-38.73361111,4.6,,,,
235.2970833,-44.66111111,4.64,,,,
234.9416667,-34.41194444,4.67,,,,
226.28,-47.05111111,4.72,,,,
235.6708333,-34.71055556,4.75,,,,
215.1770833,-45.18722222,4.77,,,,
226.28,-47.05111111,4.82,,,,
228.20625,-44.50055556,4.82,,,,
240.8508333,-38.6025,4.89,,,,
228.6554167,-31.51916667,4.91,,,,
239.87625,-41.74444444,4.99,,,,
230.5345833,-47.92777778,5,,,,
239.2229167,-33.96638889,5.12,,,,
226.3295833,-41.06722222,5.15,,,,
229.0166667,-41.49111111,5.16,,,,
221.7554167,-52.38361111,5.21,,,,
232.35125,-46.73277778,5.24,,,,
235.6595833,-37.425,5.24,,,,
217.5870833,-49.51916667,5.37,,,,
231.1870833,-39.71027778,5.37,,,,
224.0720833,-52.80972222,5.38,,,,
219.33375,-46.13388889,5.41,,,,
234.0504167,-44.39694444,5.43,,,,
225.7470833,-32.64333333,5.44,,,,
231.8258333,-36.76777778,5.45,,,,
217.5358333,-45.32166667,5.5,,,,
227.8166667,-55.34611111,5.54,,,,
219.0791667,-46.24527778,5.55,,,,
215.0404167,-43.05888889,5.56,,,,
229.735,-40.78833333,5.59,,,,
236.6841667,-34.6825,5.61,,,,
239.2258333,-33.96416667,5.62,,,,
224.1333333,-47.87916667,5.64,,,,
230.4508333,-48.31777778,5.65,,,,
227.99,-48.74361111,5.69,,,,
241.8183333,-36.75555556,5.73,,,,
221.62125,-47.44111111,5.74,,,,
226.8579167,-49.08833333,5.77,,,,
227.0504167,-40.58388889,5.79,,,,
239.33875,-36.185,5.8,,,,
233.5066667,-40.06611111,5.82,,,,
216.8008333,-46.13444444,5.83,,,,
227.1629167,-42.86777778,5.85,,,,
218.385,-54.99833333,5.87,,,,
218.3745833,-52.68,5.87,,,,
241.1529167,-37.86305556,5.9,,,,
236.0941667,-41.81944444,5.94,,,,
228.9741667,-48.07416667,5.95,,,,
226.63875,-30.91888889,5.96,,,,
227.53125,-38.7925,5.98,,,,
215.9516667,-53.17666667,6,,,,
236.8708333,-37.91638889,6.01,,,,
240.8929167,-32.00055556,6.01,,,,
215.8345833,-50.77222222,6.02,,,,
239.0270833,-39.86416667,6.03,,,,
229.04375,-43.48472222,6.04,,,,
234.67625,-39.12805556,6.04,,,,
219.7958333,-46.58416667,6.07,,,,
221.80125,-52.20555556,6.07,,,,
215.66125,-48.32027778,6.09,,,,
224.8629167,-43.16,6.1,,,,
228.2808333,-36.09138889,6.1,,,,
232.1133333,-51.5975,6.1,,,,
241.0741667,-33.21444444,6.1,,,,
229.6720833,-31.20944444,6.18,,,,
229.8816667,-37.09666667,6.2,,,,
230.3970833,-40.74972222,6.2,,,,
238.8766667,-31.08361111,6.21,,,,
240.22375,-40.43527778,6.21,,,,
235.2429167,-47.73555556,6.23,,,,
234.0475,-33.09277778,6.24,,,,
233.0183333,-38.62305556,6.25,,,,
226.5579167,-36.26416667,6.27,,,,
229.5391667,-41.06083333,6.28,,,,
239.0579167,-31.78583333,6.29,,,,
221.88375,-43.5575,6.3,,,,
239.6279167,-37.50305556,6.31,,,,
228.1304167,-48.21861111,6.33,,,,
240.33125,-31.88944444,6.33,,,,
235.0641667,-31.21361111,6.34,,,,
224.5366667,-48.86305556,6.35,,,,
233.5870833,-39.34944444,6.36,,,,
219.8529167,-49.05555556,6.39,,,,
238.0533333,-29.88666667,6.4,,,,
226.17875,-40.86138889,6.41,,,,
236.8558333,-40.19416667,6.42,,,,
227.8954167,-45.2775,6.44,,,,
232.9595833,-32.88111111,6.46,,,,
230.3754167,-38.21916667,6.48,,,,
239.9916667,-40.65277778,6.49,,,,
234.63625,-39.16083333,6.57,,,,
224.2558333,-51.44694444,6.64,,,,
231.2775,-38.16944444,7.03,,,,
227.8829167,-45.27944444,7.39,,,,
