RA,Dec,mag,x,y,x0,y0
140.26375,34.3925,3.13,,,,
139.71125,36.8025,3.82,,,,
135.16,41.78277778,3.97,,,,
125.70875,43.18805556,4.25,,,,
104.31875,58.4225,4.35,,,,
94.90583333,59.01083333,4.48,,,,
136.6325,38.45222222,4.56,,,,
111.6783333,49.21138889,4.64,,,,
143.7658333,39.62138889,4.81,,,,
122.1141667,51.50666667,4.84,,,,
101.55875,59.44166667,4.87,,,,
104.4045833,45.09416667,4.9,,,,
94.47833333,61.51527778,4.98,,,,
115.7516667,58.71027778,4.99,,,,
109.6329167,49.465,5.05,,,,
132.9866667,43.72666667,5.15,,,,
116.66375,37.5175,5.18,,,,
108.97875,59.6375,5.2,,,,
96.70375,58.41722222,5.21,,,,
144.5904167,40.23972222,5.25,,,,
116.0175,50.43388889,5.27,,,,
138.4508333,43.21777778,5.32,,,,
103.27125,59.44861111,5.33,,,,
101.70625,57.16916667,5.35,,,,
112.4833333,49.6725,5.36,,,,
130.2545833,45.83388889,5.37,,,,
110.7170833,55.28138889,5.45,,,,
118.6779167,47.56472222,5.45,,,,
108.3475,51.42888889,5.47,,,,
125.9520833,53.21972222,5.51,,,,
115.3016667,48.13166667,5.56,,,,
108.95875,47.24,5.58,,,,
145.50125,39.75777778,5.62,,,,
96.6075,56.285,5.64,,,,
124.46,59.57111111,5.64,,,,
114.1316667,46.18027778,5.65,,,,
112.215,48.18388889,5.72,,,,
115.0608333,38.34444444,5.73,,,,
134.2083333,45.63194444,5.74,,,,
139.6083333,35.36416667,5.75,,,,
110.3229167,45.22805556,5.77,,,,
120.33625,59.0475,5.77,,,,
128.6825,36.41944444,5.78,,,,
111.2383333,51.88722222,5.8,,,,
99.41041667,56.8575,5.85,,,,
123.4591667,56.45222222,5.85,,,,
97.69666667,58.16277778,5.88,,,,
125.10875,57.74333333,5.89,,,,
134.1270833,40.20166667,5.89,,,,
128.2291667,38.01638889,5.9,,,,
109.3904167,52.13083333,5.92,,,,
114.1958333,55.75527778,5.92,,,,
114.4745833,48.77361111,5.92,,,,
122.5158333,58.24805556,5.93,,,,
137.2129167,33.88222222,5.93,,,,
95.515,59.37222222,5.94,,,,
99.4225,61.48111111,5.94,,,,
138.8095833,34.63361111,5.97,,,,
133.0483333,45.3125,5.99,,,,
133.0416667,42.0025,5.99,,,,
117.77375,54.12916667,6.02,,,,
126.1783333,42.005,6.02,,,,
104.305,57.56333333,6.05,,,,
115.20625,57.08277778,6.06,,,,
126.2704167,35.01138889,6.06,,,,
106.4158333,52.75805556,6.12,,,,
140.2470833,38.18833333,6.12,,,,
133.4820833,35.53833333,6.14,,,,
127.8329167,37.26583333,6.18,,,,
118.92,35.41277778,6.23,,,,
128.1395833,53.11472222,6.24,,,,
128.3408333,36.43638889,6.24,,,,
118.6220833,47.38611111,6.25,,,,
132.6341667,33.28527778,6.25,,,,
121.79125,43.26027778,6.26,,,,
101.0483333,53.29638889,6.27,,,,
122.34625,42.43055556,6.27,,,,
124.5658333,54.14361111,6.27,,,,
102.05125,55.70444444,6.28,,,,
113.9833333,43.03111111,6.3,,,,
126.9033333,45.65305556,6.32,,,,
102.05375,55.70444444,6.33,,,,
131.0420833,36.91805556,6.33,,,,
119.5691667,43.9775,6.34,,,,
120.4795833,35.41305556,6.34,,,,
135.4191667,39.71333333,6.36,,,,
106.2875,47.775,6.38,,,,
114.3241667,40.02527778,6.38,,,,
118.1525,55.20944444,6.38,,,,
106.5054167,59.80194444,6.44,,,,
135.1283333,37.60444444,6.44,,,,
98.63666667,55.35305556,6.45,,,,
120.6491667,57.27361111,6.49,,,,
125.12125,53.57444444,6.49,,,,
134.6145833,35.8025,6.51,,,,
110.7120833,55.28444444,6.53,,,,
112.9820833,38.89638889,6.54,,,,
122.84,38.73138889,6.58,,,,
119.1116667,56.50444444,6.72,,,,
143.8433333,39.96333333,6.76,,,,
