RA,Dec,mag,x,y,x0,y0
279.2345833,38.78361111,0.03,,,,
284.7358333,32.68944444,3.24,,,,
282.52,33.36277778,3.45,,,,
283.83375,43.94611111,4.04,,,,
283.6258333,36.89888889,4.3,,,,
274.9654167,36.06444444,4.33,,,,
281.1933333,37.605,4.36,,,,
289.0920833,38.13361111,4.36,,,,
288.4395833,39.14611111,4.39,,,,
281.51875,26.66222222,4.83,,,,
285.00375,32.14555556,4.93,,,,
285.36,46.93472222,5.01,,,,
281.085,39.67,5.06,,,,
276.0575,39.50722222,5.12,,,,
281.0954167,39.61305556,5.14,,,,
284.2566667,32.90138889,5.22,,,,
286.8566667,32.50166667,5.23,,,,
282.4704167,32.55083333,5.25,,,,
284.9395833,26.23055556,5.27,,,,
286.8254167,36.10027778,5.28,,,,
281.0954167,39.61277778,5.37,,,,
279.155,33.46888889,5.42,,,,
283.7175,41.60277778,5.44,,,,
278.2079167,30.55416667,5.48,,,,
286.6570833,28.62861111,5.55,,,,
286.24125,31.74444444,5.56,,,,
283.4316667,36.97166667,5.58,,,,
273.9116667,42.15944444,5.59,,,,
283.555,27.90944444,5.62,,,,
285.3225,26.29138889,5.69,,,,
280.965,31.92666667,5.7,,,,
281.2008333,37.59444444,5.73,,,,
290.9854167,43.38805556,5.84,,,,
288.8533333,30.52638889,5.85,,,,
284.5079167,38.26611111,5.89,,,,
282.44125,32.81277778,5.91,,,,
287.9416667,31.28333333,5.98,,,,
280.9004167,36.55666667,6.01,,,,
285.23,33.80222222,6.01,,,,
281.0845833,39.67111111,6.02,,,,
283.71875,33.96861111,6.02,,,,
279.5270833,39.66805556,6.04,,,,
281.9895833,31.75694444,6.06,,,,
286.2429167,30.73333333,6.06,,,,
290.6391667,33.51805556,6.06,,,,
281.5541667,41.44166667,6.07,,,,
282.9020833,36.53861111,6.09,,,,
278.80625,34.45777778,6.1,,,,
274.2783333,40.93666667,6.11,,,,
288.9975,27.92694444,6.16,,,,
282.8995833,28.78361111,6.18,,,,
287.84625,40.42916667,6.18,,,,
279.19,43.22194444,6.2,,,,
284.6941667,40.67916667,6.22,,,,
289.755,37.44527778,6.22,,,,
279.8879167,40.935,6.25,,,,
283.0295833,41.38333333,6.28,,,,
273.8858333,45.20944444,6.29,,,,
286.44625,29.92166667,6.31,,,,
289.9120833,37.33055556,6.31,,,,
290.1379167,35.18611111,6.31,,,,
291.9020833,37.94111111,6.34,,,,
275.9891667,38.73916667,6.36,,,,
280.0083333,30.84944444,6.36,,,,
287.87875,26.73583333,6.36,,,,
291.0254167,36.45194444,6.36,,,,
290.8916667,33.22222222,6.37,,,,
285.45125,33.62138889,6.39,,,,
280.4220833,31.61777778,6.41,,,,
284.80125,39.21777778,6.41,,,,
280.0508333,38.36722222,6.45,,,,
280.8195833,39.30027778,6.45,,,,
280.53375,34.74666667,6.47,,,,
286.5708333,41.41388889,6.49,,,,
281.7458333,46.315,6.52,,,,
288.9875,27.45555556,6.54,,,,
278.34625,30.8925,6.59,,,,
289.7658333,33.38888889,6.6,,,,
282.4333333,31.62916667,6.64,,,,
285.0791667,40.68416667,6.65,,,,
289.5033333,31.02222222,6.68,,,,
287.2683333,34.60055556,6.74,,,,
283.5595833,41.22555556,7.3,,,,
