RA,Dec,l,b,x,y
307.3416667,57.11666667,,,,
304.5666667,56.63333333,,,,
302.9875,55.43333333,,,,
302.1083333,53.16666667,,,,
301.3916667,52.66666667,,,,
299.7958333,52.41666667,,,,
298.9958333,50.43333333,,,,
297.5791667,49.28333333,,,,
295.3208333,49.68333333,,,,
294.8333333,47.23333333,,,,
294.7375,45.4,,,,
293.6333333,44.46666667,,,,
294.0583333,42.25,,,,
293.6333333,41.45,,,,
292.1,39.31666667,,,,
290.0666667,38.63333333,,,,
288.4583333,38.81666667,,,,
288.1958333,38.38333333,,,,
288.7291667,37.45,,,,
288.5875,33.2,,,,
287.4,32.06666667,,,,
285.5958333,32.4,,,,
284.6916667,32.46666667,,,,
284.7458333,31.56666667,,,,
284.3666667,28.56666667,,,,
283.1541667,26.98333333,,,,
284.1458333,25.13333333,,,,
283.75,23.26666667,,,,
282.2208333,21.7,,,,
281.4375,20.23333333,,,,
281.2875,18.16666667,,,,
281.6166667,15.1,,,,
280.3833333,12.65,,,,
277.3708333,11.95,,,,
276.1916667,11.15,,,,
275.1875,8.433333333,,,,
272.0458333,6.15,,,,
269.9791667,4.433333333,,,,
267.6541667,3.883333333,,,,
267.1375,2.4,,,,
