RA,Dec,l,b,x,y
85.55833333,-68.65,,,,
84.24583333,-68.65,,,,
83.5875,-68.53333333,,,,
82.96666667,-68.23333333,,,,
81.30416667,-68.3,,,,
80.14166667,-68.5,,,,
79.7,-68.25,,,,
79.2375,-68.23333333,,,,
78.81666667,-68.4,,,,
77.37916667,-68.23333333,,,,
76.53333333,-68,,,,
76.00416667,-68.05,,,,
76.7625,-68.45,,,,
75.67083333,-68.7,,,,
74.59166667,-68.58333333,,,,
74.225,-68.8,,,,
74.85833333,-68.9,,,,
75.02916667,-69.2,,,,
75.19166667,-69.53333333,,,,
75.66666667,-69.53333333,,,,
76.18333333,-69.46666667,,,,
77.05416667,-69.81666667,,,,
78.12083333,-70.16666667,,,,
78.75833333,-70.2,,,,
79.92916667,-70.61666667,,,,
81.2,-70.65,,,,
82.7875,-70.46666667,,,,
84.0375,-70.63333333,,,,
84.7625,-70.56666667,,,,
85.4625,-70.15,,,,
85.97916667,-69.65,,,,
85.77916667,-68.98333333,,,,
86.00833333,-68.73333333,,,,
85.55833333,-68.65,,,,
