RA,Dec,l,b,x,y
241.3125,-36.63333333,,,,
240.3916667,-37.31666667,,,,
236.5208333,-40.16666667,,,,
234.725,-40.75,,,,
233.05,-40.21666667,,,,
232.5125,-38.5,,,,
232.1541667,-36.58333333,,,,
230.9125,-35.88333333,,,,
229.825,-36.23333333,,,,
229.2083333,-38.41666667,,,,
230.1125,-39.9,,,,
228.8958333,-41.01666667,,,,
229.1416667,-41.78333333,,,,
230.5166667,-42.05,,,,
231.2916667,-42.5,,,,
231.8833333,-43.85,,,,
231.6625,-45.2,,,,
229.65,-47.21666667,,,,
226.4666667,-48.66666667,,,,
223.3875,-48.65,,,,
221.4833333,-47.71666667,,,,
219.5916667,-46.8,,,,
217.5625,-46.5,,,,
216.8916667,-46.85,,,,
217.3833333,-48.2,,,,
219.6375,-48.85,,,,
220.0708333,-49.46666667,,,,
219.5875,-50.31666667,,,,
218.1083333,-50.8,,,,
217.7041667,-51.38333333,,,,
217.7333333,-53.61666667,,,,
217.3041667,-54.11666667,,,,
215.7625,-54.21666667,,,,
213.3041667,-52.83333333,,,,
211.5541667,-52.65,,,,
207.7833333,-52.65,,,,
204.6916667,-53.03333333,,,,
198.675,-54.16666667,,,,
193.1458333,-55.28333333,,,,
189.7833333,-56.2,,,,
186.7333333,-57.13333333,,,,
185.4375,-57.13333333,,,,
184.6791667,-56.66666667,,,,
185.0166667,-56.05,,,,
188.5583333,-54.35,,,,
191.2125,-52.85,,,,
191.2583333,-52.45,,,,
190.1,-52.13333333,,,,
185.1916667,-52.53333333,,,,
183.7375,-52.51666667,,,,
184.1083333,-51.98333333,,,,
186.5125,-50.91666667,,,,
187.0375,-50.33333333,,,,
186.0416667,-50.2,,,,
183.1541667,-50.68333333,,,,
178.6666667,-51.68333333,,,,
173.325,-52.56666667,,,,
170.8708333,-53.2,,,,
169.7583333,-53.01666667,,,,
168.7375,-52.23333333,,,,
171.6458333,-49.8,,,,
172.2166667,-48.9,,,,
171.4,-48.65,,,,
168.1333333,-48.86666667,,,,
162.7208333,-50.6,,,,
158.7458333,-51.68333333,,,,
157.025,-51.4,,,,
157.9,-50.55,,,,
159.1333333,-49.58333333,,,,
158.5875,-48.15,,,,
157.5416667,-47.7,,,,
154.1166667,-47.65,,,,
152.8333333,-47.3,,,,
151.5541667,-45.56666667,,,,
150.6416667,-44.95,,,,
148.85,-44.95,,,,
147.1333333,-45.53333333,,,,
146.3625,-45.66666667,,,,
