RA,Dec,l,b,x,y
114.0541667,0,,,,
113.275,3.05,,,,
113.0916667,3.533333333,,,,
112.725,3.65,,,,
110.775,2.566666667,,,,
110.4708333,3,,,,
110.6458333,4.416666667,,,,
111.7875,5.55,,,,
111.4083333,7.116666667,,,,
110.6416667,8.316666667,,,,
109.6875,7.616666667,,,,
108.2958333,6,,,,
107.2291667,5.7,,,,
106.6791667,6.533333333,,,,
107.4,7.116666667,,,,
106.475,7.766666667,,,,
105.6583333,9.266666667,,,,
105.1791667,11,,,,
104.2958333,11.3,,,,
102.2291667,10.96666667,,,,
101.5666667,11.4,,,,
101.9291667,12.11666667,,,,
103.9625,13.1,,,,
104.8958333,14.41666667,,,,
104.7041667,15.81666667,,,,
103.2708333,16.18333333,,,,
102.0458333,16.08333333,,,,
101.8291667,16.38333333,,,,
102.3541667,18.75,,,,
103.7416667,19.31666667,,,,
103.8125,19.9,,,,
102.6875,20.75,,,,
102.5083333,21.75,,,,
100.475,22.2,,,,
100.15,22.95,,,,
100.6208333,24.56666667,,,,
100.2666667,25.65,,,,
99.18333333,26.85,,,,
99.32083333,27.28333333,,,,
100.5958333,28.13333333,,,,
100.9416667,29.25,,,,
100.5625,29.98333333,,,,
97.40833333,28.66666667,,,,
95.92083333,28.51666667,,,,
94.29166667,29.1,,,,
93.025,28.81666667,,,,
91.82083333,29.6,,,,
92.19166667,30.98333333,,,,
93.47916667,31.86666667,,,,
93.76666667,33.26666667,,,,
92.64166667,34.93333333,,,,
92.075,36.85,,,,
91.45833333,38.63333333,,,,
90.22916667,39.41666667,,,,
87.70416667,40.15,,,,
86.08333333,41.06666667,,,,
85.70833333,43.46666667,,,,
83.54583333,44.75,,,,
79.8125,46.21666667,,,,
78.5875,46.08333333,,,,
76.57916667,45.06666667,,,,
75.50833333,44.16666667,,,,
73.91666667,43.46666667,,,,
71.45833333,43.06666667,,,,
69.37916667,43.65,,,,
68.25416667,44.33333333,,,,
65.39166667,47.06666667,,,,
65,47.88333333,,,,
65.9,50.15,,,,
65.48333333,51.21666667,,,,
64.12916667,52.16666667,,,,
