RA,Dec,l,b,x,y
135.1791667,-42.23333333,,,,
133.9083333,-40.31666667,,,,
132.9208333,-38.46666667,,,,
132.05,-36.16666667,,,,
132.4,-33.58333333,,,,
131.9916667,-31.78333333,,,,
131.9791667,-29.61666667,,,,
132.4833333,-27.88333333,,,,
132.2583333,-27.43333333,,,,
131.4166667,-26.93333333,,,,
129.45,-26.46666667,,,,
127.6125,-26.01666667,,,,
126.2666667,-25.53333333,,,,
125.9208333,-24.83333333,,,,
126.75,-23.66666667,,,,
126.5666667,-22.43333333,,,,
125.8875,-20.8,,,,
124.8416667,-19.16666667,,,,
123.8458333,-17.35,,,,
121.9791667,-16,,,,
119.6041667,-14.63333333,,,,
116.7333333,-13.35,,,,
114.6916667,-11.23333333,,,,
114.4666667,-9.733333333,,,,
115.0583333,-8.4,,,,
115.0208333,-7.533333333,,,,
114.6916667,-5.633333333,,,,
114.7625,-4.05,,,,
115.2833333,-2.65,,,,
115.1541667,-1.85,,,,
114.3041667,-1.666666667,,,,
114.1541667,-1.2,,,,
114.1875,-0.566666667,,,,
114.0541667,0,,,,
