RA,Dec,l,b,x,y
96.71667,0,,,,
95.64167,3.91667,,,,
94.98333,3.95,,,,
90.90833,8.06667,,,,
89.24167,9.65,,,,
87.85833,9.96667,,,,
87.275,10.28333,,,,
84.2375,12.85,,,,
84.0375,13.33333,,,,
84.17083,13.93333,,,,
83.91667,14.16667,,,,
83.55417,13.96667,,,,
83.175,14.25,,,,
82.6125,15.21667,,,,
81.80833,15.86667,,,,
80.94167,15.91667,,,,
80.675,16.31667,,,,
80.7125,17.36667,,,,
81.05417,17.96667,,,,
82.60417,18.8,,,,
84.35,20.51667,,,,
84.19167,21.08333,,,,
85.09167,21.68333,,,,
86.49167,23.63333,,,,
86.2625,24.31667,,,,
86.075,24.83333,,,,
84.25833,25.01667,,,,
82.12083,25.78333,,,,
81.33333,26.8,,,,
81.5625,27.91667,,,,
81.075,28.58333,,,,
79.9375,29.4,,,,
78.47917,31.15,,,,
78.32917,34.68333,,,,
77.9,35.36667,,,,
76.07083,35.55,,,,
75.60417,35.98333,,,,
76.27083,38.13333,,,,
75.85,38.76667,,,,
72.7625,39.06667,,,,
68.875,40.93333,,,,
67.20833,40.98333,,,,
63.89583,40.33333,,,,
62.38333,39.86667,,,,
60.9625,40.45,,,,
60.06667,42.26667,,,,
59.3625,42.68333,,,,
55.56667,44.18333,,,,
55.02083,44.13333,,,,
53.8375,43.96667,,,,
51.92083,45.45,,,,
50.65,45.83333,,,,
46.33333,46.71667,,,,
44.56667,46.91667,,,,
42.90417,46.78333,,,,
41.79583,47.03333,,,,
41.23333,47.7,,,,
40.7125,49.51667,,,,
39.175,50.21667,,,,
37.475,50.2,,,,
36.14583,49.85,,,,
35.05833,50.08333,,,,
33.6625,51.25,,,,
30.1125,52.28333,,,,
29.2625,52.25,,,,
28.92083,51.98333,,,,
29.15833,51.55,,,,
28.11667,51.28333,,,,
27.5,52.11667,,,,
26.50417,51.75,,,,
25.62917,51.96667,,,,
23.07083,53.46667,,,,
20.31667,55.15,,,,
15.775,55.9,,,,
13.52917,56.15,,,,
11.325,55.03333,,,,
9.65,53.81667,,,,
7.66667,53.35,,,,
6.89167,52.75,,,,
6.47917,51.9,,,,
5.05833,51.65,,,,
4.25833,52.08333,,,,
3.70417,52.93333,,,,
2.5,52.63333,,,,
1.34167,50.26667,,,,
356.82083,46.36667,,,,
356.15833,46.38333,,,,
354.55,46.76667,,,,
349.12083,48.41667,,,,
344.27917,48.48333,,,,
341.15833,46.96667,,,,
340.23333,47.15,,,,
337.45,47.53333,,,,
335.12083,47.13333,,,,
332.65833,43.85,,,,
330.95417,43.06667,,,,
329.3875,43.11667,,,,
327.43333,40.93333,,,,
326.9375,38.73333,,,,
325.74167,37.83333,,,,
323.14167,38.1,,,,
322.09167,36.68333,,,,
321.67083,35.51667,,,,
321.66667,34.7,,,,
321,33.65,,,,
319.39583,32.8,,,,
318.625,31.1,,,,
317.27083,30.08333,,,,
315.98333,28.91667,,,,
314.5125,28.83333,,,,
314.19167,28.2,,,,
314.18333,27.4,,,,
313.825,26.78333,,,,
311.22083,24.51667,,,,
309.71667,21.91667,,,,
309.37083,19.76667,,,,
307.5,18.56667,,,,
304.72917,18.13333,,,,
304.00833,17.3,,,,
304.5625,16.15,,,,
304.12083,15.2,,,,
303.1625,14.91667,,,,
302.29167,11.36667,,,,
300.79167,10.45,,,,
299.52917,10.08333,,,,
299.35,8.91667,,,,
298.20833,8.8,,,,
297.5125,8.2,,,,
297.3875,6.13333,,,,
296.4,3.71667,,,,
294.69167,2.26667,,,,
292.65833,1.63333,,,,
291.80417,1.21667,,,,
292.175,0.16667,,,,
293.64167,0.16667,,,,
293.975,-0.41667,,,,
294.05417,-1.15,,,,
293.72917,-1.58333,,,,
291.27083,-2.05,,,,
289.4625,-1.55,,,,
288.82917,-2.25,,,,
290.94167,-3.66667,,,,
291.53333,-6.56667,,,,
290.97083,-10.76667,,,,
289.84583,-13.23333,,,,
291.78333,-14.81667,,,,
291.87917,-16.16667,,,,
291.45833,-18.6,,,,
289.62917,-19.75,,,,
289.6625,-21.2,,,,
287.99583,-22.96667,,,,
283.86667,-23.15,,,,
281.73333,-23.3,,,,
281.275,-23.9,,,,
281.42083,-24.51667,,,,
283.15417,-25.68333,,,,
284.67917,-26.3,,,,
286.42083,-26.7,,,,
289.7875,-29.45,,,,
290.80417,-31.76667,,,,
288.6625,-34.85,,,,
284.54167,-38.45,,,,
282.22083,-40.45,,,,
278.25,-42.71667,,,,
274.52917,-44.5,,,,
272.47917,-45.81667,,,,
271.69167,-45.91667,,,,
270.80417,-46.45,,,,
269.6625,-49.88333,,,,
269.02917,-51.7,,,,
268.77083,-53.35,,,,
267.62917,-54.28333,,,,
263.77917,-57.58333,,,,
261.97083,-58.7,,,,
259.29583,-59.11667,,,,
256.50417,-59.85,,,,
253.225,-62.83333,,,,
251,-66.98333,,,,
247.02083,-68.43333,,,,
241.2,-69.3,,,,
229.99583,-68.86667,,,,
222.4625,-68.25,,,,
216.725,-67.81667,,,,
212.625,-67.98333,,,,
208.8,-69.7,,,,
206.37917,-73.71667,,,,
201.57083,-75.08333,,,,
197.21667,-74.56667,,,,
191.29583,-72.81667,,,,
188.62083,-73.31667,,,,
184.60833,-73.41667,,,,
184.0375,-72.33333,,,,
186.63333,-71.48333,,,,
186.34167,-70.9,,,,
183.1875,-70.58333,,,,
175.8375,-70.76667,,,,
170.44167,-71.81667,,,,
160.51667,-72.56667,,,,
156.175,-71.95,,,,
152.53333,-70.13333,,,,
150.12917,-67.55,,,,
147.1625,-65.68333,,,,
144.42083,-65.4,,,,
142.95833,-64.25,,,,
140.9625,-62.65,,,,
139.2625,-62.4,,,,
137.4375,-62.13333,,,,
134.69583,-59.55,,,,
132.88333,-57.68333,,,,
130.9875,-54.85,,,,
129.2,-52.86667,,,,
128.73333,-50.03333,,,,
127.1625,-49.06667,,,,
125.125,-48.33333,,,,
123.90417,-48.3,,,,
123.06667,-49.1,,,,
120.4375,-49.51667,,,,
117.22083,-48.23333,,,,
116.37083,-46.81667,,,,
116.74583,-45.86667,,,,
118.35417,-43.08333,,,,
118.92083,-40.85,,,,
118.33333,-40.16667,,,,
116.625,-38.58333,,,,
116.85417,-38.18333,,,,
117.5875,-38.11667,,,,
120.05833,-38.83333,,,,
121.85417,-39.23333,,,,
122.21667,-37.86667,,,,
121.57917,-34.26667,,,,
120.64583,-32.45,,,,
118.89583,-30.03333,,,,
118.86667,-28.38333,,,,
117.80417,-28.08333,,,,
116.11667,-28.6,,,,
115.37083,-28.41667,,,,
114.29167,-26.16667,,,,
113.24583,-24.58333,,,,
111.375,-23.08333,,,,
109.49167,-20.38333,,,,
109.28333,-18.11667,,,,
109.06667,-16.88333,,,,
107.25417,-16.71667,,,,
105.54167,-17.13333,,,,
105.075,-15.81667,,,,
105.66667,-15.11667,,,,
105.19167,-14.56667,,,,
104.0375,-14.05,,,,
103.55833,-13.06667,,,,
103.95417,-12.05,,,,
103.975,-11.28333,,,,
103.15833,-9.63333,,,,
103.76667,-8.23333,,,,
105.75833,-6.03333,,,,
105.66667,-5.26667,,,,
104.64167,-3.3,,,,
102.83333,-2.15,,,,
100.45417,-1.51667,,,,
98.6625,-0.98333,,,,
98.15417,-1.11667,,,,
97.12917,-1.55,,,,
96.55,-0.86667,,,,
96.71667,0,,,,
