RA,Dec,mag,x,y,x0,y0
92.56,-74.75305556,5.09,,,,
82.97041667,-76.34111111,5.19,,,,
75.67916667,-71.31444444,5.31,,,,
104.1433333,-79.42027778,5.45,,,,
73.79666667,-74.93694444,5.47,,,,
87.56958333,-79.36138889,5.47,,,,
111.4083333,-79.09416667,5.53,,,,
70.76625,-70.93111111,5.54,,,,
100.01125,-80.81361111,5.64,,,,
84.29083333,-80.46916667,5.65,,,,
64.49625,-80.21388889,5.69,,,,
52.495,-78.35194444,5.7,,,,
83.68625,-73.74138889,5.78,,,,
65.24125,-81.58,5.79,,,,
74.71208333,-82.47055556,5.85,,,,
69.59041667,-77.65611111,6.05,,,,
83.90125,-78.82083333,6.05,,,,
82.55791667,-84.785,6.2,,,,
76.53875,-73.03777778,6.27,,,,
73.27291667,-72.4075,6.28,,,,
54.125,-78.32305556,6.29,,,,
75.055,-78.30027778,6.29,,,,
78.10708333,-81.54166667,6.51,,,,
86.95041667,-72.70222222,6.53,,,,
93.77458333,-71.70277778,6.64,,,,
65.71208333,-82.89916667,6.76,,,,
