RA,Dec,mag,x,y,x0,y0
315.3229167,-32.25777778,4.67,,,,
319.4845833,-32.1725,4.71,,,,
320.19,-40.80972222,4.82,,,,
312.4920833,-33.77972222,4.9,,,,
308.4795833,-44.51611111,5.11,,,,
312.1216667,-43.98861111,5.11,,,,
316.6029167,-32.34166667,5.18,,,,
318.2629167,-39.42527778,5.26,,,,
315.7416667,-38.63166667,5.3,,,,
313.4175,-39.81,5.35,,,,
318.3220833,-27.61944444,5.42,,,,
310.0825,-33.43194444,5.47,,,,
311.58375,-39.19916667,5.5,,,,
321.7566667,-42.54777778,5.51,,,,
312.7529167,-37.91333333,5.52,,,,
316.60625,-41.38611111,5.53,,,,
321.5954167,-37.82944444,5.63,,,,
316.505,-30.125,5.68,,,,
310.34875,-31.59833333,5.76,,,,
321.1033333,-41.00666667,5.77,,,,
318.0566667,-40.26944444,5.83,,,,
315.6133333,-38.53055556,5.94,,,,
318.32875,-36.42388889,5.96,,,,
312.995,-33.17722222,6.04,,,,
307.1945833,-35.59583333,6.1,,,,
314.99875,-36.12972222,6.11,,,,
318.945,-36.21083333,6.12,,,,
318.81125,-40.50638889,6.21,,,,
315.7925,-27.73194444,6.25,,,,
310.7208333,-39.55861111,6.29,,,,
313.3541667,-30.71861111,6.35,,,,
312.69625,-32.05444444,6.36,,,,
307.7366667,-29.1125,6.39,,,,
308.6975,-30.47361111,6.4,,,,
319.7266667,-28.76555556,6.4,,,,
313.5283333,-27.92555556,6.41,,,,
308.73125,-38.08972222,6.44,,,,
311.5775,-36.12027778,6.49,,,,
315.5525,-43.00194444,6.64,,,,
