RA,Dec,mag,x,y,x0,y0
115.3116667,-9.551111111,3.93,,,,
93.71375,-6.274722222,3.98,,,,
107.96625,-0.492777778,4.15,,,,
122.1483333,-2.983888889,4.34,,,,
95.94208333,4.592777778,4.44,,,,
101.965,2.412222222,4.47,,,,
98.22583333,7.333055556,4.5,,,,
97.20416667,-7.032777778,4.6,,,,
100.2445833,9.895555556,4.66,,,,
120.3054167,-1.3925,4.68,,,,
101.8325,8.037222222,4.77,,,,
107.5570833,-4.237222222,4.92,,,,
119.93375,-3.679722222,4.93,,,,
90.46,-10.59805556,4.95,,,,
105.7283333,-4.239166667,4.99,,,,
89.76791667,-9.558333333,5.03,,,,
92.96583333,-6.550277778,5.05,,,,
96.99,-4.762222222,5.06,,,,
101.9045833,-8.998333333,5.07,,,,
98.40791667,-1.220277778,5.1,,,,
114.3195833,-4.111111111,5.13,,,,
100.485,-9.167222222,5.19,,,,
96.8075,0.299166667,5.2,,,,
105.485,-5.722222222,5.2,,,,
91.05625,-6.709166667,5.21,,,,
97.95125,11.54444444,5.23,,,,
94.92833333,-7.823055556,5.27,,,,
94.71083333,-9.390277778,5.36,,,,
91.66125,-4.193888889,5.38,,,,
97.20625,-7.034444444,5.4,,,,
97.95875,-8.158055556,5.43,,,,
103.6025,-1.126944444,5.45,,,,
107.8483333,-0.301944444,5.45,,,,
116.5091667,-6.7725,5.49,,,,
99.14708333,-5.211111111,5.52,,,,
96.835,2.908055556,5.55,,,,
96.815,-0.276111111,5.55,,,,
112.3279167,-1.905277778,5.59,,,,
97.20625,-7.034444444,5.6,,,,
98.09625,-5.868888889,5.6,,,,
117.5441667,-9.183333333,5.61,,,,
106.0216667,-5.323611111,5.62,,,,
101.6625,-10.10722222,5.66,,,,
102.3183333,-2.271944444,5.74,,,,
102.0791667,-1.319166667,5.75,,,,
108.5458333,-3.901388889,5.75,,,,
112.3420833,-10.32666667,5.75,,,,
118.1995833,-5.428055556,5.76,,,,
102.7079167,-0.540833333,5.77,,,,
103.2058333,8.380277778,5.77,,,,
106.4129167,9.185833333,5.78,,,,
100.2725,0.495277778,5.79,,,,
98.81583333,0.89,5.8,,,,
110.6058333,-5.982777778,5.82,,,,
93.65291667,-4.568333333,5.83,,,,
98.08,4.855833333,5.84,,,,
112.3570833,-7.551111111,5.86,,,,
91.3625,-10.24277778,5.87,,,,
96.31833333,-0.946111111,5.87,,,,
96.665,-1.507222222,5.87,,,,
98.82333333,9.988333333,5.88,,,,
100.91125,3.932222222,5.9,,,,
108.5645833,-9.9475,5.9,,,,
113.0241667,-8.880833333,5.9,,,,
104.1075,9.956388889,5.92,,,,
97.54708333,-10.08138889,5.93,,,,
101.635,8.587222222,5.93,,,,
108.9295833,-10.58388889,5.95,,,,
105.09875,-8.406944444,5.96,,,,
104.7375,3.602222222,5.97,,,,
105.8245833,9.138333333,5.97,,,,
111.4625,-5.775,5.97,,,,
96.30458333,7.085833333,5.98,,,,
93.87375,-4.915277778,5.99,,,,
115.1479167,-8.185833333,6.01,,,,
98.09708333,11.67361111,6.03,,,,
108.6175,-10.31666667,6.03,,,,
103.745,-2.803611111,6.04,,,,
99.35041667,6.135277778,6.06,,,,
93.85833333,-9.035277778,6.1,,,,
100.3216667,11.00333333,6.11,,,,
106.7766667,4.910277778,6.11,,,,
89.75416667,-9.382222222,6.12,,,,
97.78958333,11.25083333,6.14,,,,
99.58541667,-2.543611111,6.14,,,,
92.75541667,-6.754166667,6.15,,,,
96.64375,-4.597222222,6.15,,,,
97.07833333,10.30388889,6.15,,,,
99.46958333,4.957222222,6.15,,,,
102.2654167,1.001944444,6.15,,,,
97.31208333,2.646111111,6.16,,,,
117.73,-11.12861111,6.16,,,,
92.40083333,-5.711111111,6.17,,,,
99.41791667,2.704166667,6.17,,,,
105.4704167,-1.345555556,6.17,,,,
92.93208333,-4.665555556,6.18,,,,
95.9,-9.874444444,6.19,,,,
100.7770833,3.033333333,6.19,,,,
99.65875,1.613611111,6.21,,,,
103.6754167,-1.756388889,6.21,,,,
107.3345833,-10.34722222,6.21,,,,
94.78291667,-8.586388889,6.22,,,,
110.5770833,-2.978888889,6.23,,,,
121.6145833,-9.245,6.23,,,,
103.34375,10.99638889,6.24,,,,
112.7129167,-5.226388889,6.24,,,,
96.00958333,8.884722222,6.26,,,,
96.68708333,-7.511388889,6.27,,,,
104.6625,7.621944444,6.27,,,,
114.0691667,-8.311388889,6.27,,,,
102.67625,-8.041111111,6.29,,,,
103.8941667,8.324722222,6.29,,,,
109.3820833,-6.68,6.29,,,,
103.0954167,-5.316111111,6.3,,,,
105.075,-5.366944444,6.3,,,,
95.3575,2.268611111,6.31,,,,
122.2370833,-11.33972222,6.32,,,,
120.6083333,-6.337222222,6.33,,,,
104.2504167,-8.178888889,6.34,,,,
96.44625,-3.889166667,6.35,,,,
104.83375,7.316944444,6.35,,,,
100.4970833,6.345,6.37,,,,
