RA,Dec,mag,x,y,x0,y0
189.2958333,-69.13555556,2.69,,,,
191.5704167,-68.10805556,3.05,,,,
195.5675,-71.54888889,3.62,,,,
176.4016667,-66.72861111,3.64,,,,
188.1166667,-72.13305556,3.87,,,,
184.3920833,-67.96083333,4.11,,,,
177.0595833,-66.81472222,4.72,,,,
198.8120833,-67.89444444,4.8,,,,
199.3041667,-66.78361111,4.87,,,,
177.9633333,-65.20611111,4.9,,,,
177.4858333,-70.22583333,4.97,,,,
201.2795833,-74.88777778,5.05,,,,
170.8408333,-64.955,5.11,,,,
185.5304167,-67.52194444,5.15,,,,
174.8725,-65.39777778,5.17,,,,
181.9575,-75.36694444,5.18,,,,
181.16125,-68.32916667,5.35,,,,
197.0291667,-65.30638889,5.51,,,,
192.4370833,-71.98638889,5.55,,,,
171.04625,-72.25666667,5.59,,,,
201.45875,-70.6275,5.67,,,,
185.5495833,-68.3075,5.74,,,,
188.0416667,-73.00166667,5.88,,,,
180.6570833,-69.19222222,5.89,,,,
173.0829167,-66.96222222,5.9,,,,
198.20375,-66.22694444,5.9,,,,
197.965,-69.94194444,5.91,,,,
194.13125,-72.18527778,5.93,,,,
174.4516667,-67.62027778,5.96,,,,
195.7716667,-71.47611111,6.03,,,,
199.82875,-72.03555556,6.04,,,,
200.7191667,-72.14666667,6.05,,,,
181.59625,-65.70916667,6.06,,,,
184.275,-65.69277778,6.06,,,,
199.1866667,-65.13833333,6.07,,,,
172.0758333,-72.47444444,6.09,,,,
204.6904167,-70.445,6.1,,,,
202.2816667,-64.67583333,6.11,,,,
191.2570833,-68.83111111,6.16,,,,
183.195,-70.15194444,6.17,,,,
202.1933333,-69.62805556,6.2,,,,
185.1166667,-65.84277778,6.21,,,,
184.0979167,-72.61472222,6.22,,,,
181.5825,-68.65083333,6.23,,,,
189.71875,-67.19305556,6.25,,,,
189.9816667,-66.51166667,6.26,,,,
169.90125,-75.1425,6.27,,,,
186.3220833,-65.77055556,6.3,,,,
181.4716667,-65.54722222,6.33,,,,
190.52125,-69.4075,6.33,,,,
185.8075,-67.63166667,6.36,,,,
198.8570833,-69.67972222,6.37,,,,
203.39875,-65.6325,6.37,,,,
170.01625,-71.99444444,6.41,,,,
180.6191667,-71.48888889,6.42,,,,
180.9345833,-74.21388889,6.44,,,,
189.8104167,-75.36944444,6.49,,,,
205.0025,-70.78833333,6.59,,,,
201.82625,-74.69194444,6.63,,,,
