RA,Dec,mag,x,y,x0,y0
244.96,-50.15555556,4.02,,,,
246.79625,-47.555,4.47,,,,
240.8829167,-57.77527778,4.63,,,,
240.80375,-49.22972222,4.65,,,,
241.6225,-45.17333333,4.72,,,,
243.3695833,-54.63055556,4.94,,,,
248.5208333,-44.04527778,4.94,,,,
244.25375,-50.06833333,4.99,,,,
243.81375,-47.37222222,5.14,,,,
245.6166667,-49.57222222,5.33,,,,
247.42625,-46.24333333,5.35,,,,
234.70625,-52.37277778,5.44,,,,
244.1795833,-53.81111111,5.44,,,,
244.82375,-42.67388889,5.45,,,,
242.3275,-57.93444444,5.57,,,,
243.9570833,-57.91222222,5.63,,,,
247.0633333,-58.59972222,5.69,,,,
237.7783333,-55.05583333,5.73,,,,
237.52875,-53.20944444,5.77,,,,
238.8845833,-60.17777778,5.77,,,,
245.105,-55.14,5.77,,,,
243.3441667,-55.54083333,5.81,,,,
243.32,-53.67166667,5.83,,,,
237.4895833,-48.91194444,5.84,,,,
245.6204167,-43.91222222,5.88,,,,
234.9854167,-59.90833333,5.95,,,,
237.88125,-47.06055556,6.01,,,,
235.655,-49.48944444,6.04,,,,
247.4375,-57.75583333,6.06,,,,
237.2095833,-52.43805556,6.07,,,,
239.975,-54.02111111,6.1,,,,
237.5679167,-45.40166667,6.12,,,,
240.2766667,-54.57777778,6.13,,,,
243.85,-42.89972222,6.14,,,,
241.85,-56.19138889,6.16,,,,
239.2658333,-48.16222222,6.31,,,,
244.3370833,-53.08666667,6.33,,,,
246.2258333,-45.34916667,6.33,,,,
235.9795833,-60.28722222,6.48,,,,
244.71625,-57.89972222,6.49,,,,
238.2145833,-50.61527778,6.6,,,,
