RA,Dec,mag,x,y,x0,y0
325.36875,-77.39,3.76,,,,
341.51375,-81.38166667,4.15,,,,
216.72875,-83.66777778,4.32,,,,
0.39875,-77.06583333,4.78,,,,
335.00625,-80.43972222,5.1,,,,
358.0266667,-82.01888889,5.11,,,,
316.1791667,-77.02388889,5.15,,,,
2.50875,-82.22388889,5.28,,,,
283.6954167,-87.60583333,5.28,,,,
327.72625,-82.71916667,5.29,,,,
342.5954167,-80.12416667,5.35,,,,
134.17125,-85.66305556,5.42,,,,
193.7441667,-85.12333333,5.46,,,,
275.9004167,-75.04416667,5.47,,,,
317.1925,-88.95638889,5.47,,,,
352.0154167,-87.48222222,5.49,,,,
334.4604167,-77.51166667,5.51,,,,
235.82,-84.46527778,5.57,,,,
205.23125,-85.78611111,5.58,,,,
225.4616667,-83.22777778,5.65,,,,
226.1945833,-83.03833333,5.65,,,,
24.36666667,-84.76972222,5.69,,,,
359.38625,-82.17,5.73,,,,
356.1695833,-78.79138889,5.75,,,,
3.330833333,-84.99416667,5.77,,,,
308.3229167,-80.965,5.77,,,,
337.9058333,-85.96722222,5.77,,,,
353.33125,-77.38527778,5.81,,,,
24.48166667,-82.975,5.87,,,,
227.7845833,-84.7875,5.91,,,,
309.5775,-81.28888889,5.91,,,,
277.33125,-80.23277778,5.95,,,,
330.7658333,-76.11861111,5.95,,,,
310.5120833,-76.18055556,6,,,,
354.6004167,-76.87,6,,,,
255.24375,-86.36444444,6.04,,,,
336.4625,-75.01555556,6.04,,,,
180.58375,-85.63166667,6.05,,,,
347.09875,-79.48083333,6.12,,,,
332.9804167,-76.11611111,6.15,,,,
338.86,-78.77166667,6.15,,,,
306.2266667,-83.31055556,6.17,,,,
324.7341667,-79.4425,6.18,,,,
164.8075,-84.59388889,6.19,,,,
280.55875,-81.80777778,6.27,,,,
186.40625,-86.15055556,6.33,,,,
349.78375,-79.47277778,6.33,,,,
323.4766667,-82.68305556,6.38,,,,
281.9558333,-77.86722222,6.39,,,,
299.00625,-81.34972222,6.39,,,,
55.63375,-85.26222222,6.41,,,,
330.4670833,-77.6625,6.41,,,,
348.05,-80.91277778,6.41,,,,
270.3920833,-85.21472222,6.45,,,,
323.0175,-84.81,6.45,,,,
101.7445833,-87.025,6.47,,,,
323.3358333,-80.03916667,6.47,,,,
232.0795833,-88.13305556,6.48,,,,
310.4320833,-75.35055556,6.55,,,,
332.6770833,-75.88055556,6.55,,,,
258.9970833,-87.56638889,6.57,,,,
251.4733333,-83.23888889,6.57,,,,
341.3691667,-88.81833333,6.57,,,,
317.1995833,-76.2125,6.58,,,,
319.5670833,-75.34666667,6.63,,,,
342.4204167,-77.05055556,6.73,,,,
282.99125,-83.31638889,7.16,,,,
